sample interval	    ECG	     BP	(C4-A1)	p (sum)
            117	  0.025	 68.233	 -0.030	 -0.542
            118	  0.020	 67.605	 -0.030	 -0.562
            119	  0.025	 66.977	 -0.027	 -0.567
            120	  0.025	 65.512	 -0.023	 -0.559
            121	  0.040	 65.512	 -0.023	 -0.561
            122	  0.045	 64.465	 -0.017	 -0.572
            123	  0.030	 63.837	 -0.013	 -0.574
            124	  0.035	 63.000	 -0.009	 -0.568
            125	  0.040	 62.372	 -0.005	 -0.551
            126	  0.040	 61.953	 -0.000	 -0.555
            127	  0.050	 61.326	  0.002	 -0.546
            128	  0.055	 60.698	  0.001	 -0.558
            129	  0.060	 59.860	  0.002	 -0.568
            130	  0.045	 58.814	  0.004	 -0.596
            131	  0.050	 58.814	  0.002	 -0.580
            132	  0.055	 58.186	 -0.002	 -0.600
            133	  0.045	 57.558	 -0.007	 -0.609
            134	  0.055	 57.349	 -0.011	 -0.603
            135	  0.060	 57.140	 -0.016	 -0.600
            136	  0.050	 56.721	 -0.019	 -0.581
            137	  0.055	 56.093	 -0.023	 -0.600
            138	  0.045	 56.093	 -0.023	 -0.586
            139	  0.060	 55.674	 -0.026	 -0.591
            140	  0.045	 55.256	 -0.026	 -0.609
            141	  0.055	 55.046	 -0.027	 -0.600
            142	  0.050	 54.837	 -0.030	 -0.620
            143	  0.065	 54.837	 -0.034	 -0.612
            144	  0.060	 54.419	 -0.030	 -0.614
            145	  0.060	 54.628	 -0.028	 -0.646
            146	  0.080	 54.419	 -0.026	 -0.645
            147	  0.060	 54.628	 -0.022	 -0.632
            148	  0.060	 54.000	 -0.019	 -0.622
            149	  0.070	 54.209	 -0.019	 -0.636
            150	  0.070	 54.419	 -0.017	 -0.632
            151	  0.070	 54.209	 -0.014	 -0.626
            152	  0.060	 54.209	 -0.012	 -0.629
            153	  0.075	 54.628	 -0.014	 -0.657
            154	  0.080	 54.419	 -0.012	 -0.655
            155	  0.080	 54.837	 -0.008	 -0.684
            156	  0.075	 55.046	 -0.006	 -0.677
            157	  0.080	 55.256	 -0.007	 -0.690
            158	  0.080	 55.884	 -0.008	 -0.667
            159	  0.070	 55.674	 -0.007	 -0.686
            160	  0.070	 56.302	 -0.008	 -0.678
            161	  0.060	 56.302	 -0.007	 -0.690
            162	  0.080	 56.512	 -0.007	 -0.674
            163	  0.080	 56.930	 -0.008	 -0.690
            164	  0.075	 57.767	 -0.009	 -0.667
            165	  0.080	 57.140	 -0.008	 -0.683
            166	  0.080	 57.767	 -0.007	 -0.670
            167	  0.060	 57.977	 -0.009	 -0.701
            168	  0.065	 58.395	 -0.013	 -0.710
            169	  0.080	 57.977	 -0.012	 -0.719
            170	  0.060	 58.814	 -0.013	 -0.730
            171	  0.070	 58.395	 -0.016	 -0.710
            172	  0.060	 59.023	 -0.017	 -0.742
            173	  0.085	 58.605	 -0.018	 -0.696
            174	  0.070	 58.814	 -0.019	 -0.736
            175	  0.085	 58.814	 -0.018	 -0.696
            176	  0.065	 59.442	 -0.014	 -0.736
            177	  0.095	 58.814	 -0.012	 -0.701
            178	  0.075	 59.442	 -0.011	 -0.743
            179	  0.100	 59.651	 -0.009	 -0.714
            180	  0.080	 59.442	 -0.006	 -0.755
            181	  0.075	 59.651	 -0.005	 -0.746
            182	  0.075	 59.651	 -0.006	 -0.765
            183	  0.085	 59.651	 -0.006	 -0.755
            184	  0.100	 59.233	 -0.009	 -0.743
            185	  0.095	 59.442	 -0.010	 -0.741
            186	  0.085	 59.442	 -0.012	 -0.755
            187	  0.110	 59.023	 -0.014	 -0.719
            188	  0.090	 59.023	 -0.016	 -0.755
            189	  0.095	 59.442	 -0.018	 -0.742
            190	  0.100	 59.023	 -0.017	 -0.725
            191	  0.090	 58.605	 -0.016	 -0.749
            192	  0.105	 59.023	 -0.018	 -0.767
            193	  0.115	 58.605	 -0.021	 -0.765
            194	  0.140	 58.186	 -0.018	 -0.757
            195	  0.125	 58.395	 -0.016	 -0.768
            196	  0.125	 57.977	 -0.015	 -0.770
            197	  0.120	 57.977	 -0.013	 -0.770
            198	  0.115	 57.349	 -0.015	 -0.771
            199	  0.115	 57.140	 -0.016	 -0.754
            200	  0.125	 57.140	 -0.017	 -0.751
            201	  0.105	 56.721	 -0.017	 -0.767
            202	  0.105	 56.512	 -0.020	 -0.761
            203	  0.090	 56.302	 -0.025	 -0.783
            204	  0.100	 55.674	 -0.027	 -0.780
            205	  0.080	 55.465	 -0.028	 -0.794
            206	  0.090	 55.465	 -0.031	 -0.790
            207	  0.070	 54.837	 -0.035	 -0.796
            208	  0.080	 54.628	 -0.041	 -0.777
            209	  0.065	 54.419	 -0.042	 -0.784
            210	  0.080	 54.419	 -0.042	 -0.783
            211	  0.060	 53.372	 -0.042	 -0.783
            212	  0.070	 53.372	 -0.042	 -0.778
            213	  0.080	 52.953	 -0.040	 -0.778
            214	  0.080	 52.953	 -0.042	 -0.780
            215	  0.070	 52.326	 -0.040	 -0.783
            216	  0.080	 52.116	 -0.039	 -0.786
            217	  0.075	 51.698	 -0.042	 -0.788
            218	  0.060	 51.698	 -0.045	 -0.780
            219	  0.070	 51.070	 -0.044	 -0.790
            220	  0.075	 51.070	 -0.046	 -0.780
            221	  0.075	 51.070	 -0.048	 -0.778
            222	  0.080	 50.442	 -0.047	 -0.774
            223	  0.100	 50.023	 -0.046	 -0.767
            224	  0.080	 49.605	 -0.045	 -0.771
            225	  0.065	 50.233	 -0.042	 -0.768
            226	  0.110	 49.605	 -0.038	 -0.775
            227	  0.160	 49.395	 -0.034	 -0.761
            228	  0.225	 48.977	 -0.032	 -0.765
            229	  0.300	 48.767	 -0.024	 -0.777
            230	  0.460	 48.767	 -0.014	 -0.788
            231	  0.655	 48.558	 -0.002	 -0.770
            232	  0.825	 47.930	  0.002	 -0.787
            233	  0.880	 48.140	  0.000	 -0.778
            234	  0.710	 47.930	 -0.008	 -0.794
            235	  0.435	 47.512	 -0.022	 -0.777
            236	  0.075	 47.093	 -0.035	 -0.771
            237	 -0.230	 46.256	 -0.039	 -0.767
            238	 -0.345	 46.884	 -0.043	 -0.774
            239	 -0.340	 46.884	 -0.043	 -0.780
            240	 -0.230	 46.465	 -0.038	 -0.786
            241	 -0.120	 46.046	 -0.032	 -0.781
            242	 -0.045	 46.465	 -0.034	 -0.800
            243	 -0.015	 46.256	 -0.034	 -0.788
            244	  0.025	 46.256	 -0.030	 -0.804
            245	  0.040	 45.419	 -0.027	 -0.801
            246	  0.060	 45.628	 -0.025	 -0.788
            247	  0.075	 45.419	 -0.022	 -0.777
            248	  0.080	 45.209	 -0.021	 -0.764
            249	  0.080	 45.209	 -0.020	 -0.765
            250	  0.080	 45.000	 -0.018	 -0.754
            251	  0.075	 45.000	 -0.015	 -0.771
            252	  0.085	 45.000	 -0.015	 -0.771
            253	  0.085	 44.581	 -0.017	 -0.790
            254	  0.100	 44.581	 -0.017	 -0.799
            255	  0.080	 44.581	 -0.016	 -0.806
            256	  0.080	 44.372	 -0.017	 -0.794
            257	  0.095	 44.581	 -0.018	 -0.790
            258	  0.095	 44.372	 -0.019	 -0.784
            259	  0.100	 43.953	 -0.019	 -0.794
            260	  0.100	 44.372	 -0.019	 -0.777
            261	  0.080	 43.744	 -0.020	 -0.778
            262	  0.100	 43.744	 -0.018	 -0.780
            263	  0.105	 43.744	 -0.017	 -0.775
            264	  0.100	 43.744	 -0.017	 -0.774
            265	  0.120	 43.744	 -0.014	 -0.771
            266	  0.105	 43.535	 -0.010	 -0.768
            267	  0.125	 43.744	 -0.011	 -0.777
            268	  0.130	 43.326	 -0.011	 -0.775
            269	  0.120	 43.116	 -0.007	 -0.777
            270	  0.125	 42.907	 -0.005	 -0.771
            271	  0.120	 43.116	 -0.005	 -0.755
            272	  0.130	 42.907	 -0.003	 -0.761
            273	  0.140	 42.698	 -0.003	 -0.762
            274	  0.140	 42.698	 -0.004	 -0.739
            275	  0.145	 42.698	 -0.004	 -0.759
            276	  0.145	 42.907	 -0.001	 -0.761
            277	  0.165	 42.488	 -0.002	 -0.743
            278	  0.160	 42.070	 -0.005	 -0.777
            279	  0.150	 42.907	 -0.003	 -0.771
            280	  0.160	 42.698	 -0.002	 -0.764
            281	  0.175	 43.744	 -0.003	 -0.759
            282	  0.175	 44.581	 -0.005	 -0.777
            283	  0.190	 45.419	 -0.007	 -0.748
            284	  0.190	 47.512	 -0.009	 -0.765
            285	  0.195	 48.977	 -0.010	 -0.743
            286	  0.200	 51.279	 -0.013	 -0.758
            287	  0.205	 53.791	 -0.014	 -0.729
            288	  0.200	 56.093	 -0.016	 -0.758
            289	  0.210	 58.814	 -0.020	 -0.741
            290	  0.200	 61.326	 -0.022	 -0.752
            291	  0.225	 64.256	 -0.021	 -0.759
            292	  0.220	 67.605	 -0.024	 -0.752
            293	  0.235	 70.744	 -0.026	 -0.757
            294	  0.240	 73.884	 -0.022	 -0.748
            295	  0.235	 76.814	 -0.022	 -0.748
            296	  0.235	 80.581	 -0.022	 -0.728
            297	  0.225	 84.139	 -0.020	 -0.714
            298	  0.220	 87.907	 -0.020	 -0.704
            299	  0.205	 91.256	 -0.021	 -0.717
            300	  0.220	 93.977	 -0.020	 -0.725
            301	  0.215	 97.326	 -0.018	 -0.742
            302	  0.205	 99.837	 -0.019	 -0.729
            303	  0.200	102.349	 -0.022	 -0.719
            304	  0.175	104.442	 -0.023	 -0.719
            305	  0.155	106.116	 -0.023	 -0.735
            306	  0.160	107.163	 -0.023	 -0.703
            307	  0.120	108.209	 -0.024	 -0.701
            308	  0.110	108.209	 -0.025	 -0.693
            309	  0.090	108.628	 -0.024	 -0.696
            310	  0.085	108.209	 -0.024	 -0.677
            311	  0.060	107.791	 -0.023	 -0.678
            312	  0.040	106.535	 -0.022	 -0.664
            313	  0.035	105.907	 -0.022	 -0.667
            314	  0.020	104.860	 -0.022	 -0.675
            315	  0.025	103.395	 -0.020	 -0.675
            316	  0.015	102.139	 -0.016	 -0.667
            317	 -0.000	100.884	 -0.015	 -0.683
            318	 -0.000	 99.209	 -0.015	 -0.677
            319	 -0.000	 97.744	 -0.011	 -0.649
            320	 -0.005	 96.488	 -0.007	 -0.639
            321	 -0.010	 94.605	 -0.004	 -0.620
            322	 -0.005	 93.349	  0.002	 -0.641
            323	  0.005	 91.256	  0.004	 -0.625
            324	 -0.000	 90.000	  0.005	 -0.617
            325	 -0.020	 88.744	  0.009	 -0.606
            326	 -0.005	 87.279	  0.014	 -0.617
            327	 -0.000	 86.023	  0.018	 -0.616
            328	  0.015	 84.767	  0.019	 -0.636
            329	 -0.000	 83.302	  0.021	 -0.638
            330	 -0.005	 81.837	  0.026	 -0.612
            331	  0.005	 80.791	  0.027	 -0.591
            332	  0.015	 79.535	  0.026	 -0.622
            333	 -0.000	 78.279	  0.024	 -0.571
            334	 -0.000	 77.651	  0.023	 -0.590
            335	 -0.000	 76.395	  0.021	 -0.557
            336	  0.005	 75.558	  0.019	 -0.557
            337	  0.020	 74.721	  0.018	 -0.562
            338	  0.015	 74.302	  0.014	 -0.564
            339	  0.005	 72.837	  0.011	 -0.557
            340	  0.015	 72.628	  0.011	 -0.543
            341	  0.020	 71.791	  0.011	 -0.543
            342	  0.020	 70.953	  0.009	 -0.545
            343	  0.020	 70.326	  0.007	 -0.533
            344	  0.030	 69.488	  0.011	 -0.516
            345	  0.025	 68.860	  0.013	 -0.504
            346	  0.020	 68.023	  0.015	 -0.499
            347	  0.020	 67.605	  0.018	 -0.486
            348	  0.020	 66.767	  0.019	 -0.487
            349	  0.020	 66.140	  0.020	 -0.465
            350	  0.025	 65.930	  0.023	 -0.472
            351	  0.030	 65.302	  0.029	 -0.468
            352	  0.040	 64.465	  0.028	 -0.451
            353	  0.020	 63.628	  0.030	 -0.472
            354	  0.040	 62.791	  0.034	 -0.467
            355	  0.045	 62.372	  0.038	 -0.458
            356	  0.035	 62.163	  0.039	 -0.429
            357	  0.040	 60.907	  0.040	 -0.422
            358	  0.050	 61.116	  0.039	 -0.406
            359	  0.045	 60.279	  0.041	 -0.412
            360	  0.045	 59.860	  0.040	 -0.383
            361	  0.050	 59.442	  0.041	 -0.388
            362	  0.040	 58.814	  0.045	 -0.375
            363	  0.045	 58.814	  0.044	 -0.364
            364	  0.040	 58.186	  0.045	 -0.371
            365	  0.030	 57.977	  0.048	 -0.367
            366	  0.040	 57.977	  0.050	 -0.357
            367	  0.050	 57.349	  0.048	 -0.351
            368	  0.045	 57.558	  0.046	 -0.342
            369	  0.040	 56.930	  0.046	 -0.325
            370	  0.065	 56.721	  0.047	 -0.312
            371	  0.060	 57.140	  0.045	 -0.301
            372	  0.040	 57.140	  0.045	 -0.299
            373	  0.065	 57.140	  0.043	 -0.272
            374	  0.050	 56.721	  0.039	 -0.280
            375	  0.065	 57.140	  0.040	 -0.264
            376	  0.060	 57.558	  0.043	 -0.271
            377	  0.050	 57.349	  0.044	 -0.267
            378	  0.070	 57.977	  0.044	 -0.267
            379	  0.045	 57.349	  0.045	 -0.258
            380	  0.050	 57.767	  0.049	 -0.261
            381	  0.060	 57.977	  0.052	 -0.230
            382	  0.065	 58.186	  0.052	 -0.229
            383	  0.080	 58.395	  0.054	 -0.212
            384	  0.055	 59.023	  0.054	 -0.206
            385	  0.060	 59.023	  0.052	 -0.187
            386	  0.060	 59.442	  0.052	 -0.190
            387	  0.080	 59.442	  0.049	 -0.184
            388	  0.080	 59.860	  0.044	 -0.181
            389	  0.065	 60.488	  0.038	 -0.180
            390	  0.075	 60.279	  0.034	 -0.180
            391	  0.070	 60.279	  0.031	 -0.175
            392	  0.070	 60.698	  0.024	 -0.168
            393	  0.065	 61.326	  0.017	 -0.148
            394	  0.065	 61.116	  0.015	 -0.142
            395	  0.075	 61.326	  0.012	 -0.130
            396	  0.065	 61.744	  0.009	 -0.117
            397	  0.070	 61.535	  0.009	 -0.113
            398	  0.065	 61.535	  0.008	 -0.103
            399	  0.075	 61.953	  0.005	 -0.103
            400	  0.070	 61.326	  0.007	 -0.099
            401	  0.080	 62.163	  0.008	 -0.103
            402	  0.075	 62.163	  0.008	 -0.096
            403	  0.080	 62.163	  0.005	 -0.096
            404	  0.070	 62.163	  0.007	 -0.087
            405	  0.095	 62.163	  0.009	 -0.086
            406	  0.075	 62.163	  0.010	 -0.067
            407	  0.095	 62.163	  0.011	 -0.064
            408	  0.090	 61.953	  0.012	 -0.049
            409	  0.110	 62.163	  0.011	 -0.048
            410	  0.095	 61.744	  0.008	 -0.038
            411	  0.110	 61.535	  0.006	 -0.039
            412	  0.100	 61.326	  0.002	 -0.033
            413	  0.105	 61.326	 -0.002	 -0.038
            414	  0.125	 61.116	 -0.010	 -0.036
            415	  0.125	 60.488	 -0.013	 -0.041
            416	  0.135	 60.488	 -0.016	 -0.036
            417	  0.135	 60.698	 -0.023	 -0.030
            418	  0.140	 60.488	 -0.027	 -0.017
            419	  0.125	 59.860	 -0.028	 -0.006
            420	  0.120	 59.860	 -0.032	  0.003
            421	  0.110	 59.651	 -0.034	  0.007
            422	  0.110	 59.442	 -0.036	  0.013
            423	  0.090	 59.023	 -0.039	  0.019
            424	  0.100	 58.186	 -0.042	  0.013
            425	  0.085	 58.395	 -0.043	  0.013
            426	  0.085	 58.186	 -0.042	  0.010
            427	  0.070	 57.977	 -0.045	  0.006
            428	  0.080	 57.349	 -0.046	  0.000
            429	  0.060	 57.140	 -0.043	  0.013
            430	  0.075	 56.930	 -0.038	  0.010
            431	  0.055	 56.512	 -0.032	  0.033
            432	  0.055	 56.302	 -0.027	  0.030
            433	  0.060	 56.093	 -0.021	  0.046
            434	  0.060	 55.465	 -0.014	  0.049
            435	  0.065	 55.046	 -0.011	  0.051
            436	  0.070	 54.628	 -0.007	  0.052
            437	  0.080	 54.000	 -0.003	  0.051
            438	  0.060	 53.791	 -0.003	  0.042
            439	  0.080	 53.791	 -0.002	  0.052
            440	  0.060	 52.953	 -0.001	  0.041
            441	  0.085	 52.744	  0.000	  0.054
            442	  0.070	 52.953	 -0.003	  0.064
            443	  0.090	 52.744	 -0.006	  0.074
            444	  0.070	 52.744	 -0.005	  0.081
            445	  0.080	 51.698	 -0.006	  0.087
            446	  0.075	 51.279	 -0.008	  0.099
            447	  0.080	 51.279	 -0.010	  0.093
            448	  0.130	 50.860	 -0.013	  0.099
            449	  0.160	 50.442	 -0.016	  0.087
            450	  0.225	 50.442	 -0.013	  0.104
            451	  0.360	 50.442	 -0.004	  0.090
            452	  0.545	 50.233	  0.004	  0.099
            453	  0.760	 49.814	  0.011	  0.099
            454	  0.930	 49.605	  0.016	  0.104
            455	  0.945	 49.395	  0.013	  0.116
            456	  0.705	 49.395	  0.002	  0.136
            457	  0.345	 49.395	 -0.012	  0.139
            458	 -0.060	 48.558	 -0.025	  0.155
            459	 -0.300	 48.349	 -0.028	  0.143
            460	 -0.400	 48.349	 -0.028	  0.151
            461	 -0.345	 47.930	 -0.021	  0.146
            462	 -0.215	 47.721	 -0.014	  0.155
            463	 -0.115	 48.140	 -0.010	  0.145
            464	 -0.060	 48.767	 -0.007	  0.155
            465	 -0.010	 47.512	 -0.001	  0.155
            466	  0.020	 47.512	  0.006	  0.159
            467	  0.070	 47.302	  0.007	  0.168
            468	  0.060	 47.093	  0.006	  0.186
            469	  0.075	 47.093	  0.008	  0.200
            470	  0.060	 47.093	  0.007	  0.203
            471	  0.075	 47.093	  0.002	  0.210
            472	  0.070	 46.884	  0.002	  0.203
            473	  0.085	 46.674	 -0.002	  0.206
            474	  0.095	 46.884	 -0.006	  0.197
            475	  0.085	 46.256	 -0.006	  0.206
            476	  0.080	 46.465	 -0.006	  0.201
            477	  0.090	 46.046	 -0.009	  0.213
            478	  0.095	 46.046	 -0.012	  0.220
            479	  0.090	 45.628	 -0.014	  0.217
            480	  0.100	 45.419	 -0.014	  0.230
            481	  0.100	 45.419	 -0.016	  0.249
            482	  0.115	 45.419	 -0.017	  0.241
            483	  0.100	 45.209	 -0.016	  0.259
            484	  0.115	 45.209	 -0.016	  0.272
            485	  0.115	 45.000	 -0.017	  0.272
            486	  0.105	 45.419	 -0.015	  0.262
            487	  0.120	 45.209	 -0.013	  0.267
            488	  0.120	 45.209	 -0.013	  0.268
            489	  0.125	 44.581	 -0.013	  0.272
            490	  0.120	 44.581	 -0.007	  0.264
            491	  0.120	 44.791	 -0.002	  0.272
            492	  0.140	 44.581	 -0.001	  0.283
            493	  0.120	 44.581	 -0.002	  0.299
            494	  0.125	 44.581	 -0.000	  0.309
            495	  0.150	 44.163	  0.001	  0.319
            496	  0.135	 44.581	  0.000	  0.319
            497	  0.140	 43.953	  0.001	  0.309
            498	  0.160	 44.372	  0.000	  0.329
            499	  0.150	 43.744	 -0.003	  0.313
            500	  0.150	 44.581	 -0.004	  0.312
            501	  0.180	 44.791	 -0.003	  0.329
            502	  0.165	 45.419	 -0.005	  0.304
            503	  0.165	 46.465	 -0.007	  0.325
            504	  0.175	 47.930	 -0.009	  0.323
            505	  0.190	 49.605	 -0.010	  0.338
            506	  0.185	 51.907	 -0.010	  0.342
            507	  0.200	 53.791	 -0.012	  0.343
            508	  0.210	 56.302	 -0.011	  0.357
            509	  0.210	 58.814	 -0.010	  0.359
            510	  0.220	 61.326	 -0.009	  0.365
            511	  0.215	 64.046	 -0.007	  0.359
            512	  0.225	 67.186	 -0.004	  0.359
            513	  0.240	 70.116	 -0.004	  0.348
            514	  0.235	 73.046	 -0.005	  0.355
            515	  0.220	 76.605	 -0.002	  0.362
            516	  0.240	 80.163	  0.002	  0.377
            517	  0.225	 83.930	 -0.000	  0.387
            518	  0.220	 87.279	 -0.003	  0.406
            519	  0.240	 90.628	 -0.004	  0.384
            520	  0.240	 94.395	 -0.009	  0.413
            521	  0.235	 97.744	 -0.010	  0.416
            522	  0.240	100.465	 -0.010	  0.399
            523	  0.215	102.977	 -0.011	  0.417
            524	  0.210	105.698	 -0.013	  0.400
            525	  0.205	107.581	 -0.013	  0.387
            526	  0.195	108.837	 -0.010	  0.400
            527	  0.180	110.093	 -0.009	  0.412
            528	  0.155	110.093	 -0.008	  0.410
            529	  0.145	110.721	 -0.007	  0.429
            530	  0.145	110.721	 -0.004	  0.403
            531	  0.100	110.093	 -0.003	  0.446
            532	  0.095	109.256	 -0.002	  0.441
            533	  0.070	108.209	 -0.002	  0.448
            534	  0.065	107.372	 -0.001	  0.430
            535	  0.040	106.116	 -0.002	  0.461
            536	  0.030	104.651	 -0.003	  0.443
            537	  0.040	103.395	 -0.005	  0.439
            538	  0.030	102.139	 -0.010	  0.429
            539	  0.015	100.674	 -0.015	  0.429
            540	  0.015	 99.000	 -0.017	  0.446
            541	  0.010	 97.535	 -0.017	  0.451
            542	 -0.000	 96.279	 -0.024	  0.462
            543	 -0.000	 94.605	 -0.028	  0.470
            544	  0.005	 92.721	 -0.030	  0.483
            545	 -0.010	 91.674	 -0.035	  0.497
            546	 -0.000	 90.419	 -0.037	  0.475
            547	  0.005	 87.907	 -0.038	  0.481
            548	 -0.000	 86.860	 -0.039	  0.481
            549	  0.005	 85.814	 -0.044	  0.452
            550	  0.015	 84.139	 -0.043	  0.458
            551	 -0.000	 83.093	 -0.044	  0.475
            552	  0.020	 82.256	 -0.046	  0.459
            553	  0.005	 80.581	 -0.048	  0.455
            554	  0.010	 79.535	 -0.049	  0.483
            555	  0.005	 78.698	 -0.047	  0.472
            556	  0.010	 77.442	 -0.046	  0.493
            557	  0.020	 76.605	 -0.044	  0.481
            558	  0.020	 75.558	 -0.042	  0.499
            559	  0.020	 75.139	 -0.039	  0.477
            560	  0.015	 74.302	 -0.036	  0.488
            561	  0.020	 73.465	 -0.033	  0.462
            562	  0.015	 73.046	 -0.029	  0.475
            563	  0.020	 72.419	 -0.032	  0.464
            564	  0.040	 71.163	 -0.034	  0.464
            565	  0.025	 70.326	 -0.033	  0.481
