'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:48:00.360 30/03/1989]',0.012,91.763,-0.024,-0.126
'[23:48:00.364 30/03/1989]',0.008,91.329,-0.024,-0.127
'[23:48:00.368 30/03/1989]',0.016,90.895,-0.021,-0.128
'[23:48:00.372 30/03/1989]',0.022,90.171,-0.019,-0.129
'[23:48:00.376 30/03/1989]',0.024,89.592,-0.018,-0.130
'[23:48:00.380 30/03/1989]',0.024,89.447,-0.014,-0.132
'[23:48:00.384 30/03/1989]',0.016,89.447,-0.007,-0.134
'[23:48:00.388 30/03/1989]',0.018,88.868,0.000,-0.136
'[23:48:00.392 30/03/1989]',0.018,88.579,0.009,-0.137
'[23:48:00.396 30/03/1989]',0.026,88.289,0.018,-0.139
'[23:48:00.400 30/03/1989]',0.018,88.289,0.026,-0.140
'[23:48:00.404 30/03/1989]',0.022,88.000,0.029,-0.143
'[23:48:00.408 30/03/1989]',0.024,88.000,0.025,-0.145
'[23:48:00.412 30/03/1989]',0.030,87.855,0.018,-0.147
'[23:48:00.416 30/03/1989]',0.034,87.711,0.010,-0.148
'[23:48:00.420 30/03/1989]',0.032,87.711,-0.001,-0.150
'[23:48:00.424 30/03/1989]',0.032,87.711,-0.009,-0.152
'[23:48:00.428 30/03/1989]',0.040,87.855,-0.014,-0.154
'[23:48:00.432 30/03/1989]',0.032,88.000,-0.022,-0.156
'[23:48:00.436 30/03/1989]',0.040,87.711,-0.027,-0.157
'[23:48:00.440 30/03/1989]',0.036,88.145,-0.031,-0.158
'[23:48:00.444 30/03/1989]',0.040,88.289,-0.034,-0.159
'[23:48:00.448 30/03/1989]',0.034,88.868,-0.037,-0.161
'[23:48:00.452 30/03/1989]',0.040,88.579,-0.039,-0.162
'[23:48:00.456 30/03/1989]',0.040,89.303,-0.039,-0.163
'[23:48:00.460 30/03/1989]',0.040,89.303,-0.037,-0.163
'[23:48:00.464 30/03/1989]',0.048,89.592,-0.034,-0.164
'[23:48:00.468 30/03/1989]',0.044,89.882,-0.027,-0.164
'[23:48:00.472 30/03/1989]',0.044,90.171,-0.019,-0.164
'[23:48:00.476 30/03/1989]',0.046,90.461,-0.010,-0.164
'[23:48:00.480 30/03/1989]',0.048,90.895,-0.001,-0.166
'[23:48:00.484 30/03/1989]',0.048,91.184,0.009,-0.166
'[23:48:00.488 30/03/1989]',0.048,90.895,0.017,-0.166
'[23:48:00.492 30/03/1989]',0.048,91.474,0.023,-0.167
'[23:48:00.496 30/03/1989]',0.048,91.763,0.029,-0.169
'[23:48:00.500 30/03/1989]',0.054,91.618,0.033,-0.168
'[23:48:00.504 30/03/1989]',0.052,92.053,0.033,-0.170
'[23:48:00.508 30/03/1989]',0.054,92.053,0.030,-0.171
'[23:48:00.512 30/03/1989]',0.050,92.342,0.026,-0.173
'[23:48:00.516 30/03/1989]',0.062,92.342,0.020,-0.172
'[23:48:00.520 30/03/1989]',0.054,92.342,0.009,-0.174
'[23:48:00.524 30/03/1989]',0.064,92.197,0.002,-0.174
'[23:48:00.528 30/03/1989]',0.064,91.908,-0.006,-0.175
'[23:48:00.532 30/03/1989]',0.070,92.053,-0.015,-0.176
'[23:48:00.536 30/03/1989]',0.080,91.763,-0.024,-0.177
'[23:48:00.540 30/03/1989]',0.084,91.763,-0.028,-0.178
'[23:48:00.544 30/03/1989]',0.082,91.618,-0.032,-0.179
'[23:48:00.548 30/03/1989]',0.082,91.329,-0.037,-0.179
'[23:48:00.552 30/03/1989]',0.090,91.184,-0.038,-0.179
'[23:48:00.556 30/03/1989]',0.090,91.184,-0.039,-0.179
'[23:48:00.560 30/03/1989]',0.100,90.605,-0.037,-0.180
'[23:48:00.564 30/03/1989]',0.100,90.750,-0.033,-0.181
'[23:48:00.568 30/03/1989]',0.110,90.171,-0.026,-0.182
'[23:48:00.572 30/03/1989]',0.120,89.592,-0.018,-0.183
'[23:48:00.576 30/03/1989]',0.130,89.447,-0.012,-0.183
'[23:48:00.580 30/03/1989]',0.136,89.303,-0.007,-0.183
'[23:48:00.584 30/03/1989]',0.136,88.724,0.001,-0.184
'[23:48:00.588 30/03/1989]',0.138,88.724,0.007,-0.184
'[23:48:00.592 30/03/1989]',0.146,88.000,0.011,-0.184
'[23:48:00.596 30/03/1989]',0.134,88.000,0.017,-0.185
'[23:48:00.600 30/03/1989]',0.128,87.711,0.024,-0.185
'[23:48:00.604 30/03/1989]',0.122,87.711,0.028,-0.185
'[23:48:00.608 30/03/1989]',0.118,87.421,0.032,-0.185
'[23:48:00.612 30/03/1989]',0.120,87.132,0.032,-0.186
'[23:48:00.616 30/03/1989]',0.114,86.842,0.031,-0.186
'[23:48:00.620 30/03/1989]',0.118,86.697,0.022,-0.185
'[23:48:00.624 30/03/1989]',0.104,86.118,0.015,-0.185
'[23:48:00.628 30/03/1989]',0.090,86.408,0.007,-0.185
'[23:48:00.632 30/03/1989]',0.082,85.829,0.002,-0.187
'[23:48:00.636 30/03/1989]',0.072,85.684,-0.003,-0.186
'[23:48:00.640 30/03/1989]',0.062,85.105,-0.008,-0.185
'[23:48:00.644 30/03/1989]',0.056,84.961,-0.010,-0.186
'[23:48:00.648 30/03/1989]',0.058,84.526,-0.017,-0.185
'[23:48:00.652 30/03/1989]',0.072,84.237,-0.022,-0.184
'[23:48:00.656 30/03/1989]',0.074,84.237,-0.024,-0.184
'[23:48:00.660 30/03/1989]',0.076,83.658,-0.027,-0.184
'[23:48:00.664 30/03/1989]',0.068,83.513,-0.026,-0.185
'[23:48:00.668 30/03/1989]',0.066,83.079,-0.025,-0.185
'[23:48:00.672 30/03/1989]',0.066,82.789,-0.021,-0.186
'[23:48:00.676 30/03/1989]',0.068,82.645,-0.016,-0.186
'[23:48:00.680 30/03/1989]',0.062,82.934,-0.011,-0.187
'[23:48:00.684 30/03/1989]',0.064,82.500,-0.006,-0.188
'[23:48:00.688 30/03/1989]',0.064,82.500,-0.001,-0.188
'[23:48:00.692 30/03/1989]',0.064,82.355,0.003,-0.188
'[23:48:00.696 30/03/1989]',0.062,81.921,0.009,-0.188
'[23:48:00.700 30/03/1989]',0.064,81.776,0.018,-0.187
'[23:48:00.704 30/03/1989]',0.068,81.632,0.025,-0.188
'[23:48:00.708 30/03/1989]',0.070,81.487,0.027,-0.187
'[23:48:00.712 30/03/1989]',0.066,81.342,0.024,-0.187
'[23:48:00.716 30/03/1989]',0.072,80.908,0.017,-0.187
'[23:48:00.720 30/03/1989]',0.078,80.908,0.006,-0.187
'[23:48:00.724 30/03/1989]',0.070,80.908,-0.002,-0.187
'[23:48:00.728 30/03/1989]',0.068,80.908,-0.007,-0.187
'[23:48:00.732 30/03/1989]',0.044,80.474,-0.014,-0.187
'[23:48:00.736 30/03/1989]',0.022,80.184,-0.012,-0.186
'[23:48:00.740 30/03/1989]',-0.008,79.895,-0.013,-0.185
'[23:48:00.744 30/03/1989]',-0.008,80.039,-0.014,-0.185
'[23:48:00.748 30/03/1989]',0.032,80.039,-0.016,-0.185
'[23:48:00.752 30/03/1989]',0.152,79.605,-0.020,-0.185
'[23:48:00.756 30/03/1989]',0.354,79.461,-0.023,-0.185
'[23:48:00.760 30/03/1989]',0.584,79.461,-0.024,-0.185
'[23:48:00.764 30/03/1989]',0.858,79.461,-0.028,-0.185
'[23:48:00.768 30/03/1989]',1.096,79.461,-0.029,-0.186
'[23:48:00.772 30/03/1989]',1.256,79.171,-0.027,-0.186
'[23:48:00.776 30/03/1989]',1.332,78.882,-0.023,-0.186
'[23:48:00.780 30/03/1989]',1.278,79.026,-0.020,-0.187
'[23:48:00.784 30/03/1989]',0.932,78.737,-0.015,-0.185
'[23:48:00.788 30/03/1989]',0.454,78.592,-0.012,-0.187
'[23:48:00.792 30/03/1989]',0.050,78.737,-0.008,-0.187
'[23:48:00.796 30/03/1989]',-0.244,78.592,-0.004,-0.186
'[23:48:00.800 30/03/1989]',-0.248,78.592,0.002,-0.186
'[23:48:00.804 30/03/1989]',-0.122,78.447,0.004,-0.187
'[23:48:00.808 30/03/1989]',-0.012,78.158,0.008,-0.187
'[23:48:00.812 30/03/1989]',0.008,78.158,0.011,-0.187
'[23:48:00.816 30/03/1989]',-0.000,78.013,0.012,-0.187
'[23:48:00.820 30/03/1989]',-0.000,77.868,0.012,-0.187
'[23:48:00.824 30/03/1989]',-0.006,77.868,0.008,-0.187
'[23:48:00.828 30/03/1989]',-0.002,77.868,0.004,-0.187
'[23:48:00.832 30/03/1989]',-0.016,78.013,-0.003,-0.187
'[23:48:00.836 30/03/1989]',-0.008,77.868,-0.009,-0.187
'[23:48:00.840 30/03/1989]',-0.010,77.868,-0.014,-0.186
'[23:48:00.844 30/03/1989]',-0.000,77.434,-0.018,-0.187
'[23:48:00.848 30/03/1989]',-0.000,77.289,-0.021,-0.185
'[23:48:00.852 30/03/1989]',0.002,76.855,-0.023,-0.184
'[23:48:00.856 30/03/1989]',0.016,76.855,-0.023,-0.183
'[23:48:00.860 30/03/1989]',0.008,76.711,-0.025,-0.182
'[23:48:00.864 30/03/1989]',0.014,76.566,-0.024,-0.183
'[23:48:00.868 30/03/1989]',0.020,76.566,-0.024,-0.182
'[23:48:00.872 30/03/1989]',0.022,76.276,-0.024,-0.182
'[23:48:00.876 30/03/1989]',0.026,75.987,-0.024,-0.181
'[23:48:00.880 30/03/1989]',0.018,76.276,-0.023,-0.181
'[23:48:00.884 30/03/1989]',0.032,75.987,-0.020,-0.181
'[23:48:00.888 30/03/1989]',0.026,75.987,-0.017,-0.180
'[23:48:00.892 30/03/1989]',0.032,75.553,-0.013,-0.180
'[23:48:00.896 30/03/1989]',0.040,75.553,-0.007,-0.180
'[23:48:00.900 30/03/1989]',0.038,75.553,0.000,-0.179
'[23:48:00.904 30/03/1989]',0.040,75.553,0.007,-0.180
'[23:48:00.908 30/03/1989]',0.044,75.263,0.014,-0.179
'[23:48:00.912 30/03/1989]',0.054,75.118,0.019,-0.179
'[23:48:00.916 30/03/1989]',0.056,75.263,0.018,-0.178
'[23:48:00.920 30/03/1989]',0.066,74.974,0.013,-0.177
'[23:48:00.924 30/03/1989]',0.066,74.974,0.008,-0.177
'[23:48:00.928 30/03/1989]',0.068,74.974,0.003,-0.177
'[23:48:00.932 30/03/1989]',0.072,74.974,-0.003,-0.176
'[23:48:00.936 30/03/1989]',0.078,74.974,-0.009,-0.177
'[23:48:00.940 30/03/1989]',0.082,75.118,-0.012,-0.176
'[23:48:00.944 30/03/1989]',0.090,74.974,-0.018,-0.175
'[23:48:00.948 30/03/1989]',0.086,75.553,-0.021,-0.175
'[23:48:00.952 30/03/1989]',0.096,75.842,-0.026,-0.175
'[23:48:00.956 30/03/1989]',0.096,76.711,-0.029,-0.174
'[23:48:00.960 30/03/1989]',0.108,77.289,-0.031,-0.175
'[23:48:00.964 30/03/1989]',0.116,78.447,-0.031,-0.174
'[23:48:00.968 30/03/1989]',0.120,79.316,-0.032,-0.173
'[23:48:00.972 30/03/1989]',0.124,80.908,-0.031,-0.173
'[23:48:00.976 30/03/1989]',0.132,82.500,-0.029,-0.173
'[23:48:00.980 30/03/1989]',0.144,84.237,-0.026,-0.173
'[23:48:00.984 30/03/1989]',0.152,85.974,-0.022,-0.172
'[23:48:00.988 30/03/1989]',0.156,88.000,-0.017,-0.173
'[23:48:00.992 30/03/1989]',0.176,89.737,-0.012,-0.172
'[23:48:00.996 30/03/1989]',0.184,91.474,-0.010,-0.172
'[23:48:01.000 30/03/1989]',0.190,93.645,-0.004,-0.171
'[23:48:01.004 30/03/1989]',0.200,95.816,0.001,-0.171
'[23:48:01.008 30/03/1989]',0.204,97.987,0.006,-0.169
'[23:48:01.012 30/03/1989]',0.218,99.868,0.010,-0.170
'[23:48:01.016 30/03/1989]',0.228,102.039,0.013,-0.169
'[23:48:01.020 30/03/1989]',0.236,104.211,0.014,-0.168
'[23:48:01.024 30/03/1989]',0.248,106.382,0.016,-0.167
'[23:48:01.028 30/03/1989]',0.254,107.974,0.013,-0.166
'[23:48:01.032 30/03/1989]',0.262,109.855,0.008,-0.165
'[23:48:01.036 30/03/1989]',0.272,111.592,0.001,-0.164
'[23:48:01.040 30/03/1989]',0.272,113.618,-0.005,-0.164
'[23:48:01.044 30/03/1989]',0.272,115.066,-0.013,-0.164
'[23:48:01.048 30/03/1989]',0.268,116.658,-0.019,-0.163
'[23:48:01.052 30/03/1989]',0.264,117.816,-0.024,-0.162
'[23:48:01.056 30/03/1989]',0.252,119.408,-0.026,-0.162
'[23:48:01.060 30/03/1989]',0.236,119.842,-0.026,-0.162
'[23:48:01.064 30/03/1989]',0.218,120.855,-0.025,-0.163
'[23:48:01.068 30/03/1989]',0.198,121.289,-0.022,-0.162
'[23:48:01.072 30/03/1989]',0.158,121.289,-0.021,-0.161
'[23:48:01.076 30/03/1989]',0.138,121.289,-0.017,-0.161
'[23:48:01.080 30/03/1989]',0.104,121.579,-0.017,-0.161
'[23:48:01.084 30/03/1989]',0.072,121.289,-0.013,-0.159
'[23:48:01.088 30/03/1989]',0.048,121.145,-0.012,-0.159
'[23:48:01.092 30/03/1989]',0.020,120.276,-0.009,-0.159
'[23:48:01.096 30/03/1989]',0.004,119.842,-0.005,-0.158
'[23:48:01.100 30/03/1989]',-0.016,119.118,0.001,-0.158
'[23:48:01.104 30/03/1989]',-0.024,118.250,0.009,-0.158
'[23:48:01.108 30/03/1989]',-0.042,117.671,0.017,-0.156
'[23:48:01.112 30/03/1989]',-0.048,117.092,0.026,-0.157
'[23:48:01.116 30/03/1989]',-0.062,116.079,0.030,-0.158
'[23:48:01.120 30/03/1989]',-0.066,115.066,0.030,-0.157
'[23:48:01.124 30/03/1989]',-0.076,114.487,0.025,-0.157
'[23:48:01.128 30/03/1989]',-0.068,113.763,0.016,-0.156
'[23:48:01.132 30/03/1989]',-0.080,112.605,0.005,-0.155
'[23:48:01.136 30/03/1989]',-0.078,111.737,-0.005,-0.156
'[23:48:01.140 30/03/1989]',-0.080,110.868,-0.013,-0.154
'[23:48:01.144 30/03/1989]',-0.078,110.000,-0.015,-0.154
'[23:48:01.148 30/03/1989]',-0.066,109.276,-0.020,-0.154
'[23:48:01.152 30/03/1989]',-0.070,108.842,-0.020,-0.153
'[23:48:01.156 30/03/1989]',-0.068,107.974,-0.021,-0.152
'[23:48:01.160 30/03/1989]',-0.056,106.961,-0.022,-0.151
'[23:48:01.164 30/03/1989]',-0.054,106.526,-0.023,-0.150
'[23:48:01.168 30/03/1989]',-0.042,105.513,-0.022,-0.149
'[23:48:01.172 30/03/1989]',-0.050,105.079,-0.020,-0.149
'[23:48:01.176 30/03/1989]',-0.046,104.355,-0.016,-0.149
'[23:48:01.180 30/03/1989]',-0.036,103.776,-0.013,-0.150
'[23:48:01.184 30/03/1989]',-0.040,103.487,-0.008,-0.148
'[23:48:01.188 30/03/1989]',-0.036,103.053,-0.002,-0.148
'[23:48:01.192 30/03/1989]',-0.034,102.184,0.001,-0.148
'[23:48:01.196 30/03/1989]',-0.038,102.184,0.007,-0.148
'[23:48:01.200 30/03/1989]',-0.024,101.461,0.011,-0.147
'[23:48:01.204 30/03/1989]',-0.024,101.171,0.014,-0.147
'[23:48:01.208 30/03/1989]',-0.024,100.737,0.018,-0.148
'[23:48:01.212 30/03/1989]',-0.024,100.303,0.021,-0.148
'[23:48:01.216 30/03/1989]',-0.022,99.868,0.021,-0.148
'[23:48:01.220 30/03/1989]',-0.014,99.434,0.021,-0.147
'[23:48:01.224 30/03/1989]',-0.016,99.145,0.018,-0.147
'[23:48:01.228 30/03/1989]',-0.014,98.421,0.012,-0.147
'[23:48:01.232 30/03/1989]',-0.016,98.132,0.004,-0.147
'[23:48:01.236 30/03/1989]',-0.006,97.263,-0.003,-0.146
'[23:48:01.240 30/03/1989]',-0.000,96.395,-0.011,-0.145
'[23:48:01.244 30/03/1989]',-0.000,95.816,-0.016,-0.146
'[23:48:01.248 30/03/1989]',-0.008,95.382,-0.024,-0.145
'[23:48:01.252 30/03/1989]',-0.000,94.368,-0.024,-0.144
'[23:48:01.256 30/03/1989]',0.006,93.645,-0.024,-0.143
'[23:48:01.260 30/03/1989]',0.016,93.066,-0.022,-0.144
'[23:48:01.264 30/03/1989]',0.008,92.632,-0.019,-0.143
'[23:48:01.268 30/03/1989]',0.008,91.763,-0.018,-0.141
'[23:48:01.272 30/03/1989]',0.016,91.763,-0.017,-0.142
'[23:48:01.276 30/03/1989]',0.006,91.184,-0.017,-0.143
'[23:48:01.280 30/03/1989]',0.006,90.750,-0.014,-0.142
'[23:48:01.284 30/03/1989]',0.012,90.461,-0.011,-0.142
'[23:48:01.288 30/03/1989]',0.016,90.171,-0.008,-0.143
'[23:48:01.292 30/03/1989]',0.016,89.592,-0.005,-0.142
'[23:48:01.296 30/03/1989]',0.020,89.737,-0.001,-0.142
'[23:48:01.300 30/03/1989]',0.018,89.737,0.005,-0.141
'[23:48:01.304 30/03/1989]',0.020,89.158,0.009,-0.142
'[23:48:01.308 30/03/1989]',0.014,89.158,0.015,-0.142
'[23:48:01.312 30/03/1989]',0.018,88.868,0.021,-0.142
'[23:48:01.316 30/03/1989]',0.022,88.724,0.026,-0.140
'[23:48:01.320 30/03/1989]',0.024,88.579,0.030,-0.140
'[23:48:01.324 30/03/1989]',0.024,88.579,0.031,-0.140
'[23:48:01.328 30/03/1989]',0.026,88.579,0.029,-0.140
'[23:48:01.332 30/03/1989]',0.026,88.579,0.024,-0.140
'[23:48:01.336 30/03/1989]',0.026,88.724,0.015,-0.140
'[23:48:01.340 30/03/1989]',0.028,89.013,0.007,-0.140
'[23:48:01.344 30/03/1989]',0.032,88.868,0.001,-0.139
'[23:48:01.348 30/03/1989]',0.032,89.158,-0.007,-0.138
'[23:48:01.352 30/03/1989]',0.032,89.447,-0.012,-0.138
'[23:48:01.356 30/03/1989]',0.034,89.592,-0.016,-0.139
'[23:48:01.360 30/03/1989]',0.036,90.026,-0.020,-0.138
'[23:48:01.364 30/03/1989]',0.040,89.737,-0.022,-0.137
'[23:48:01.368 30/03/1989]',0.038,90.605,-0.022,-0.137
'[23:48:01.372 30/03/1989]',0.038,90.605,-0.023,-0.137
'[23:48:01.376 30/03/1989]',0.044,90.461,-0.023,-0.137
'[23:48:01.380 30/03/1989]',0.040,91.184,-0.021,-0.136
'[23:48:01.384 30/03/1989]',0.044,91.039,-0.019,-0.136
'[23:48:01.388 30/03/1989]',0.046,91.184,-0.018,-0.136
'[23:48:01.392 30/03/1989]',0.044,91.329,-0.015,-0.135
'[23:48:01.396 30/03/1989]',0.052,91.329,-0.011,-0.134
'[23:48:01.400 30/03/1989]',0.046,91.618,-0.006,-0.134
'[23:48:01.404 30/03/1989]',0.054,91.618,0.000,-0.135
'[23:48:01.408 30/03/1989]',0.052,91.763,0.007,-0.134
'[23:48:01.412 30/03/1989]',0.056,92.053,0.014,-0.134
'[23:48:01.416 30/03/1989]',0.056,91.763,0.021,-0.134
'[23:48:01.420 30/03/1989]',0.056,91.763,0.027,-0.133
'[23:48:01.424 30/03/1989]',0.048,91.763,0.031,-0.133
'[23:48:01.428 30/03/1989]',0.064,91.763,0.033,-0.132
'[23:48:01.432 30/03/1989]',0.060,91.618,0.029,-0.132
'[23:48:01.436 30/03/1989]',0.064,91.474,0.021,-0.133
'[23:48:01.440 30/03/1989]',0.066,91.474,0.013,-0.132
'[23:48:01.444 30/03/1989]',0.072,91.474,0.005,-0.131
'[23:48:01.448 30/03/1989]',0.076,91.184,-0.003,-0.132
'[23:48:01.452 30/03/1989]',0.074,91.184,-0.008,-0.131
'[23:48:01.456 30/03/1989]',0.080,91.039,-0.013,-0.132
'[23:48:01.460 30/03/1989]',0.082,90.750,-0.017,-0.132
'[23:48:01.464 30/03/1989]',0.086,90.750,-0.021,-0.131
'[23:48:01.468 30/03/1989]',0.088,90.605,-0.025,-0.130
'[23:48:01.472 30/03/1989]',0.104,90.171,-0.027,-0.128
'[23:48:01.476 30/03/1989]',0.100,89.882,-0.028,-0.128
'[23:48:01.480 30/03/1989]',0.118,89.592,-0.027,-0.128
'[23:48:01.484 30/03/1989]',0.122,89.013,-0.025,-0.126
'[23:48:01.488 30/03/1989]',0.128,88.724,-0.023,-0.127
'[23:48:01.492 30/03/1989]',0.134,88.579,-0.021,-0.126
'[23:48:01.496 30/03/1989]',0.136,88.289,-0.018,-0.126
'[23:48:01.500 30/03/1989]',0.130,88.289,-0.016,-0.125
'[23:48:01.504 30/03/1989]',0.132,87.566,-0.013,-0.125
'[23:48:01.508 30/03/1989]',0.122,87.421,-0.007,-0.124
'[23:48:01.512 30/03/1989]',0.130,86.987,0.002,-0.123
'[23:48:01.516 30/03/1989]',0.126,86.842,0.011,-0.123
'[23:48:01.520 30/03/1989]',0.128,86.263,0.021,-0.121
'[23:48:01.524 30/03/1989]',0.114,86.263,0.026,-0.122
'[23:48:01.528 30/03/1989]',0.112,85.974,0.029,-0.121
'[23:48:01.532 30/03/1989]',0.094,85.974,0.027,-0.121
'[23:48:01.536 30/03/1989]',0.078,85.539,0.022,-0.120
'[23:48:01.540 30/03/1989]',0.070,85.250,0.017,-0.119
'[23:48:01.544 30/03/1989]',0.062,85.105,0.008,-0.120
'[23:48:01.548 30/03/1989]',0.058,84.961,-0.002,-0.119
