'Time and date','ECG','BP','EEG (O2-A1)','Resp (nasal)'
'[00:49:00.136 01/02/1989]',-0.054,95.048,0.022,-0.024
'[00:49:00.140 01/02/1989]',0.012,94.455,0.019,-0.024
'[00:49:00.144 01/02/1989]',0.042,94.455,0.014,-0.008
'[00:49:00.148 01/02/1989]',0.052,94.060,0.018,-0.016
'[00:49:00.152 01/02/1989]',0.060,93.862,0.016,-0.000
'[00:49:00.156 01/02/1989]',0.068,93.467,0.010,0.008
'[00:49:00.160 01/02/1989]',0.070,93.269,0.013,-0.000
'[00:49:00.164 01/02/1989]',0.084,92.874,0.015,-0.000
'[00:49:00.168 01/02/1989]',0.068,91.886,0.013,-0.000
'[00:49:00.172 01/02/1989]',0.074,92.084,0.015,-0.000
'[00:49:00.176 01/02/1989]',0.080,92.479,0.013,-0.040
'[00:49:00.180 01/02/1989]',0.090,91.689,0.013,-0.024
'[00:49:00.184 01/02/1989]',0.096,91.293,0.011,-0.032
'[00:49:00.188 01/02/1989]',0.092,91.293,0.011,-0.040
'[00:49:00.192 01/02/1989]',0.122,90.898,0.006,-0.032
'[00:49:00.196 01/02/1989]',0.114,90.701,0.009,-0.008
'[00:49:00.200 01/02/1989]',0.136,90.898,0.003,-0.008
'[00:49:00.204 01/02/1989]',0.116,90.305,0.003,-0.000
'[00:49:00.208 01/02/1989]',0.108,90.305,0.006,-0.000
'[00:49:00.212 01/02/1989]',0.120,90.108,0.006,-0.000
'[00:49:00.216 01/02/1989]',0.096,89.515,0.007,-0.032
'[00:49:00.220 01/02/1989]',0.114,89.910,0.008,-0.000
'[00:49:00.224 01/02/1989]',0.096,89.120,0.008,-0.016
'[00:49:00.228 01/02/1989]',0.134,89.515,0.010,-0.032
'[00:49:00.232 01/02/1989]',0.142,89.317,0.010,-0.032
'[00:49:00.236 01/02/1989]',0.142,88.724,0.012,-0.048
'[00:49:00.240 01/02/1989]',0.160,88.922,0.013,-0.016
'[00:49:00.244 01/02/1989]',0.140,89.317,0.011,-0.024
'[00:49:00.248 01/02/1989]',0.160,89.515,0.013,-0.000
'[00:49:00.252 01/02/1989]',0.160,88.724,0.014,-0.008
'[00:49:00.256 01/02/1989]',0.142,88.922,0.014,-0.000
'[00:49:00.260 01/02/1989]',0.182,89.713,0.011,-0.016
'[00:49:00.264 01/02/1989]',0.160,90.108,0.015,-0.024
'[00:49:00.268 01/02/1989]',0.154,90.108,0.012,-0.016
'[00:49:00.272 01/02/1989]',0.152,91.689,0.008,-0.000
'[00:49:00.276 01/02/1989]',0.194,93.269,0.008,-0.008
'[00:49:00.280 01/02/1989]',0.168,94.455,0.011,-0.008
'[00:49:00.284 01/02/1989]',0.184,96.629,0.013,-0.024
'[00:49:00.288 01/02/1989]',0.194,98.605,0.012,0.008
'[00:49:00.292 01/02/1989]',0.220,101.174,0.013,-0.008
'[00:49:00.296 01/02/1989]',0.208,103.150,0.010,0.024
'[00:49:00.300 01/02/1989]',0.194,105.323,0.007,0.048
'[00:49:00.304 01/02/1989]',0.218,108.090,0.009,0.024
'[00:49:00.308 01/02/1989]',0.224,110.461,0.009,0.065
'[00:49:00.312 01/02/1989]',0.204,113.623,0.007,0.065
'[00:49:00.316 01/02/1989]',0.206,115.796,0.006,0.024
'[00:49:00.320 01/02/1989]',0.204,118.760,0.008,0.056
'[00:49:00.324 01/02/1989]',0.208,120.736,0.008,0.048
'[00:49:00.328 01/02/1989]',0.180,123.503,0.007,0.048
'[00:49:00.332 01/02/1989]',0.184,126.072,0.008,0.040
'[00:49:00.336 01/02/1989]',0.176,128.443,0.005,0.040
'[00:49:00.340 01/02/1989]',0.162,130.419,0.005,0.056
'[00:49:00.344 01/02/1989]',0.134,132.593,0.005,0.048
'[00:49:00.348 01/02/1989]',0.150,133.778,0.004,0.048
'[00:49:00.352 01/02/1989]',0.140,135.359,0.010,0.089
'[00:49:00.356 01/02/1989]',0.128,136.940,0.007,0.065
'[00:49:00.360 01/02/1989]',0.112,138.126,0.010,0.097
'[00:49:00.364 01/02/1989]',0.088,138.521,0.012,0.097
'[00:49:00.368 01/02/1989]',0.080,139.311,0.011,0.073
'[00:49:00.372 01/02/1989]',0.096,140.102,0.009,0.056
'[00:49:00.376 01/02/1989]',0.050,140.102,0.007,0.065
'[00:49:00.380 01/02/1989]',0.076,140.102,0.009,0.081
'[00:49:00.384 01/02/1989]',0.052,140.102,0.006,0.065
'[00:49:00.388 01/02/1989]',0.052,139.904,0.003,0.065
'[00:49:00.392 01/02/1989]',0.032,139.114,0.005,0.073
'[00:49:00.396 01/02/1989]',0.026,138.521,0.004,0.081
'[00:49:00.400 01/02/1989]',0.020,138.521,-0.000,0.081
'[00:49:00.404 01/02/1989]',0.008,136.940,0.000,0.097
'[00:49:00.408 01/02/1989]',0.016,136.150,0.002,0.065
'[00:49:00.412 01/02/1989]',0.052,135.359,0.002,0.097
'[00:49:00.416 01/02/1989]',0.040,134.174,-0.002,0.056
'[00:49:00.420 01/02/1989]',-0.016,133.186,0.003,0.065
'[00:49:00.424 01/02/1989]',0.026,132.000,0.001,0.065
'[00:49:00.428 01/02/1989]',0.006,130.617,0.000,0.081
'[00:49:00.432 01/02/1989]',0.008,129.629,0.002,0.097
'[00:49:00.436 01/02/1989]',0.026,128.443,0.002,0.081
'[00:49:00.440 01/02/1989]',0.030,127.455,0.003,0.105
'[00:49:00.444 01/02/1989]',0.030,126.665,0.005,0.113
'[00:49:00.448 01/02/1989]',0.008,125.874,0.003,0.097
'[00:49:00.452 01/02/1989]',0.026,124.689,0.004,0.121
'[00:49:00.456 01/02/1989]',0.016,123.701,0.002,0.097
'[00:49:00.460 01/02/1989]',-0.002,122.910,-0.001,0.129
'[00:49:00.464 01/02/1989]',0.036,122.120,0.003,0.121
'[00:49:00.468 01/02/1989]',0.076,120.341,0.003,0.105
'[00:49:00.472 01/02/1989]',0.024,119.748,0.006,0.121
'[00:49:00.476 01/02/1989]',0.054,118.365,0.004,0.121
'[00:49:00.480 01/02/1989]',0.046,117.575,0.007,0.129
'[00:49:00.484 01/02/1989]',0.042,116.389,0.006,0.137
'[00:49:00.488 01/02/1989]',0.036,115.204,0.004,0.153
'[00:49:00.492 01/02/1989]',0.062,113.623,0.006,0.153
'[00:49:00.496 01/02/1989]',0.056,112.437,0.010,0.161
'[00:49:00.500 01/02/1989]',0.072,111.449,0.006,0.161
'[00:49:00.504 01/02/1989]',0.082,110.066,0.008,0.161
'[00:49:00.508 01/02/1989]',0.092,108.880,0.010,0.153
'[00:49:00.512 01/02/1989]',0.066,107.695,0.010,0.161
'[00:49:00.516 01/02/1989]',0.064,106.114,0.011,0.153
'[00:49:00.520 01/02/1989]',0.056,104.730,0.012,0.161
'[00:49:00.524 01/02/1989]',0.040,104.335,0.013,0.153
'[00:49:00.528 01/02/1989]',0.048,103.150,0.014,0.161
'[00:49:00.532 01/02/1989]',0.050,101.766,0.009,0.161
'[00:49:00.536 01/02/1989]',0.038,101.174,0.015,0.169
'[00:49:00.540 01/02/1989]',0.064,100.581,0.012,0.177
'[00:49:00.544 01/02/1989]',0.048,100.186,0.013,0.194
'[00:49:00.548 01/02/1989]',0.076,99.593,0.015,0.194
'[00:49:00.552 01/02/1989]',0.084,99.000,0.019,0.218
'[00:49:00.556 01/02/1989]',0.090,98.605,0.019,0.218
'[00:49:00.560 01/02/1989]',0.086,98.802,0.016,0.210
'[00:49:00.564 01/02/1989]',0.112,98.407,0.020,0.202
'[00:49:00.568 01/02/1989]',0.098,98.407,0.016,0.210
'[00:49:00.572 01/02/1989]',0.122,98.407,0.018,0.210
'[00:49:00.576 01/02/1989]',0.144,98.605,0.019,0.226
'[00:49:00.580 01/02/1989]',0.166,98.802,0.022,0.226
'[00:49:00.584 01/02/1989]',0.156,98.802,0.021,0.210
'[00:49:00.588 01/02/1989]',0.168,99.790,0.020,0.234
'[00:49:00.592 01/02/1989]',0.168,99.790,0.019,0.258
'[00:49:00.596 01/02/1989]',0.144,99.790,0.020,0.258
'[00:49:00.600 01/02/1989]',0.170,99.988,0.020,0.274
'[00:49:00.604 01/02/1989]',0.160,100.581,0.019,0.290
'[00:49:00.608 01/02/1989]',0.148,100.778,0.019,0.258
'[00:49:00.612 01/02/1989]',0.154,101.371,0.021,0.274
'[00:49:00.616 01/02/1989]',0.132,101.371,0.021,0.258
'[00:49:00.620 01/02/1989]',0.116,101.569,0.020,0.258
'[00:49:00.624 01/02/1989]',0.118,101.371,0.020,0.226
'[00:49:00.628 01/02/1989]',0.090,102.359,0.015,0.258
'[00:49:00.632 01/02/1989]',0.074,102.754,0.022,0.258
'[00:49:00.636 01/02/1989]',0.048,102.952,0.011,0.274
'[00:49:00.640 01/02/1989]',0.014,102.952,0.016,0.266
'[00:49:00.644 01/02/1989]',0.016,103.545,0.013,0.266
'[00:49:00.648 01/02/1989]',-0.000,103.347,0.015,0.258
'[00:49:00.652 01/02/1989]',0.006,103.347,0.029,0.258
'[00:49:00.656 01/02/1989]',-0.010,103.742,0.018,0.234
'[00:49:00.660 01/02/1989]',-0.002,103.150,0.016,0.226
'[00:49:00.664 01/02/1989]',0.002,103.347,0.019,0.226
'[00:49:00.668 01/02/1989]',-0.014,103.347,0.013,0.234
'[00:49:00.672 01/02/1989]',-0.020,103.150,0.009,0.202
'[00:49:00.676 01/02/1989]',-0.020,102.952,0.019,0.202
'[00:49:00.680 01/02/1989]',-0.000,102.754,0.018,0.202
'[00:49:00.684 01/02/1989]',-0.004,102.557,0.026,0.202
'[00:49:00.688 01/02/1989]',-0.000,102.359,0.019,0.194
'[00:49:00.692 01/02/1989]',0.010,102.162,0.033,0.194
'[00:49:00.696 01/02/1989]',-0.004,101.371,0.018,0.194
'[00:49:00.700 01/02/1989]',-0.004,101.174,0.014,0.177
'[00:49:00.704 01/02/1989]',-0.000,101.174,0.002,0.161
'[00:49:00.708 01/02/1989]',-0.000,100.581,0.016,0.145
'[00:49:00.712 01/02/1989]',0.016,99.988,0.013,0.129
'[00:49:00.716 01/02/1989]',0.008,99.593,0.018,0.129
'[00:49:00.720 01/02/1989]',0.022,99.000,0.013,0.137
'[00:49:00.724 01/02/1989]',0.026,98.802,0.013,0.105
'[00:49:00.728 01/02/1989]',0.050,98.210,0.011,0.129
'[00:49:00.732 01/02/1989]',0.040,97.617,0.011,0.113
'[00:49:00.736 01/02/1989]',0.098,97.024,0.013,0.129
'[00:49:00.740 01/02/1989]',0.242,96.629,0.010,0.129
'[00:49:00.744 01/02/1989]',0.408,96.233,0.016,0.113
'[00:49:00.748 01/02/1989]',0.654,96.036,0.023,0.065
'[00:49:00.752 01/02/1989]',0.862,95.641,0.014,0.169
'[00:49:00.756 01/02/1989]',0.656,95.048,0.017,0.089
'[00:49:00.760 01/02/1989]',0.558,94.257,0.007,0.089
'[00:49:00.764 01/02/1989]',0.152,94.257,0.004,0.073
'[00:49:00.768 01/02/1989]',-0.286,93.862,0.002,0.032
'[00:49:00.772 01/02/1989]',-0.336,93.665,0.003,0.073
'[00:49:00.776 01/02/1989]',-0.422,93.269,0.002,0.089
'[00:49:00.780 01/02/1989]',-0.354,92.479,0.006,0.024
'[00:49:00.784 01/02/1989]',-0.178,92.084,0.009,0.040
'[00:49:00.788 01/02/1989]',-0.038,92.281,0.007,0.032
'[00:49:00.792 01/02/1989]',0.014,91.886,0.010,0.024
'[00:49:00.796 01/02/1989]',0.048,91.689,0.009,0.016
'[00:49:00.800 01/02/1989]',0.050,91.096,0.008,-0.000
'[00:49:00.804 01/02/1989]',0.064,91.293,0.004,-0.016
'[00:49:00.808 01/02/1989]',0.056,91.096,0.005,-0.032
'[00:49:00.812 01/02/1989]',0.056,90.898,-0.000,-0.048
'[00:49:00.816 01/02/1989]',0.056,90.898,-0.003,-0.081
'[00:49:00.820 01/02/1989]',0.074,90.503,0.000,-0.097
'[00:49:00.824 01/02/1989]',0.078,90.108,0.000,-0.097
'[00:49:00.828 01/02/1989]',0.090,90.108,-0.000,-0.097
'[00:49:00.832 01/02/1989]',0.096,90.108,-0.000,-0.097
'[00:49:00.836 01/02/1989]',0.104,90.108,0.001,-0.097
'[00:49:00.840 01/02/1989]',0.106,89.910,0.001,-0.129
'[00:49:00.844 01/02/1989]',0.104,90.305,-0.000,-0.177
'[00:49:00.848 01/02/1989]',0.112,89.713,-0.001,-0.185
'[00:49:00.852 01/02/1989]',0.112,89.713,0.001,-0.226
'[00:49:00.856 01/02/1989]',0.110,89.713,-0.001,-0.266
'[00:49:00.860 01/02/1989]',0.118,89.515,0.000,-0.298
'[00:49:00.864 01/02/1989]',0.120,89.713,0.001,-0.290
'[00:49:00.868 01/02/1989]',0.128,89.317,0.001,-0.331
'[00:49:00.872 01/02/1989]',0.124,89.515,0.001,-0.347
'[00:49:00.876 01/02/1989]',0.128,89.910,-0.001,-0.339
'[00:49:00.880 01/02/1989]',0.134,89.515,-0.000,-0.387
'[00:49:00.884 01/02/1989]',0.138,90.108,-0.001,-0.387
'[00:49:00.888 01/02/1989]',0.144,90.108,-0.002,-0.355
'[00:49:00.892 01/02/1989]',0.144,89.910,-0.000,-0.427
'[00:49:00.896 01/02/1989]',0.144,90.305,0.000,-0.403
'[00:49:00.900 01/02/1989]',0.142,90.305,-0.002,-0.444
'[00:49:00.904 01/02/1989]',0.146,90.701,-0.001,-0.452
'[00:49:00.908 01/02/1989]',0.154,91.293,0.002,-0.508
'[00:49:00.912 01/02/1989]',0.160,91.491,0.003,-0.516
'[00:49:00.916 01/02/1989]',0.166,92.677,0.004,-0.548
'[00:49:00.920 01/02/1989]',0.174,94.257,0.004,-0.540
'[00:49:00.924 01/02/1989]',0.180,95.245,0.005,-0.548
'[00:49:00.928 01/02/1989]',0.186,97.024,0.005,-0.524
'[00:49:00.932 01/02/1989]',0.198,99.790,0.004,-0.516
'[00:49:00.936 01/02/1989]',0.208,101.371,0.003,-0.540
'[00:49:00.940 01/02/1989]',0.208,103.742,0.002,-0.532
'[00:49:00.944 01/02/1989]',0.212,106.707,-0.002,-0.516
'[00:49:00.948 01/02/1989]',0.224,109.473,-0.004,-0.581
'[00:49:00.952 01/02/1989]',0.224,112.437,-0.005,-0.540
'[00:49:00.956 01/02/1989]',0.228,115.006,-0.008,-0.581
'[00:49:00.960 01/02/1989]',0.228,118.760,-0.012,-0.548
'[00:49:00.964 01/02/1989]',0.232,120.736,-0.012,-0.613
'[00:49:00.968 01/02/1989]',0.230,123.701,-0.014,-0.548
'[00:49:00.972 01/02/1989]',0.224,126.862,-0.016,-0.621
'[00:49:00.976 01/02/1989]',0.220,129.826,-0.015,-0.548
'[00:49:00.980 01/02/1989]',0.214,132.593,-0.015,-0.637
'[00:49:00.984 01/02/1989]',0.204,135.162,-0.013,-0.540
'[00:49:00.988 01/02/1989]',0.194,137.335,-0.013,-0.581
'[00:49:00.992 01/02/1989]',0.184,139.706,-0.012,-0.589
'[00:49:00.996 01/02/1989]',0.174,141.485,-0.010,-0.589
'[00:49:01.000 01/02/1989]',0.160,143.066,-0.010,-0.581
'[00:49:01.004 01/02/1989]',0.150,144.054,-0.010,-0.605
'[00:49:01.008 01/02/1989]',0.142,145.239,-0.009,-0.613
'[00:49:01.012 01/02/1989]',0.128,145.832,-0.009,-0.597
'[00:49:01.016 01/02/1989]',0.116,146.820,-0.011,-0.637
'[00:49:01.020 01/02/1989]',0.104,146.820,-0.011,-0.589
'[00:49:01.024 01/02/1989]',0.092,147.215,-0.013,-0.565
'[00:49:01.028 01/02/1989]',0.080,147.018,-0.015,-0.597
'[00:49:01.032 01/02/1989]',0.068,146.820,-0.018,-0.556
'[00:49:01.036 01/02/1989]',0.056,146.227,-0.019,-0.556
'[00:49:01.040 01/02/1989]',0.048,144.844,-0.022,-0.581
'[00:49:01.044 01/02/1989]',0.040,144.844,-0.024,-0.548
'[00:49:01.048 01/02/1989]',0.024,143.659,-0.024,-0.565
'[00:49:01.052 01/02/1989]',0.038,142.473,-0.023,-0.532
'[00:49:01.056 01/02/1989]',0.024,142.275,-0.022,-0.581
'[00:49:01.060 01/02/1989]',0.022,140.892,-0.023,-0.556
'[00:49:01.064 01/02/1989]',0.020,139.706,-0.022,-0.581
'[00:49:01.068 01/02/1989]',0.016,138.521,-0.022,-0.581
'[00:49:01.072 01/02/1989]',0.010,137.730,-0.023,-0.581
'[00:49:01.076 01/02/1989]',0.012,136.940,-0.025,-0.556
'[00:49:01.080 01/02/1989]',0.012,135.359,-0.025,-0.548
'[00:49:01.084 01/02/1989]',0.016,134.569,-0.025,-0.548
'[00:49:01.088 01/02/1989]',0.018,133.581,-0.025,-0.540
'[00:49:01.092 01/02/1989]',0.020,132.790,-0.025,-0.532
'[00:49:01.096 01/02/1989]',0.024,131.407,-0.025,-0.516
'[00:49:01.100 01/02/1989]',0.024,130.617,-0.027,-0.548
'[00:49:01.104 01/02/1989]',0.028,130.024,-0.029,-0.548
'[00:49:01.108 01/02/1989]',0.032,128.838,-0.030,-0.532
'[00:49:01.112 01/02/1989]',0.028,127.850,-0.032,-0.540
'[00:49:01.116 01/02/1989]',0.030,127.060,-0.035,-0.573
'[00:49:01.120 01/02/1989]',0.034,126.467,-0.035,-0.548
'[00:49:01.124 01/02/1989]',0.030,125.874,-0.035,-0.556
'[00:49:01.128 01/02/1989]',0.030,124.886,-0.031,-0.524
'[00:49:01.132 01/02/1989]',0.040,123.898,-0.030,-0.556
'[00:49:01.136 01/02/1989]',0.048,122.317,-0.028,-0.556
'[00:49:01.140 01/02/1989]',0.046,121.724,-0.026,-0.565
'[00:49:01.144 01/02/1989]',0.046,121.132,-0.027,-0.548
'[00:49:01.148 01/02/1989]',0.052,119.551,-0.026,-0.581
'[00:49:01.152 01/02/1989]',0.056,118.563,-0.025,-0.589
'[00:49:01.156 01/02/1989]',0.066,116.784,-0.026,-0.581
'[00:49:01.160 01/02/1989]',0.080,115.796,-0.026,-0.613
'[00:49:01.164 01/02/1989]',0.088,115.006,-0.027,-0.629
'[00:49:01.168 01/02/1989]',0.098,113.623,-0.026,-0.613
'[00:49:01.172 01/02/1989]',0.106,111.844,-0.028,-0.597
'[00:49:01.176 01/02/1989]',0.128,110.856,-0.026,-0.613
'[00:49:01.180 01/02/1989]',0.152,110.066,-0.025,-0.589
'[00:49:01.184 01/02/1989]',0.170,108.880,-0.023,-0.621
'[00:49:01.188 01/02/1989]',0.192,108.090,-0.023,-0.645
'[00:49:01.192 01/02/1989]',0.216,106.904,-0.024,-0.597
'[00:49:01.196 01/02/1989]',0.196,106.707,-0.023,-0.677
'[00:49:01.200 01/02/1989]',0.192,106.114,-0.026,-0.637
'[00:49:01.204 01/02/1989]',0.184,105.323,-0.026,-0.645
'[00:49:01.208 01/02/1989]',0.184,104.533,-0.025,-0.677
'[00:49:01.212 01/02/1989]',0.192,104.928,-0.025,-0.645
'[00:49:01.216 01/02/1989]',0.192,104.533,-0.025,-0.702
'[00:49:01.220 01/02/1989]',0.184,104.928,-0.025,-0.637
'[00:49:01.224 01/02/1989]',0.168,104.730,-0.025,-0.637
'[00:49:01.228 01/02/1989]',0.152,104.928,-0.025,-0.661
'[00:49:01.232 01/02/1989]',0.132,104.928,-0.027,-0.653
'[00:49:01.236 01/02/1989]',0.100,104.928,-0.027,-0.621
'[00:49:01.240 01/02/1989]',0.068,105.718,-0.027,-0.645
'[00:49:01.244 01/02/1989]',0.038,106.114,-0.030,-0.637
'[00:49:01.248 01/02/1989]',0.020,106.509,-0.028,-0.677
'[00:49:01.252 01/02/1989]',0.014,106.509,-0.026,-0.669
'[00:49:01.256 01/02/1989]',-0.000,107.497,-0.027,-0.677
'[00:49:01.260 01/02/1989]',-0.004,107.892,-0.027,-0.702
'[00:49:01.264 01/02/1989]',-0.010,107.892,-0.023,-0.653
'[00:49:01.268 01/02/1989]',-0.016,108.287,-0.023,-0.677
'[00:49:01.272 01/02/1989]',-0.018,108.485,-0.023,-0.653
'[00:49:01.276 01/02/1989]',-0.014,109.275,-0.021,-0.661
'[00:49:01.280 01/02/1989]',-0.010,109.473,-0.021,-0.661
'[00:49:01.284 01/02/1989]',-0.022,109.868,-0.019,-0.661
'[00:49:01.288 01/02/1989]',-0.016,110.066,-0.019,-0.645
'[00:49:01.292 01/02/1989]',-0.016,110.066,-0.017,-0.661
'[00:49:01.296 01/02/1989]',-0.020,110.066,-0.017,-0.653
'[00:49:01.300 01/02/1989]',-0.014,110.263,-0.018,-0.669
'[00:49:01.304 01/02/1989]',-0.014,110.856,-0.020,-0.677
'[00:49:01.308 01/02/1989]',-0.012,110.066,-0.017,-0.685
'[00:49:01.312 01/02/1989]',-0.010,110.066,-0.018,-0.677
'[00:49:01.316 01/02/1989]',-0.008,109.671,-0.018,-0.677
'[00:49:01.320 01/02/1989]',-0.004,110.066,-0.016,-0.677
'[00:49:01.324 01/02/1989]',0.016,109.473,-0.014,-0.677
'[00:49:01.328 01/02/1989]',0.024,109.275,-0.015,-0.621
'[00:49:01.332 01/02/1989]',0.002,109.275,-0.017,-0.637
'[00:49:01.336 01/02/1989]',-0.026,108.287,-0.016,-0.613
'[00:49:01.340 01/02/1989]',-0.040,108.090,-0.013,-0.645
'[00:49:01.344 01/02/1989]',0.044,107.695,-0.012,-0.637
'[00:49:01.348 01/02/1989]',0.220,107.299,-0.008,-0.613
'[00:49:01.352 01/02/1989]',0.576,106.311,-0.002,-0.645
'[00:49:01.356 01/02/1989]',0.872,106.114,-0.001,-0.645
'[00:49:01.360 01/02/1989]',1.106,105.521,-0.007,-0.653
'[00:49:01.364 01/02/1989]',0.904,105.126,-0.009,-0.710
'[00:49:01.368 01/02/1989]',0.656,104.533,-0.013,-0.637
'[00:49:01.372 01/02/1989]',0.228,103.742,-0.018,-0.645
'[00:49:01.376 01/02/1989]',-0.172,103.742,-0.017,-0.661
'[00:49:01.380 01/02/1989]',-0.200,102.952,-0.016,-0.645
'[00:49:01.384 01/02/1989]',-0.284,102.359,-0.017,-0.669
'[00:49:01.388 01/02/1989]',-0.200,101.964,-0.015,-0.677
'[00:49:01.392 01/02/1989]',-0.100,101.371,-0.014,-0.677
'[00:49:01.396 01/02/1989]',-0.034,101.371,-0.013,-0.669
'[00:49:01.400 01/02/1989]',-0.024,100.778,-0.013,-0.710
'[00:49:01.404 01/02/1989]',-0.030,100.581,-0.013,-0.694
'[00:49:01.408 01/02/1989]',-0.026,99.790,-0.013,-0.710
'[00:49:01.412 01/02/1989]',-0.024,99.000,-0.011,-0.718
'[00:49:01.416 01/02/1989]',-0.024,99.000,-0.011,-0.750
'[00:49:01.420 01/02/1989]',-0.012,98.605,-0.010,-0.750
'[00:49:01.424 01/02/1989]',-0.012,98.210,-0.008,-0.750
'[00:49:01.428 01/02/1989]',-0.006,98.210,-0.007,-0.710
'[00:49:01.432 01/02/1989]',-0.000,97.419,-0.007,-0.742
'[00:49:01.436 01/02/1989]',-0.000,97.024,-0.004,-0.734
'[00:49:01.440 01/02/1989]',0.012,96.431,-0.004,-0.782
'[00:49:01.444 01/02/1989]',0.014,96.431,-0.003,-0.766
'[00:49:01.448 01/02/1989]',0.020,96.431,-0.003,-0.798
'[00:49:01.452 01/02/1989]',0.024,95.838,-0.002,-0.790
'[00:49:01.456 01/02/1989]',0.022,95.245,-0.002,-0.839
'[00:49:01.460 01/02/1989]',0.024,94.653,-0.003,-0.774
'[00:49:01.464 01/02/1989]',0.040,94.257,-0.002,-0.798
'[00:49:01.468 01/02/1989]',0.040,93.862,-0.000,-0.806
'[00:49:01.472 01/02/1989]',0.046,93.862,-0.001,-0.774
'[00:49:01.476 01/02/1989]',0.054,93.467,-0.002,-0.806
'[00:49:01.480 01/02/1989]',0.058,92.874,-0.001,-0.839
'[00:49:01.484 01/02/1989]',0.062,93.072,-0.002,-0.815
'[00:49:01.488 01/02/1989]',0.064,92.479,-0.002,-0.806
'[00:49:01.492 01/02/1989]',0.072,91.886,-0.001,-0.839
'[00:49:01.496 01/02/1989]',0.076,92.281,0.000,-0.823
'[00:49:01.500 01/02/1989]',0.082,92.479,-0.000,-0.839
'[00:49:01.504 01/02/1989]',0.094,92.479,-0.001,-0.831
'[00:49:01.508 01/02/1989]',0.092,92.281,-0.001,-0.815
'[00:49:01.512 01/02/1989]',0.098,93.072,-0.002,-0.806
'[00:49:01.516 01/02/1989]',0.112,94.257,-0.004,-0.815
'[00:49:01.520 01/02/1989]',0.110,95.245,-0.003,-0.782
'[00:49:01.524 01/02/1989]',0.114,96.826,-0.002,-0.815
'[00:49:01.528 01/02/1989]',0.118,98.802,-0.002,-0.806
'[00:49:01.532 01/02/1989]',0.130,101.174,-0.004,-0.774
'[00:49:01.536 01/02/1989]',0.144,103.545,-0.004,-0.758
'[00:49:01.540 01/02/1989]',0.146,106.904,-0.004,-0.815
'[00:49:01.544 01/02/1989]',0.154,110.066,-0.005,-0.766
'[00:49:01.548 01/02/1989]',0.160,113.623,-0.004,-0.782
'[00:49:01.552 01/02/1989]',0.172,117.180,-0.004,-0.790
'[00:49:01.556 01/02/1989]',0.178,120.341,-0.005,-0.766
'[00:49:01.560 01/02/1989]',0.182,124.491,-0.006,-0.766
'[00:49:01.564 01/02/1989]',0.178,127.850,-0.005,-0.774
'[00:49:01.568 01/02/1989]',0.184,131.802,-0.004,-0.718
