'Time and date','ECG','BP','EEG (O2-A1)','Resp (nasal)'
'[03:59:30.512 01/02/1989]',0.046,93.467,0.007,-0.613
'[03:59:30.516 01/02/1989]',0.044,93.269,0.005,-0.621
'[03:59:30.520 01/02/1989]',0.036,92.677,0.003,-0.645
'[03:59:30.524 01/02/1989]',0.032,92.479,0.001,-0.661
'[03:59:30.528 01/02/1989]',0.038,92.677,0.001,-0.621
'[03:59:30.532 01/02/1989]',0.038,91.886,0.001,-0.669
'[03:59:30.536 01/02/1989]',0.046,92.084,0.000,-0.685
'[03:59:30.540 01/02/1989]',0.040,91.491,0.000,-0.653
'[03:59:30.544 01/02/1989]',0.048,92.084,-0.000,-0.710
'[03:59:30.548 01/02/1989]',0.056,91.886,0.001,-0.492
'[03:59:30.552 01/02/1989]',0.058,91.096,0.004,-0.694
'[03:59:30.556 01/02/1989]',0.058,91.096,0.004,-0.621
'[03:59:30.560 01/02/1989]',0.068,90.701,0.006,-0.661
'[03:59:30.564 01/02/1989]',0.072,90.305,0.007,-0.621
'[03:59:30.568 01/02/1989]',0.070,90.108,0.009,-0.685
'[03:59:30.572 01/02/1989]',0.072,90.108,0.008,-0.645
'[03:59:30.576 01/02/1989]',0.074,90.503,0.008,-0.661
'[03:59:30.580 01/02/1989]',0.080,89.910,0.007,-0.702
'[03:59:30.584 01/02/1989]',0.080,89.515,0.007,-0.669
'[03:59:30.588 01/02/1989]',0.086,89.120,0.004,-0.694
'[03:59:30.592 01/02/1989]',0.082,89.317,0.004,-0.710
'[03:59:30.596 01/02/1989]',0.088,88.922,0.002,-0.702
'[03:59:30.600 01/02/1989]',0.090,88.724,0.002,-0.645
'[03:59:30.604 01/02/1989]',0.092,88.527,0.001,-0.653
'[03:59:30.608 01/02/1989]',0.096,88.527,0.002,-0.661
'[03:59:30.612 01/02/1989]',0.098,87.934,0.002,-0.645
'[03:59:30.616 01/02/1989]',0.104,87.934,0.003,-0.621
'[03:59:30.620 01/02/1989]',0.108,87.934,0.003,-0.677
'[03:59:30.624 01/02/1989]',0.112,87.934,0.004,-0.669
'[03:59:30.628 01/02/1989]',0.112,88.527,0.005,-0.718
'[03:59:30.632 01/02/1989]',0.112,88.724,0.006,-0.685
'[03:59:30.636 01/02/1989]',0.112,89.515,0.007,-0.702
'[03:59:30.640 01/02/1989]',0.120,90.305,0.007,-0.677
'[03:59:30.644 01/02/1989]',0.126,91.096,0.007,-0.677
'[03:59:30.648 01/02/1989]',0.128,92.677,0.006,-0.677
'[03:59:30.652 01/02/1989]',0.136,94.455,0.006,-0.661
'[03:59:30.656 01/02/1989]',0.132,96.629,0.003,-0.629
'[03:59:30.660 01/02/1989]',0.136,99.395,0.001,-0.661
'[03:59:30.664 01/02/1989]',0.150,101.569,-0.000,-0.653
'[03:59:30.668 01/02/1989]',0.146,104.533,-0.001,-0.677
'[03:59:30.672 01/02/1989]',0.158,107.695,-0.001,-0.677
'[03:59:30.676 01/02/1989]',0.170,111.251,-0.001,-0.669
'[03:59:30.680 01/02/1989]',0.180,113.227,-0.002,-0.661
'[03:59:30.684 01/02/1989]',0.176,117.180,-0.003,-0.702
'[03:59:30.688 01/02/1989]',0.184,121.527,-0.004,-0.645
'[03:59:30.692 01/02/1989]',0.186,124.096,-0.003,-0.669
'[03:59:30.696 01/02/1989]',0.196,127.257,-0.005,-0.669
'[03:59:30.700 01/02/1989]',0.206,130.221,-0.004,-0.637
'[03:59:30.704 01/02/1989]',0.202,133.186,-0.005,-0.637
'[03:59:30.708 01/02/1989]',0.216,135.952,-0.003,-0.613
'[03:59:30.712 01/02/1989]',0.208,137.928,-0.003,-0.653
'[03:59:30.716 01/02/1989]',0.216,139.706,-0.003,-0.581
'[03:59:30.720 01/02/1989]',0.210,141.683,-0.004,-0.661
'[03:59:30.724 01/02/1989]',0.210,143.066,-0.004,-0.613
'[03:59:30.728 01/02/1989]',0.200,143.461,-0.006,-0.637
'[03:59:30.732 01/02/1989]',0.182,144.647,-0.005,-0.637
'[03:59:30.736 01/02/1989]',0.188,145.042,-0.006,-0.621
'[03:59:30.740 01/02/1989]',0.160,145.437,-0.006,-0.629
'[03:59:30.744 01/02/1989]',0.156,145.437,-0.007,-0.645
'[03:59:30.748 01/02/1989]',0.136,144.647,-0.005,-0.629
'[03:59:30.752 01/02/1989]',0.122,144.054,-0.006,-0.637
'[03:59:30.756 01/02/1989]',0.112,143.659,-0.007,-0.613
'[03:59:30.760 01/02/1989]',0.086,143.066,-0.009,-0.653
'[03:59:30.764 01/02/1989]',0.070,142.275,-0.008,-0.589
'[03:59:30.768 01/02/1989]',0.056,141.485,-0.008,-0.661
'[03:59:30.772 01/02/1989]',0.040,140.497,-0.008,-0.653
'[03:59:30.776 01/02/1989]',0.040,138.916,-0.008,-0.645
'[03:59:30.780 01/02/1989]',0.026,138.323,-0.008,-0.677
'[03:59:30.784 01/02/1989]',0.014,137.335,-0.008,-0.677
'[03:59:30.788 01/02/1989]',0.024,136.150,-0.008,-0.645
'[03:59:30.792 01/02/1989]',0.006,135.359,-0.008,-0.637
'[03:59:30.796 01/02/1989]',0.012,134.371,-0.008,-0.637
'[03:59:30.800 01/02/1989]',-0.000,133.383,-0.009,-0.605
'[03:59:30.804 01/02/1989]',0.002,132.790,-0.009,-0.629
'[03:59:30.808 01/02/1989]',0.014,132.198,-0.008,-0.589
'[03:59:30.812 01/02/1989]',-0.000,131.407,-0.009,-0.589
'[03:59:30.816 01/02/1989]',0.014,131.012,-0.010,-0.589
'[03:59:30.820 01/02/1989]',0.004,130.024,-0.012,-0.613
'[03:59:30.824 01/02/1989]',0.018,129.629,-0.012,-0.605
'[03:59:30.828 01/02/1989]',0.010,129.036,-0.012,-0.645
'[03:59:30.832 01/02/1989]',0.008,128.641,-0.014,-0.645
'[03:59:30.836 01/02/1989]',0.012,128.245,-0.014,-0.645
'[03:59:30.840 01/02/1989]',0.008,127.850,-0.015,-0.597
'[03:59:30.844 01/02/1989]',0.024,127.850,-0.016,-0.581
'[03:59:30.848 01/02/1989]',0.028,127.850,-0.014,-0.565
'[03:59:30.852 01/02/1989]',0.024,127.060,-0.013,-0.556
'[03:59:30.856 01/02/1989]',0.034,127.257,-0.012,-0.548
'[03:59:30.860 01/02/1989]',0.024,126.467,-0.011,-0.565
'[03:59:30.864 01/02/1989]',0.032,126.269,-0.011,-0.548
'[03:59:30.868 01/02/1989]',0.012,125.874,-0.010,-0.581
'[03:59:30.872 01/02/1989]',0.034,125.084,-0.010,-0.565
'[03:59:30.876 01/02/1989]',0.032,125.281,-0.008,-0.581
'[03:59:30.880 01/02/1989]',0.054,124.491,-0.010,-0.565
'[03:59:30.884 01/02/1989]',0.026,123.701,-0.010,-0.556
'[03:59:30.888 01/02/1989]',0.028,123.305,-0.013,-0.556
'[03:59:30.892 01/02/1989]',0.026,121.922,-0.012,-0.556
'[03:59:30.896 01/02/1989]',0.040,121.132,-0.013,-0.548
'[03:59:30.900 01/02/1989]',0.024,119.946,-0.015,-0.532
'[03:59:30.904 01/02/1989]',0.040,118.760,-0.016,-0.524
'[03:59:30.908 01/02/1989]',0.036,117.575,-0.013,-0.500
'[03:59:30.912 01/02/1989]',0.032,116.389,-0.013,-0.476
'[03:59:30.916 01/02/1989]',0.022,115.006,-0.014,-0.500
'[03:59:30.920 01/02/1989]',0.024,114.018,-0.013,-0.516
'[03:59:30.924 01/02/1989]',0.032,112.437,-0.013,-0.476
'[03:59:30.928 01/02/1989]',0.034,111.251,-0.012,-0.516
'[03:59:30.932 01/02/1989]',0.032,110.066,-0.011,-0.508
'[03:59:30.936 01/02/1989]',0.046,109.275,-0.011,-0.524
'[03:59:30.940 01/02/1989]',0.032,108.287,-0.011,-0.516
'[03:59:30.944 01/02/1989]',0.036,106.904,-0.013,-0.516
'[03:59:30.948 01/02/1989]',0.032,106.311,-0.013,-0.508
'[03:59:30.952 01/02/1989]',0.044,105.916,-0.013,-0.492
'[03:59:30.956 01/02/1989]',0.062,105.126,-0.014,-0.460
'[03:59:30.960 01/02/1989]',0.046,104.730,-0.015,-0.452
'[03:59:30.964 01/02/1989]',0.048,104.533,-0.015,-0.452
'[03:59:30.968 01/02/1989]',0.048,104.335,-0.015,-0.460
'[03:59:30.972 01/02/1989]',0.040,104.335,-0.016,-0.419
'[03:59:30.976 01/02/1989]',0.040,104.335,-0.015,-0.444
'[03:59:30.980 01/02/1989]',0.040,104.533,-0.015,-0.484
'[03:59:30.984 01/02/1989]',0.040,104.138,-0.012,-0.460
'[03:59:30.988 01/02/1989]',0.032,104.730,-0.012,-0.452
'[03:59:30.992 01/02/1989]',0.040,104.730,-0.009,-0.427
'[03:59:30.996 01/02/1989]',0.036,104.928,-0.007,-0.419
'[03:59:31.000 01/02/1989]',0.032,105.916,-0.006,-0.387
'[03:59:31.004 01/02/1989]',0.052,105.916,-0.004,-0.395
'[03:59:31.008 01/02/1989]',0.040,105.718,-0.003,-0.363
'[03:59:31.012 01/02/1989]',0.040,106.114,-0.001,-0.387
'[03:59:31.016 01/02/1989]',0.048,106.114,-0.001,-0.379
'[03:59:31.020 01/02/1989]',0.052,106.707,-0.002,-0.387
'[03:59:31.024 01/02/1989]',0.056,106.904,-0.004,-0.395
'[03:59:31.028 01/02/1989]',0.070,106.904,-0.004,-0.403
'[03:59:31.032 01/02/1989]',0.070,107.102,-0.005,-0.411
'[03:59:31.036 01/02/1989]',0.102,106.904,-0.006,-0.444
'[03:59:31.040 01/02/1989]',0.120,106.904,-0.007,-0.387
'[03:59:31.044 01/02/1989]',0.114,107.102,-0.007,-0.379
'[03:59:31.048 01/02/1989]',0.132,106.904,-0.006,-0.339
'[03:59:31.052 01/02/1989]',0.136,106.509,-0.005,-0.411
'[03:59:31.056 01/02/1989]',0.152,106.509,-0.002,-0.347
'[03:59:31.060 01/02/1989]',0.144,106.509,-0.003,-0.387
'[03:59:31.064 01/02/1989]',0.174,105.916,-0.002,-0.371
'[03:59:31.068 01/02/1989]',0.160,105.916,-0.000,-0.387
'[03:59:31.072 01/02/1989]',0.170,105.521,0.000,-0.363
'[03:59:31.076 01/02/1989]',0.180,105.323,-0.000,-0.403
'[03:59:31.080 01/02/1989]',0.192,104.533,0.001,-0.411
'[03:59:31.084 01/02/1989]',0.200,104.533,0.001,-0.411
'[03:59:31.088 01/02/1989]',0.186,103.742,0.000,-0.411
'[03:59:31.092 01/02/1989]',0.160,103.742,0.001,-0.355
'[03:59:31.096 01/02/1989]',0.136,103.150,-0.001,-0.355
'[03:59:31.100 01/02/1989]',0.114,102.359,-0.002,-0.355
'[03:59:31.104 01/02/1989]',0.090,101.964,-0.002,-0.355
'[03:59:31.108 01/02/1989]',0.072,101.964,-0.002,-0.363
'[03:59:31.112 01/02/1989]',0.028,101.174,-0.002,-0.371
'[03:59:31.116 01/02/1989]',0.016,100.778,-0.004,-0.363
'[03:59:31.120 01/02/1989]',0.020,100.581,-0.004,-0.355
'[03:59:31.124 01/02/1989]',0.010,100.186,-0.003,-0.363
'[03:59:31.128 01/02/1989]',0.002,99.593,-0.004,-0.371
'[03:59:31.132 01/02/1989]',0.002,99.395,-0.003,-0.379
'[03:59:31.136 01/02/1989]',-0.022,99.000,-0.002,-0.371
'[03:59:31.140 01/02/1989]',-0.006,98.802,-0.003,-0.339
'[03:59:31.144 01/02/1989]',-0.000,98.210,-0.003,-0.363
'[03:59:31.148 01/02/1989]',-0.002,97.814,-0.003,-0.347
'[03:59:31.152 01/02/1989]',-0.000,97.419,-0.004,-0.355
'[03:59:31.156 01/02/1989]',0.008,97.024,-0.004,-0.323
'[03:59:31.160 01/02/1989]',0.002,96.629,-0.004,-0.331
'[03:59:31.164 01/02/1989]',0.008,96.036,-0.006,-0.323
'[03:59:31.168 01/02/1989]',0.014,95.838,-0.006,-0.355
'[03:59:31.172 01/02/1989]',0.008,95.838,-0.008,-0.363
'[03:59:31.176 01/02/1989]',-0.000,95.048,-0.008,-0.339
'[03:59:31.180 01/02/1989]',0.014,95.048,-0.009,-0.355
'[03:59:31.184 01/02/1989]',0.004,94.257,-0.009,-0.355
'[03:59:31.188 01/02/1989]',0.024,94.257,-0.010,-0.315
'[03:59:31.192 01/02/1989]',0.032,93.665,-0.011,-0.298
'[03:59:31.196 01/02/1989]',0.034,93.467,-0.012,-0.323
'[03:59:31.200 01/02/1989]',0.058,93.467,-0.014,-0.306
'[03:59:31.204 01/02/1989]',0.038,92.874,-0.012,-0.290
'[03:59:31.208 01/02/1989]',0.034,93.269,-0.011,-0.298
'[03:59:31.212 01/02/1989]',0.040,92.677,-0.011,-0.290
'[03:59:31.216 01/02/1989]',0.116,92.281,-0.012,-0.290
'[03:59:31.220 01/02/1989]',0.212,91.886,-0.017,-0.298
'[03:59:31.224 01/02/1989]',0.462,91.886,-0.018,-0.387
'[03:59:31.228 01/02/1989]',0.656,91.491,-0.021,-0.355
'[03:59:31.232 01/02/1989]',0.684,91.491,-0.017,-0.323
'[03:59:31.236 01/02/1989]',0.508,91.293,-0.013,-0.315
'[03:59:31.240 01/02/1989]',0.264,91.096,-0.006,-0.298
'[03:59:31.244 01/02/1989]',-0.054,91.293,-0.002,-0.290
'[03:59:31.248 01/02/1989]',-0.288,90.701,-0.001,-0.258
'[03:59:31.252 01/02/1989]',-0.234,90.701,-0.003,-0.290
'[03:59:31.256 01/02/1989]',-0.226,90.305,-0.003,-0.258
'[03:59:31.260 01/02/1989]',-0.118,89.713,-0.007,-0.290
'[03:59:31.264 01/02/1989]',0.016,89.910,-0.007,-0.290
'[03:59:31.268 01/02/1989]',0.064,89.713,-0.007,-0.290
'[03:59:31.272 01/02/1989]',0.058,89.317,-0.008,-0.250
'[03:59:31.276 01/02/1989]',0.050,89.120,-0.007,-0.282
'[03:59:31.280 01/02/1989]',0.052,88.724,-0.007,-0.298
'[03:59:31.284 01/02/1989]',0.042,88.922,-0.006,-0.266
'[03:59:31.288 01/02/1989]',0.040,88.527,-0.005,-0.250
'[03:59:31.292 01/02/1989]',0.058,88.132,-0.005,-0.242
'[03:59:31.296 01/02/1989]',0.056,87.934,-0.004,-0.250
'[03:59:31.300 01/02/1989]',0.064,87.736,-0.007,-0.250
'[03:59:31.304 01/02/1989]',0.076,87.539,-0.006,-0.258
'[03:59:31.308 01/02/1989]',0.072,87.539,-0.006,-0.242
'[03:59:31.312 01/02/1989]',0.064,87.341,-0.005,-0.242
'[03:59:31.316 01/02/1989]',0.080,87.144,-0.004,-0.234
'[03:59:31.320 01/02/1989]',0.072,86.748,-0.004,-0.250
'[03:59:31.324 01/02/1989]',0.098,86.551,-0.004,-0.234
'[03:59:31.328 01/02/1989]',0.090,86.353,-0.004,-0.250
'[03:59:31.332 01/02/1989]',0.104,86.156,-0.005,-0.226
'[03:59:31.336 01/02/1989]',0.110,85.563,-0.005,-0.258
'[03:59:31.340 01/02/1989]',0.092,85.958,-0.006,-0.218
'[03:59:31.344 01/02/1989]',0.104,86.156,-0.006,-0.234
'[03:59:31.348 01/02/1989]',0.086,85.168,-0.008,-0.194
'[03:59:31.352 01/02/1989]',0.122,85.168,-0.006,-0.202
'[03:59:31.356 01/02/1989]',0.086,85.365,-0.007,-0.185
'[03:59:31.360 01/02/1989]',0.112,85.168,-0.007,-0.226
'[03:59:31.364 01/02/1989]',0.100,84.772,-0.007,-0.242
'[03:59:31.368 01/02/1989]',0.104,84.575,-0.006,-0.258
'[03:59:31.372 01/02/1989]',0.104,84.772,-0.005,-0.242
'[03:59:31.376 01/02/1989]',0.102,84.575,-0.004,-0.274
'[03:59:31.380 01/02/1989]',0.116,84.377,-0.005,-0.242
'[03:59:31.384 01/02/1989]',0.112,84.377,-0.003,-0.210
'[03:59:31.388 01/02/1989]',0.116,84.772,-0.003,-0.185
'[03:59:31.392 01/02/1989]',0.120,84.772,-0.004,-0.177
'[03:59:31.396 01/02/1989]',0.112,85.168,-0.005,-0.153
'[03:59:31.400 01/02/1989]',0.130,85.563,-0.005,-0.161
'[03:59:31.404 01/02/1989]',0.116,86.748,-0.005,-0.177
'[03:59:31.408 01/02/1989]',0.142,87.736,-0.004,-0.177
'[03:59:31.412 01/02/1989]',0.124,88.922,-0.004,-0.194
'[03:59:31.416 01/02/1989]',0.128,90.305,-0.003,-0.169
'[03:59:31.420 01/02/1989]',0.144,92.281,-0.004,-0.177
'[03:59:31.424 01/02/1989]',0.150,94.257,-0.005,-0.202
'[03:59:31.428 01/02/1989]',0.142,97.024,-0.002,-0.194
'[03:59:31.432 01/02/1989]',0.152,99.593,-0.004,-0.153
'[03:59:31.436 01/02/1989]',0.168,102.162,-0.001,-0.161
'[03:59:31.440 01/02/1989]',0.154,105.323,-0.003,-0.161
'[03:59:31.444 01/02/1989]',0.168,108.485,-0.003,-0.153
'[03:59:31.448 01/02/1989]',0.176,111.449,-0.003,-0.185
'[03:59:31.452 01/02/1989]',0.178,114.413,-0.002,-0.145
'[03:59:31.456 01/02/1989]',0.186,117.772,-0.001,-0.153
'[03:59:31.460 01/02/1989]',0.182,120.341,-0.001,-0.161
'[03:59:31.464 01/02/1989]',0.192,123.108,0.001,-0.169
'[03:59:31.468 01/02/1989]',0.180,125.874,-0.000,-0.161
'[03:59:31.472 01/02/1989]',0.186,127.850,0.000,-0.185
'[03:59:31.476 01/02/1989]',0.192,130.221,0.001,-0.169
'[03:59:31.480 01/02/1989]',0.176,132.198,-0.001,-0.194
'[03:59:31.484 01/02/1989]',0.172,133.778,-0.001,-0.137
'[03:59:31.488 01/02/1989]',0.172,135.754,-0.002,-0.153
'[03:59:31.492 01/02/1989]',0.158,136.742,-0.002,-0.137
'[03:59:31.496 01/02/1989]',0.160,137.335,-0.002,-0.097
'[03:59:31.500 01/02/1989]',0.146,137.928,-0.004,-0.145
'[03:59:31.504 01/02/1989]',0.138,137.928,-0.004,-0.169
'[03:59:31.508 01/02/1989]',0.108,137.730,-0.004,-0.161
'[03:59:31.512 01/02/1989]',0.100,137.928,-0.003,-0.185
'[03:59:31.516 01/02/1989]',0.086,137.928,-0.002,-0.169
'[03:59:31.520 01/02/1989]',0.092,137.335,-0.003,-0.194
'[03:59:31.524 01/02/1989]',0.060,136.545,-0.001,-0.177
'[03:59:31.528 01/02/1989]',0.072,135.754,-0.001,-0.202
'[03:59:31.532 01/02/1989]',0.052,134.964,0.001,-0.161
'[03:59:31.536 01/02/1989]',0.032,133.186,0.004,-0.169
'[03:59:31.540 01/02/1989]',0.032,132.790,0.004,-0.161
'[03:59:31.544 01/02/1989]',0.008,131.407,0.005,-0.161
'[03:59:31.548 01/02/1989]',0.016,130.814,0.004,-0.161
'[03:59:31.552 01/02/1989]',0.004,129.629,0.006,-0.169
