sample interval	    ECG	     BP	(C4-A1)	p (sum)
            144	  0.140	 56.093	 -0.024	 -0.400
            145	  0.160	 55.884	 -0.024	 -0.393
            146	  0.145	 56.302	 -0.026	 -0.390
            147	  0.135	 55.674	 -0.024	 -0.380
            148	  0.140	 55.256	 -0.020	 -0.367
            149	  0.140	 55.256	 -0.021	 -0.370
            150	  0.110	 55.046	 -0.021	 -0.362
            151	  0.120	 54.837	 -0.020	 -0.383
            152	  0.100	 54.209	 -0.018	 -0.383
            153	  0.090	 54.628	 -0.016	 -0.388
            154	  0.090	 54.000	 -0.017	 -0.383
            155	  0.095	 54.000	 -0.016	 -0.386
            156	  0.090	 53.791	 -0.014	 -0.378
            157	  0.080	 53.372	 -0.015	 -0.390
            158	  0.075	 53.163	 -0.015	 -0.374
            159	  0.060	 52.744	 -0.014	 -0.365
            160	  0.090	 52.953	 -0.014	 -0.365
            161	  0.060	 52.535	 -0.016	 -0.358
            162	  0.080	 52.116	 -0.015	 -0.365
            163	  0.065	 52.326	 -0.013	 -0.354
            164	  0.085	 52.116	 -0.016	 -0.365
            165	  0.070	 52.116	 -0.015	 -0.365
            166	  0.080	 50.860	 -0.014	 -0.368
            167	  0.080	 51.698	 -0.015	 -0.371
            168	  0.070	 51.070	 -0.017	 -0.375
            169	  0.080	 51.070	 -0.018	 -0.354
            170	  0.080	 50.860	 -0.018	 -0.365
            171	  0.085	 50.442	 -0.022	 -0.342
            172	  0.070	 50.442	 -0.020	 -0.358
            173	  0.080	 50.651	 -0.020	 -0.339
            174	  0.080	 49.814	 -0.021	 -0.354
            175	  0.125	 50.233	 -0.024	 -0.343
            176	  0.150	 49.605	 -0.023	 -0.371
            177	  0.215	 49.814	 -0.020	 -0.359
            178	  0.320	 48.767	 -0.012	 -0.371
            179	  0.500	 49.395	 -0.003	 -0.370
            180	  0.720	 49.186	  0.007	 -0.362
            181	  0.890	 48.977	  0.012	 -0.365
            182	  0.950	 49.186	  0.012	 -0.361
            183	  0.760	 48.767	  0.004	 -0.343
            184	  0.440	 48.558	 -0.006	 -0.336
            185	  0.080	 48.767	 -0.016	 -0.341
            186	 -0.200	 48.349	 -0.025	 -0.342
            187	 -0.320	 47.930	 -0.026	 -0.349
            188	 -0.300	 48.140	 -0.024	 -0.349
            189	 -0.200	 48.558	 -0.026	 -0.361
            190	 -0.110	 47.930	 -0.026	 -0.370
            191	 -0.040	 47.302	 -0.025	 -0.359
            192	 -0.000	 47.512	 -0.023	 -0.359
            193	  0.025	 47.930	 -0.024	 -0.365
            194	  0.060	 47.512	 -0.022	 -0.354
            195	  0.080	 47.093	 -0.025	 -0.352
            196	  0.090	 46.465	 -0.028	 -0.339
            197	  0.085	 46.884	 -0.029	 -0.352
            198	  0.080	 46.465	 -0.025	 -0.336
            199	  0.070	 46.674	 -0.025	 -0.355
            200	  0.080	 46.884	 -0.025	 -0.348
            201	  0.080	 46.884	 -0.025	 -0.371
            202	  0.095	 46.674	 -0.022	 -0.358
            203	  0.095	 46.465	 -0.021	 -0.375
            204	  0.080	 46.465	 -0.022	 -0.374
            205	  0.090	 46.674	 -0.021	 -0.368
            206	  0.100	 46.674	 -0.019	 -0.361
            207	  0.095	 46.256	 -0.019	 -0.359
            208	  0.090	 46.046	 -0.019	 -0.348
            209	  0.105	 46.046	 -0.019	 -0.355
            210	  0.100	 46.256	 -0.021	 -0.336
            211	  0.100	 46.256	 -0.024	 -0.351
            212	  0.100	 46.256	 -0.021	 -0.348
            213	  0.105	 46.256	 -0.019	 -0.357
            214	  0.110	 46.046	 -0.018	 -0.351
            215	  0.115	 45.628	 -0.021	 -0.368
            216	  0.110	 45.419	 -0.018	 -0.367
            217	  0.125	 46.046	 -0.016	 -0.357
            218	  0.120	 45.837	 -0.018	 -0.367
            219	  0.120	 45.419	 -0.018	 -0.348
            220	  0.130	 45.209	 -0.017	 -0.342
            221	  0.130	 45.209	 -0.018	 -0.341
            222	  0.130	 45.419	 -0.016	 -0.332
            223	  0.125	 45.000	 -0.013	 -0.336
            224	  0.140	 45.209	 -0.013	 -0.342
            225	  0.140	 45.419	 -0.014	 -0.351
            226	  0.145	 45.628	 -0.012	 -0.357
            227	  0.150	 46.046	 -0.010	 -0.352
            228	  0.165	 46.256	 -0.010	 -0.370
            229	  0.160	 47.302	 -0.010	 -0.364
            230	  0.160	 48.558	 -0.011	 -0.354
            231	  0.165	 50.023	 -0.014	 -0.342
            232	  0.180	 51.488	 -0.016	 -0.348
            233	  0.180	 54.209	 -0.020	 -0.336
            234	  0.185	 56.302	 -0.021	 -0.332
            235	  0.200	 59.651	 -0.024	 -0.338
            236	  0.180	 62.163	 -0.027	 -0.339
            237	  0.195	 64.674	 -0.026	 -0.338
            238	  0.205	 67.395	 -0.024	 -0.352
            239	  0.205	 70.326	 -0.023	 -0.357
            240	  0.210	 73.465	 -0.022	 -0.359
            241	  0.220	 76.395	 -0.016	 -0.358
            242	  0.215	 79.744	 -0.013	 -0.349
            243	  0.220	 82.465	 -0.012	 -0.346
            244	  0.235	 84.977	 -0.009	 -0.342
            245	  0.240	 87.698	 -0.008	 -0.341
            246	  0.235	 89.791	 -0.008	 -0.342
            247	  0.230	 92.930	 -0.005	 -0.338
            248	  0.230	 94.814	 -0.001	 -0.335
            249	  0.225	 96.488	 -0.002	 -0.351
            250	  0.220	 98.791	 -0.003	 -0.357
            251	  0.210	100.256	 -0.006	 -0.372
            252	  0.215	101.512	 -0.007	 -0.368
            253	  0.200	102.977	 -0.011	 -0.371
            254	  0.200	104.860	 -0.013	 -0.368
            255	  0.190	105.070	 -0.016	 -0.368
            256	  0.180	106.326	 -0.013	 -0.348
            257	  0.170	106.535	 -0.014	 -0.348
            258	  0.150	107.163	 -0.014	 -0.348
            259	  0.140	106.535	 -0.012	 -0.346
            260	  0.125	106.535	 -0.014	 -0.349
            261	  0.100	105.698	 -0.015	 -0.349
            262	  0.090	104.860	 -0.014	 -0.359
            263	  0.080	104.023	 -0.012	 -0.365
            264	  0.060	103.605	 -0.012	 -0.365
            265	  0.040	101.930	 -0.013	 -0.371
            266	  0.030	100.465	 -0.011	 -0.357
            267	  0.035	 99.000	 -0.009	 -0.355
            268	  0.030	 98.163	 -0.010	 -0.355
            269	 -0.000	 96.698	 -0.009	 -0.336
            270	 -0.000	 94.814	 -0.007	 -0.333
            271	 -0.000	 93.349	 -0.008	 -0.325
            272	  0.005	 92.302	 -0.008	 -0.332
            273	 -0.000	 90.837	 -0.006	 -0.326
            274	  0.015	 89.372	 -0.004	 -0.348
            275	  0.005	 88.535	 -0.005	 -0.342
            276	 -0.000	 87.070	 -0.001	 -0.348
            277	  0.005	 85.605	  0.002	 -0.338
            278	  0.015	 84.558	  0.004	 -0.352
            279	  0.010	 84.349	  0.003	 -0.352
            280	 -0.000	 82.465	  0.003	 -0.345
            281	 -0.000	 81.419	  0.002	 -0.325
            282	  0.020	 80.791	 -0.000	 -0.325
            283	 -0.000	 79.744	 -0.002	 -0.313
            284	 -0.000	 78.698	 -0.002	 -0.314
            285	  0.005	 78.070	 -0.004	 -0.316
            286	  0.010	 77.233	 -0.009	 -0.330
            287	  0.010	 76.605	 -0.010	 -0.335
            288	  0.020	 76.186	 -0.010	 -0.345
            289	  0.015	 75.558	 -0.015	 -0.346
            290	  0.020	 75.139	 -0.017	 -0.338
            291	  0.020	 73.884	 -0.015	 -0.330
            292	  0.025	 73.674	 -0.017	 -0.325
            293	  0.020	 73.256	 -0.019	 -0.333
            294	  0.015	 72.628	 -0.017	 -0.325
            295	  0.025	 71.791	 -0.016	 -0.325
            296	  0.025	 70.953	 -0.017	 -0.316
            297	  0.040	 70.744	 -0.016	 -0.329
            298	  0.030	 70.116	 -0.015	 -0.325
            299	  0.030	 69.279	 -0.018	 -0.336
            300	  0.035	 68.651	 -0.023	 -0.329
            301	  0.040	 67.814	 -0.025	 -0.332
            302	  0.040	 67.395	 -0.026	 -0.332
            303	  0.040	 66.558	 -0.028	 -0.348
            304	  0.035	 66.349	 -0.029	 -0.325
            305	  0.040	 65.093	 -0.030	 -0.322
            306	  0.040	 65.093	 -0.028	 -0.307
            307	  0.025	 64.256	 -0.025	 -0.310
            308	  0.040	 63.837	 -0.022	 -0.296
            309	  0.040	 63.628	 -0.017	 -0.307
            310	  0.035	 63.419	 -0.016	 -0.301
            311	  0.040	 62.791	 -0.014	 -0.319
            312	  0.035	 62.372	 -0.011	 -0.319
            313	  0.030	 62.163	 -0.008	 -0.319
            314	  0.045	 62.581	 -0.007	 -0.323
            315	  0.050	 61.953	 -0.005	 -0.314
            316	  0.040	 61.535	 -0.001	 -0.325
            317	  0.050	 61.535	  0.001	 -0.319
            318	  0.050	 61.535	  0.002	 -0.313
            319	  0.050	 61.326	  0.003	 -0.310
            320	  0.050	 61.326	  0.004	 -0.306
            321	  0.050	 61.326	  0.001	 -0.297
            322	  0.040	 61.326	  0.002	 -0.310
            323	  0.050	 61.953	  0.002	 -0.312
            324	  0.045	 61.953	 -0.003	 -0.320
            325	  0.050	 62.372	 -0.007	 -0.325
            326	  0.045	 62.581	 -0.009	 -0.332
            327	  0.055	 62.163	 -0.011	 -0.322
            328	  0.045	 62.372	 -0.015	 -0.323
            329	  0.040	 62.163	 -0.016	 -0.301
            330	  0.055	 62.372	 -0.020	 -0.303
            331	  0.065	 62.791	 -0.017	 -0.291
            332	  0.060	 63.000	 -0.017	 -0.299
            333	  0.060	 63.419	 -0.014	 -0.290
            334	  0.065	 63.628	 -0.010	 -0.303
            335	  0.065	 64.046	 -0.007	 -0.299
            336	  0.075	 64.046	 -0.003	 -0.310
            337	  0.060	 64.256	  0.002	 -0.313
            338	  0.075	 64.256	  0.007	 -0.320
            339	  0.050	 65.093	  0.009	 -0.319
            340	  0.060	 65.093	  0.009	 -0.313
            341	  0.060	 65.093	  0.014	 -0.309
            342	  0.065	 64.884	  0.016	 -0.303
            343	  0.065	 65.093	  0.013	 -0.296
            344	  0.070	 65.512	  0.013	 -0.293
            345	  0.080	 65.512	  0.012	 -0.288
            346	  0.065	 65.512	  0.009	 -0.275
            347	  0.080	 65.093	  0.008	 -0.284
            348	  0.065	 65.512	  0.007	 -0.281
            349	  0.075	 64.884	  0.002	 -0.301
            350	  0.070	 65.302	 -0.002	 -0.290
            351	  0.075	 65.302	 -0.004	 -0.301
            352	  0.070	 65.302	 -0.005	 -0.290
            353	  0.070	 64.674	 -0.004	 -0.291
            354	  0.080	 65.093	 -0.002	 -0.283
            355	  0.085	 64.884	  0.001	 -0.278
            356	  0.085	 65.093	  0.005	 -0.267
            357	  0.080	 64.465	  0.006	 -0.268
            358	  0.080	 64.256	  0.012	 -0.259
            359	  0.085	 64.674	  0.012	 -0.270
            360	  0.090	 64.674	  0.016	 -0.262
            361	  0.080	 64.256	  0.015	 -0.284
            362	  0.095	 64.046	  0.017	 -0.286
            363	  0.090	 63.837	  0.018	 -0.286
            364	  0.085	 63.628	  0.013	 -0.277
            365	  0.095	 63.209	  0.008	 -0.268
            366	  0.080	 63.000	  0.005	 -0.267
            367	  0.095	 62.791	 -0.001	 -0.259
            368	  0.080	 63.000	 -0.007	 -0.252
            369	  0.080	 62.163	 -0.010	 -0.258
            370	  0.095	 61.744	 -0.015	 -0.245
            371	  0.095	 61.535	 -0.020	 -0.246
            372	  0.080	 61.326	 -0.020	 -0.257
            373	  0.095	 61.116	 -0.019	 -0.255
            374	  0.090	 60.698	 -0.019	 -0.278
            375	  0.095	 60.488	 -0.021	 -0.270
            376	  0.100	 60.279	 -0.022	 -0.272
            377	  0.080	 60.070	 -0.023	 -0.261
            378	  0.085	 59.860	 -0.023	 -0.268
            379	  0.100	 59.233	 -0.022	 -0.248
            380	  0.100	 59.023	 -0.022	 -0.251
            381	  0.110	 58.814	 -0.016	 -0.238
            382	  0.105	 58.605	 -0.012	 -0.246
            383	  0.110	 58.186	 -0.007	 -0.230
            384	  0.120	 57.349	 -0.002	 -0.243
            385	  0.115	 57.767	  0.002	 -0.243
            386	  0.120	 57.349	  0.005	 -0.246
            387	  0.125	 57.140	  0.007	 -0.254
            388	  0.140	 56.512	  0.011	 -0.262
            389	  0.140	 56.302	  0.010	 -0.255
            390	  0.145	 56.302	  0.007	 -0.243
            391	  0.145	 55.674	  0.011	 -0.243
            392	  0.145	 55.465	  0.011	 -0.230
            393	  0.135	 55.465	  0.011	 -0.229
            394	  0.135	 55.046	  0.010	 -0.233
            395	  0.140	 54.628	  0.008	 -0.230
            396	  0.115	 54.628	  0.006	 -0.241
            397	  0.110	 54.419	  0.005	 -0.248
            398	  0.120	 54.209	  0.005	 -0.255
            399	  0.100	 53.791	  0.002	 -0.261
            400	  0.100	 53.581	 -0.001	 -0.254
            401	  0.095	 53.372	 -0.003	 -0.262
            402	  0.085	 52.953	 -0.002	 -0.238
            403	  0.070	 53.372	 -0.002	 -0.248
            404	  0.080	 52.953	 -0.007	 -0.226
            405	  0.060	 52.535	 -0.008	 -0.229
            406	  0.075	 52.116	 -0.008	 -0.220
            407	  0.075	 51.907	 -0.010	 -0.226
            408	  0.080	 51.698	 -0.010	 -0.219
            409	  0.065	 52.116	 -0.011	 -0.248
            410	  0.075	 51.698	 -0.011	 -0.230
            411	  0.075	 51.279	 -0.014	 -0.243
            412	  0.080	 51.279	 -0.011	 -0.248
            413	  0.080	 50.860	 -0.008	 -0.243
            414	  0.080	 50.860	 -0.009	 -0.243
            415	  0.080	 51.070	 -0.012	 -0.232
            416	  0.080	 49.814	 -0.009	 -0.228
            417	  0.080	 50.442	 -0.008	 -0.220
            418	  0.080	 50.233	 -0.009	 -0.220
            419	  0.090	 50.233	 -0.010	 -0.226
            420	  0.095	 49.395	 -0.011	 -0.222
            421	  0.100	 49.605	 -0.012	 -0.230
            422	  0.135	 49.395	 -0.010	 -0.239
            423	  0.170	 49.395	 -0.002	 -0.243
            424	  0.245	 48.977	  0.005	 -0.249
            425	  0.375	 48.977	  0.013	 -0.245
            426	  0.560	 48.977	  0.026	 -0.251
            427	  0.765	 48.767	  0.037	 -0.232
            428	  0.910	 48.349	  0.040	 -0.233
            429	  0.945	 48.767	  0.035	 -0.216
            430	  0.710	 48.140	  0.024	 -0.212
            431	  0.355	 47.930	  0.012	 -0.214
            432	 -0.015	 48.349	  0.000	 -0.230
            433	 -0.220	 47.512	 -0.007	 -0.222
            434	 -0.320	 47.930	 -0.010	 -0.238
            435	 -0.265	 47.512	 -0.011	 -0.233
            436	 -0.170	 48.140	 -0.011	 -0.242
            437	 -0.080	 47.512	 -0.011	 -0.243
            438	 -0.030	 47.512	 -0.008	 -0.239
            439	 -0.000	 47.930	 -0.011	 -0.243
            440	  0.040	 47.512	 -0.014	 -0.229
            441	  0.060	 47.093	 -0.015	 -0.226
            442	  0.080	 47.302	 -0.018	 -0.226
            443	  0.080	 47.721	 -0.021	 -0.228
            444	  0.080	 47.093	 -0.024	 -0.223
            445	  0.060	 47.093	 -0.026	 -0.245
            446	  0.080	 47.093	 -0.029	 -0.239
            447	  0.070	 47.302	 -0.028	 -0.252
            448	  0.085	 47.302	 -0.026	 -0.249
            449	  0.085	 46.884	 -0.027	 -0.262
            450	  0.080	 46.884	 -0.028	 -0.243
            451	  0.090	 46.674	 -0.030	 -0.249
            452	  0.105	 47.093	 -0.028	 -0.238
            453	  0.080	 46.465	 -0.028	 -0.238
            454	  0.095	 46.674	 -0.028	 -0.217
            455	  0.100	 46.256	 -0.028	 -0.229
            456	  0.100	 46.465	 -0.028	 -0.223
            457	  0.105	 46.256	 -0.026	 -0.235
            458	  0.100	 46.256	 -0.025	 -0.235
            459	  0.100	 46.256	 -0.023	 -0.248
            460	  0.120	 46.465	 -0.023	 -0.254
            461	  0.115	 46.256	 -0.023	 -0.249
            462	  0.115	 45.837	 -0.023	 -0.245
            463	  0.125	 46.465	 -0.020	 -0.252
            464	  0.125	 46.256	 -0.022	 -0.242
            465	  0.100	 46.256	 -0.024	 -0.233
            466	  0.130	 46.256	 -0.023	 -0.226
            467	  0.120	 46.046	 -0.025	 -0.226
            468	  0.120	 46.256	 -0.026	 -0.214
            469	  0.125	 46.256	 -0.028	 -0.228
            470	  0.135	 45.419	 -0.028	 -0.226
            471	  0.135	 45.419	 -0.030	 -0.241
            472	  0.145	 46.046	 -0.030	 -0.241
            473	  0.140	 46.256	 -0.030	 -0.238
            474	  0.140	 46.256	 -0.033	 -0.245
            475	  0.140	 47.093	 -0.035	 -0.233
            476	  0.155	 47.930	 -0.033	 -0.238
            477	  0.155	 49.395	 -0.031	 -0.219
            478	  0.170	 51.070	 -0.031	 -0.230
            479	  0.170	 53.581	 -0.033	 -0.206
            480	  0.175	 55.674	 -0.033	 -0.217
            481	  0.195	 57.558	 -0.029	 -0.203
            482	  0.200	 60.698	 -0.028	 -0.226
            483	  0.205	 63.000	 -0.028	 -0.214
            484	  0.195	 65.721	 -0.029	 -0.241
            485	  0.210	 68.651	 -0.030	 -0.229
            486	  0.205	 71.791	 -0.034	 -0.230
            487	  0.210	 74.721	 -0.032	 -0.233
            488	  0.210	 77.233	 -0.032	 -0.226
            489	  0.225	 81.000	 -0.033	 -0.217
            490	  0.215	 83.512	 -0.036	 -0.219
            491	  0.235	 85.814	 -0.034	 -0.216
            492	  0.225	 88.744	 -0.034	 -0.210
            493	  0.220	 91.465	 -0.034	 -0.219
            494	  0.240	 93.767	 -0.035	 -0.220
            495	  0.220	 95.442	 -0.035	 -0.226
            496	  0.215	 97.535	 -0.037	 -0.232
            497	  0.230	 99.419	 -0.035	 -0.252
            498	  0.220	100.674	 -0.031	 -0.242
            499	  0.225	101.721	 -0.030	 -0.241
            500	  0.220	103.605	 -0.030	 -0.226
            501	  0.200	105.070	 -0.026	 -0.235
            502	  0.200	105.698	 -0.025	 -0.222
            503	  0.175	106.535	 -0.022	 -0.219
            504	  0.160	107.163	 -0.023	 -0.213
            505	  0.145	107.163	 -0.021	 -0.220
            506	  0.135	107.163	 -0.020	 -0.214
            507	  0.115	106.744	 -0.020	 -0.232
            508	  0.120	105.698	 -0.019	 -0.222
            509	  0.095	104.860	 -0.018	 -0.243
            510	  0.080	103.814	 -0.018	 -0.226
            511	  0.080	102.977	 -0.020	 -0.226
            512	  0.050	101.302	 -0.019	 -0.222
            513	  0.035	100.046	 -0.019	 -0.217
            514	  0.030	 99.419	 -0.022	 -0.210
            515	  0.015	 97.326	 -0.026	 -0.197
            516	  0.005	 95.651	 -0.026	 -0.190
            517	  0.005	 94.395	 -0.026	 -0.183
            518	  0.020	 93.349	 -0.029	 -0.186
            519	  0.005	 91.674	 -0.029	 -0.194
            520	 -0.000	 90.628	 -0.029	 -0.203
            521	 -0.000	 89.372	 -0.031	 -0.197
            522	 -0.000	 87.907	 -0.028	 -0.204
            523	 -0.000	 86.651	 -0.026	 -0.191
            524	  0.005	 85.605	 -0.026	 -0.191
            525	 -0.000	 84.349	 -0.026	 -0.186
            526	 -0.000	 83.093	 -0.024	 -0.174
            527	 -0.000	 82.256	 -0.022	 -0.162
            528	  0.005	 81.419	 -0.019	 -0.161
            529	 -0.000	 80.581	 -0.020	 -0.148
            530	  0.005	 79.953	 -0.017	 -0.157
            531	  0.020	 79.535	 -0.018	 -0.151
            532	  0.005	 77.860	 -0.017	 -0.159
            533	  0.015	 77.233	 -0.016	 -0.157
            534	  0.015	 76.186	 -0.014	 -0.165
            535	  0.015	 76.186	 -0.012	 -0.155
            536	  0.010	 75.558	 -0.014	 -0.157
            537	  0.030	 74.721	 -0.013	 -0.142
            538	  0.020	 73.884	 -0.012	 -0.136
            539	  0.025	 73.884	 -0.016	 -0.128
            540	  0.020	 73.256	 -0.019	 -0.125
            541	  0.025	 72.419	 -0.020	 -0.117
            542	  0.020	 71.791	 -0.020	 -0.116
            543	  0.020	 71.372	 -0.022	 -0.119
            544	  0.035	 70.326	 -0.022	 -0.117
            545	  0.040	 69.698	 -0.023	 -0.132
            546	  0.035	 69.279	 -0.024	 -0.128
            547	  0.030	 68.442	 -0.024	 -0.130
            548	  0.035	 67.814	 -0.022	 -0.125
            549	  0.050	 66.558	 -0.022	 -0.123
            550	  0.035	 66.349	 -0.023	 -0.109
            551	  0.040	 65.930	 -0.021	 -0.106
            552	  0.035	 65.093	 -0.019	 -0.091
            553	  0.045	 64.465	 -0.019	 -0.094
            554	  0.045	 64.674	 -0.017	 -0.083
            555	  0.040	 63.837	 -0.018	 -0.093
            556	  0.045	 63.000	 -0.015	 -0.086
            557	  0.040	 63.000	 -0.015	 -0.099
            558	  0.040	 62.163	 -0.016	 -0.096
            559	  0.045	 62.372	 -0.016	 -0.097
