sample interval	    ECG	     BP	(C3-O1)	(nasal)
             49	  0.018	120.711	 -0.021	 -0.071
             50	  0.002	119.987	 -0.011	 -0.073
             51	 -0.016	119.263	 -0.001	 -0.076
             52	 -0.032	118.684	  0.012	 -0.077
             53	 -0.038	117.961	  0.020	 -0.078
             54	 -0.056	117.092	  0.028	 -0.080
             55	 -0.058	115.645	  0.028	 -0.081
             56	 -0.064	115.211	  0.025	 -0.083
             57	 -0.062	114.053	  0.018	 -0.084
             58	 -0.064	113.184	  0.009	 -0.086
             59	 -0.060	112.171	  0.002	 -0.088
             60	 -0.062	111.013	 -0.007	 -0.088
             61	 -0.064	110.145	 -0.014	 -0.089
             62	 -0.066	109.566	 -0.021	 -0.092
             63	 -0.056	108.408	 -0.025	 -0.091
             64	 -0.056	107.684	 -0.028	 -0.093
             65	 -0.048	106.961	 -0.032	 -0.095
             66	 -0.048	106.092	 -0.036	 -0.096
             67	 -0.046	105.368	 -0.034	 -0.096
             68	 -0.046	104.934	 -0.030	 -0.099
             69	 -0.042	104.066	 -0.022	 -0.100
             70	 -0.040	103.487	 -0.014	 -0.102
             71	 -0.036	102.763	 -0.006	 -0.102
             72	 -0.028	101.895	 -0.002	 -0.104
             73	 -0.028	101.026	  0.002	 -0.104
             74	 -0.024	100.447	  0.006	 -0.106
             75	 -0.024	100.447	  0.012	 -0.107
             76	 -0.030	 99.724	  0.014	 -0.107
             77	 -0.020	 99.289	  0.015	 -0.108
             78	 -0.012	 98.711	  0.014	 -0.109
             79	 -0.014	 98.276	  0.011	 -0.110
             80	 -0.010	 97.842	  0.006	 -0.111
             81	 -0.002	 97.118	  0.002	 -0.112
             82	 -0.000	 96.395	 -0.004	 -0.113
             83	 -0.002	 96.395	 -0.012	 -0.115
             84	 -0.000	 95.671	 -0.016	 -0.116
             85	 -0.000	 95.092	 -0.021	 -0.118
             86	  0.006	 94.513	 -0.024	 -0.120
             87	 -0.000	 93.789	 -0.025	 -0.121
             88	  0.006	 93.355	 -0.026	 -0.123
             89	  0.008	 92.921	 -0.024	 -0.124
             90	  0.012	 91.763	 -0.024	 -0.126
             91	  0.008	 91.329	 -0.024	 -0.127
             92	  0.016	 90.895	 -0.021	 -0.128
             93	  0.022	 90.171	 -0.019	 -0.129
             94	  0.024	 89.592	 -0.018	 -0.130
             95	  0.024	 89.447	 -0.014	 -0.132
             96	  0.016	 89.447	 -0.007	 -0.134
             97	  0.018	 88.868	  0.000	 -0.136
             98	  0.018	 88.579	  0.009	 -0.137
             99	  0.026	 88.289	  0.018	 -0.139
            100	  0.018	 88.289	  0.026	 -0.140
            101	  0.022	 88.000	  0.029	 -0.143
            102	  0.024	 88.000	  0.025	 -0.145
            103	  0.030	 87.855	  0.018	 -0.147
            104	  0.034	 87.711	  0.010	 -0.148
            105	  0.032	 87.711	 -0.001	 -0.150
            106	  0.032	 87.711	 -0.009	 -0.152
            107	  0.040	 87.855	 -0.014	 -0.154
            108	  0.032	 88.000	 -0.022	 -0.156
            109	  0.040	 87.711	 -0.027	 -0.157
            110	  0.036	 88.145	 -0.031	 -0.158
            111	  0.040	 88.289	 -0.034	 -0.159
            112	  0.034	 88.868	 -0.037	 -0.161
            113	  0.040	 88.579	 -0.039	 -0.162
            114	  0.040	 89.303	 -0.039	 -0.163
            115	  0.040	 89.303	 -0.037	 -0.163
            116	  0.048	 89.592	 -0.034	 -0.164
            117	  0.044	 89.882	 -0.027	 -0.164
            118	  0.044	 90.171	 -0.019	 -0.164
            119	  0.046	 90.461	 -0.010	 -0.164
            120	  0.048	 90.895	 -0.001	 -0.166
            121	  0.048	 91.184	  0.009	 -0.166
            122	  0.048	 90.895	  0.017	 -0.166
            123	  0.048	 91.474	  0.023	 -0.167
            124	  0.048	 91.763	  0.029	 -0.169
            125	  0.054	 91.618	  0.033	 -0.168
            126	  0.052	 92.053	  0.033	 -0.170
            127	  0.054	 92.053	  0.030	 -0.171
            128	  0.050	 92.342	  0.026	 -0.173
            129	  0.062	 92.342	  0.020	 -0.172
            130	  0.054	 92.342	  0.009	 -0.174
            131	  0.064	 92.197	  0.002	 -0.174
            132	  0.064	 91.908	 -0.006	 -0.175
            133	  0.070	 92.053	 -0.015	 -0.176
            134	  0.080	 91.763	 -0.024	 -0.177
            135	  0.084	 91.763	 -0.028	 -0.178
            136	  0.082	 91.618	 -0.032	 -0.179
            137	  0.082	 91.329	 -0.037	 -0.179
            138	  0.090	 91.184	 -0.038	 -0.179
            139	  0.090	 91.184	 -0.039	 -0.179
            140	  0.100	 90.605	 -0.037	 -0.180
            141	  0.100	 90.750	 -0.033	 -0.181
            142	  0.110	 90.171	 -0.026	 -0.182
            143	  0.120	 89.592	 -0.018	 -0.183
            144	  0.130	 89.447	 -0.012	 -0.183
            145	  0.136	 89.303	 -0.007	 -0.183
            146	  0.136	 88.724	  0.001	 -0.184
            147	  0.138	 88.724	  0.007	 -0.184
            148	  0.146	 88.000	  0.011	 -0.184
            149	  0.134	 88.000	  0.017	 -0.185
            150	  0.128	 87.711	  0.024	 -0.185
            151	  0.122	 87.711	  0.028	 -0.185
            152	  0.118	 87.421	  0.032	 -0.185
            153	  0.120	 87.132	  0.032	 -0.186
            154	  0.114	 86.842	  0.031	 -0.186
            155	  0.118	 86.697	  0.022	 -0.185
            156	  0.104	 86.118	  0.015	 -0.185
            157	  0.090	 86.408	  0.007	 -0.185
            158	  0.082	 85.829	  0.002	 -0.187
            159	  0.072	 85.684	 -0.003	 -0.186
            160	  0.062	 85.105	 -0.008	 -0.185
            161	  0.056	 84.961	 -0.010	 -0.186
            162	  0.058	 84.526	 -0.017	 -0.185
            163	  0.072	 84.237	 -0.022	 -0.184
            164	  0.074	 84.237	 -0.024	 -0.184
            165	  0.076	 83.658	 -0.027	 -0.184
            166	  0.068	 83.513	 -0.026	 -0.185
            167	  0.066	 83.079	 -0.025	 -0.185
            168	  0.066	 82.789	 -0.021	 -0.186
            169	  0.068	 82.645	 -0.016	 -0.186
            170	  0.062	 82.934	 -0.011	 -0.187
            171	  0.064	 82.500	 -0.006	 -0.188
            172	  0.064	 82.500	 -0.001	 -0.188
            173	  0.064	 82.355	  0.003	 -0.188
            174	  0.062	 81.921	  0.009	 -0.188
            175	  0.064	 81.776	  0.018	 -0.187
            176	  0.068	 81.632	  0.025	 -0.188
            177	  0.070	 81.487	  0.027	 -0.187
            178	  0.066	 81.342	  0.024	 -0.187
            179	  0.072	 80.908	  0.017	 -0.187
            180	  0.078	 80.908	  0.006	 -0.187
            181	  0.070	 80.908	 -0.002	 -0.187
            182	  0.068	 80.908	 -0.007	 -0.187
            183	  0.044	 80.474	 -0.014	 -0.187
            184	  0.022	 80.184	 -0.012	 -0.186
            185	 -0.008	 79.895	 -0.013	 -0.185
            186	 -0.008	 80.039	 -0.014	 -0.185
            187	  0.032	 80.039	 -0.016	 -0.185
            188	  0.152	 79.605	 -0.020	 -0.185
            189	  0.354	 79.461	 -0.023	 -0.185
            190	  0.584	 79.461	 -0.024	 -0.185
            191	  0.858	 79.461	 -0.028	 -0.185
            192	  1.096	 79.461	 -0.029	 -0.186
            193	  1.256	 79.171	 -0.027	 -0.186
            194	  1.332	 78.882	 -0.023	 -0.186
            195	  1.278	 79.026	 -0.020	 -0.187
            196	  0.932	 78.737	 -0.015	 -0.185
            197	  0.454	 78.592	 -0.012	 -0.187
            198	  0.050	 78.737	 -0.008	 -0.187
            199	 -0.244	 78.592	 -0.004	 -0.186
            200	 -0.248	 78.592	  0.002	 -0.186
            201	 -0.122	 78.447	  0.004	 -0.187
            202	 -0.012	 78.158	  0.008	 -0.187
            203	  0.008	 78.158	  0.011	 -0.187
            204	 -0.000	 78.013	  0.012	 -0.187
            205	 -0.000	 77.868	  0.012	 -0.187
            206	 -0.006	 77.868	  0.008	 -0.187
            207	 -0.002	 77.868	  0.004	 -0.187
            208	 -0.016	 78.013	 -0.003	 -0.187
            209	 -0.008	 77.868	 -0.009	 -0.187
            210	 -0.010	 77.868	 -0.014	 -0.186
            211	 -0.000	 77.434	 -0.018	 -0.187
            212	 -0.000	 77.289	 -0.021	 -0.185
            213	  0.002	 76.855	 -0.023	 -0.184
            214	  0.016	 76.855	 -0.023	 -0.183
            215	  0.008	 76.711	 -0.025	 -0.182
            216	  0.014	 76.566	 -0.024	 -0.183
            217	  0.020	 76.566	 -0.024	 -0.182
            218	  0.022	 76.276	 -0.024	 -0.182
            219	  0.026	 75.987	 -0.024	 -0.181
            220	  0.018	 76.276	 -0.023	 -0.181
            221	  0.032	 75.987	 -0.020	 -0.181
            222	  0.026	 75.987	 -0.017	 -0.180
            223	  0.032	 75.553	 -0.013	 -0.180
            224	  0.040	 75.553	 -0.007	 -0.180
            225	  0.038	 75.553	  0.000	 -0.179
            226	  0.040	 75.553	  0.007	 -0.180
            227	  0.044	 75.263	  0.014	 -0.179
            228	  0.054	 75.118	  0.019	 -0.179
            229	  0.056	 75.263	  0.018	 -0.178
            230	  0.066	 74.974	  0.013	 -0.177
            231	  0.066	 74.974	  0.008	 -0.177
            232	  0.068	 74.974	  0.003	 -0.177
            233	  0.072	 74.974	 -0.003	 -0.176
            234	  0.078	 74.974	 -0.009	 -0.177
            235	  0.082	 75.118	 -0.012	 -0.176
            236	  0.090	 74.974	 -0.018	 -0.175
            237	  0.086	 75.553	 -0.021	 -0.175
            238	  0.096	 75.842	 -0.026	 -0.175
            239	  0.096	 76.711	 -0.029	 -0.174
            240	  0.108	 77.289	 -0.031	 -0.175
            241	  0.116	 78.447	 -0.031	 -0.174
            242	  0.120	 79.316	 -0.032	 -0.173
            243	  0.124	 80.908	 -0.031	 -0.173
            244	  0.132	 82.500	 -0.029	 -0.173
            245	  0.144	 84.237	 -0.026	 -0.173
            246	  0.152	 85.974	 -0.022	 -0.172
            247	  0.156	 88.000	 -0.017	 -0.173
            248	  0.176	 89.737	 -0.012	 -0.172
            249	  0.184	 91.474	 -0.010	 -0.172
            250	  0.190	 93.645	 -0.004	 -0.171
            251	  0.200	 95.816	  0.001	 -0.171
            252	  0.204	 97.987	  0.006	 -0.169
            253	  0.218	 99.868	  0.010	 -0.170
            254	  0.228	102.039	  0.013	 -0.169
            255	  0.236	104.211	  0.014	 -0.168
            256	  0.248	106.382	  0.016	 -0.167
            257	  0.254	107.974	  0.013	 -0.166
            258	  0.262	109.855	  0.008	 -0.165
            259	  0.272	111.592	  0.001	 -0.164
            260	  0.272	113.618	 -0.005	 -0.164
            261	  0.272	115.066	 -0.013	 -0.164
            262	  0.268	116.658	 -0.019	 -0.163
            263	  0.264	117.816	 -0.024	 -0.162
            264	  0.252	119.408	 -0.026	 -0.162
            265	  0.236	119.842	 -0.026	 -0.162
            266	  0.218	120.855	 -0.025	 -0.163
            267	  0.198	121.289	 -0.022	 -0.162
            268	  0.158	121.289	 -0.021	 -0.161
            269	  0.138	121.289	 -0.017	 -0.161
            270	  0.104	121.579	 -0.017	 -0.161
            271	  0.072	121.289	 -0.013	 -0.159
            272	  0.048	121.145	 -0.012	 -0.159
            273	  0.020	120.276	 -0.009	 -0.159
            274	  0.004	119.842	 -0.005	 -0.158
            275	 -0.016	119.118	  0.001	 -0.158
            276	 -0.024	118.250	  0.009	 -0.158
            277	 -0.042	117.671	  0.017	 -0.156
            278	 -0.048	117.092	  0.026	 -0.157
            279	 -0.062	116.079	  0.030	 -0.158
            280	 -0.066	115.066	  0.030	 -0.157
            281	 -0.076	114.487	  0.025	 -0.157
            282	 -0.068	113.763	  0.016	 -0.156
            283	 -0.080	112.605	  0.005	 -0.155
            284	 -0.078	111.737	 -0.005	 -0.156
            285	 -0.080	110.868	 -0.013	 -0.154
            286	 -0.078	110.000	 -0.015	 -0.154
            287	 -0.066	109.276	 -0.020	 -0.154
            288	 -0.070	108.842	 -0.020	 -0.153
            289	 -0.068	107.974	 -0.021	 -0.152
            290	 -0.056	106.961	 -0.022	 -0.151
            291	 -0.054	106.526	 -0.023	 -0.150
            292	 -0.042	105.513	 -0.022	 -0.149
            293	 -0.050	105.079	 -0.020	 -0.149
            294	 -0.046	104.355	 -0.016	 -0.149
            295	 -0.036	103.776	 -0.013	 -0.150
            296	 -0.040	103.487	 -0.008	 -0.148
            297	 -0.036	103.053	 -0.002	 -0.148
            298	 -0.034	102.184	  0.001	 -0.148
            299	 -0.038	102.184	  0.007	 -0.148
            300	 -0.024	101.461	  0.011	 -0.147
            301	 -0.024	101.171	  0.014	 -0.147
            302	 -0.024	100.737	  0.018	 -0.148
            303	 -0.024	100.303	  0.021	 -0.148
            304	 -0.022	 99.868	  0.021	 -0.148
            305	 -0.014	 99.434	  0.021	 -0.147
            306	 -0.016	 99.145	  0.018	 -0.147
            307	 -0.014	 98.421	  0.012	 -0.147
            308	 -0.016	 98.132	  0.004	 -0.147
            309	 -0.006	 97.263	 -0.003	 -0.146
            310	 -0.000	 96.395	 -0.011	 -0.145
            311	 -0.000	 95.816	 -0.016	 -0.146
            312	 -0.008	 95.382	 -0.024	 -0.145
            313	 -0.000	 94.368	 -0.024	 -0.144
            314	  0.006	 93.645	 -0.024	 -0.143
            315	  0.016	 93.066	 -0.022	 -0.144
            316	  0.008	 92.632	 -0.019	 -0.143
            317	  0.008	 91.763	 -0.018	 -0.141
            318	  0.016	 91.763	 -0.017	 -0.142
            319	  0.006	 91.184	 -0.017	 -0.143
            320	  0.006	 90.750	 -0.014	 -0.142
            321	  0.012	 90.461	 -0.011	 -0.142
            322	  0.016	 90.171	 -0.008	 -0.143
            323	  0.016	 89.592	 -0.005	 -0.142
            324	  0.020	 89.737	 -0.001	 -0.142
            325	  0.018	 89.737	  0.005	 -0.141
            326	  0.020	 89.158	  0.009	 -0.142
            327	  0.014	 89.158	  0.015	 -0.142
            328	  0.018	 88.868	  0.021	 -0.142
            329	  0.022	 88.724	  0.026	 -0.140
            330	  0.024	 88.579	  0.030	 -0.140
            331	  0.024	 88.579	  0.031	 -0.140
            332	  0.026	 88.579	  0.029	 -0.140
            333	  0.026	 88.579	  0.024	 -0.140
            334	  0.026	 88.724	  0.015	 -0.140
            335	  0.028	 89.013	  0.007	 -0.140
            336	  0.032	 88.868	  0.001	 -0.139
            337	  0.032	 89.158	 -0.007	 -0.138
            338	  0.032	 89.447	 -0.012	 -0.138
            339	  0.034	 89.592	 -0.016	 -0.139
            340	  0.036	 90.026	 -0.020	 -0.138
            341	  0.040	 89.737	 -0.022	 -0.137
            342	  0.038	 90.605	 -0.022	 -0.137
            343	  0.038	 90.605	 -0.023	 -0.137
            344	  0.044	 90.461	 -0.023	 -0.137
            345	  0.040	 91.184	 -0.021	 -0.136
            346	  0.044	 91.039	 -0.019	 -0.136
            347	  0.046	 91.184	 -0.018	 -0.136
            348	  0.044	 91.329	 -0.015	 -0.135
            349	  0.052	 91.329	 -0.011	 -0.134
            350	  0.046	 91.618	 -0.006	 -0.134
            351	  0.054	 91.618	  0.000	 -0.135
            352	  0.052	 91.763	  0.007	 -0.134
            353	  0.056	 92.053	  0.014	 -0.134
            354	  0.056	 91.763	  0.021	 -0.134
            355	  0.056	 91.763	  0.027	 -0.133
            356	  0.048	 91.763	  0.031	 -0.133
            357	  0.064	 91.763	  0.033	 -0.132
            358	  0.060	 91.618	  0.029	 -0.132
            359	  0.064	 91.474	  0.021	 -0.133
            360	  0.066	 91.474	  0.013	 -0.132
            361	  0.072	 91.474	  0.005	 -0.131
            362	  0.076	 91.184	 -0.003	 -0.132
            363	  0.074	 91.184	 -0.008	 -0.131
            364	  0.080	 91.039	 -0.013	 -0.132
            365	  0.082	 90.750	 -0.017	 -0.132
            366	  0.086	 90.750	 -0.021	 -0.131
            367	  0.088	 90.605	 -0.025	 -0.130
            368	  0.104	 90.171	 -0.027	 -0.128
            369	  0.100	 89.882	 -0.028	 -0.128
            370	  0.118	 89.592	 -0.027	 -0.128
            371	  0.122	 89.013	 -0.025	 -0.126
            372	  0.128	 88.724	 -0.023	 -0.127
            373	  0.134	 88.579	 -0.021	 -0.126
            374	  0.136	 88.289	 -0.018	 -0.126
            375	  0.130	 88.289	 -0.016	 -0.125
            376	  0.132	 87.566	 -0.013	 -0.125
            377	  0.122	 87.421	 -0.007	 -0.124
            378	  0.130	 86.987	  0.002	 -0.123
            379	  0.126	 86.842	  0.011	 -0.123
            380	  0.128	 86.263	  0.021	 -0.121
            381	  0.114	 86.263	  0.026	 -0.122
            382	  0.112	 85.974	  0.029	 -0.121
            383	  0.094	 85.974	  0.027	 -0.121
            384	  0.078	 85.539	  0.022	 -0.120
            385	  0.070	 85.250	  0.017	 -0.119
            386	  0.062	 85.105	  0.008	 -0.120
            387	  0.058	 84.961	 -0.002	 -0.119
            388	  0.050	 84.816	 -0.009	 -0.118
            389	  0.050	 84.816	 -0.014	 -0.118
            390	  0.056	 84.671	 -0.018	 -0.117
            391	  0.056	 84.382	 -0.021	 -0.117
            392	  0.052	 83.947	 -0.023	 -0.117
            393	  0.050	 83.803	 -0.025	 -0.116
            394	  0.054	 83.658	 -0.026	 -0.116
            395	  0.058	 83.368	 -0.028	 -0.116
            396	  0.056	 83.368	 -0.025	 -0.114
            397	  0.060	 82.645	 -0.024	 -0.113
            398	  0.056	 82.500	 -0.022	 -0.113
            399	  0.056	 82.500	 -0.018	 -0.114
            400	  0.056	 82.211	 -0.014	 -0.112
            401	  0.064	 81.921	 -0.009	 -0.112
            402	  0.060	 81.921	 -0.007	 -0.111
            403	  0.062	 81.487	 -0.004	 -0.110
            404	  0.060	 81.342	  0.001	 -0.110
            405	  0.068	 81.197	  0.005	 -0.109
            406	  0.070	 80.763	  0.012	 -0.108
            407	  0.080	 80.618	  0.019	 -0.107
            408	  0.066	 80.329	  0.023	 -0.106
            409	  0.056	 80.184	  0.021	 -0.105
            410	  0.032	 79.895	  0.015	 -0.106
            411	 -0.000	 80.039	  0.008	 -0.104
            412	 -0.032	 80.184	 -0.001	 -0.105
            413	 -0.018	 79.895	 -0.008	 -0.104
            414	  0.060	 79.750	 -0.015	 -0.104
            415	  0.206	 79.316	 -0.021	 -0.104
            416	  0.454	 79.605	 -0.026	 -0.103
            417	  0.704	 79.750	 -0.030	 -0.104
            418	  0.990	 79.605	 -0.032	 -0.103
            419	  1.208	 79.605	 -0.034	 -0.102
            420	  1.366	 79.316	 -0.034	 -0.102
            421	  1.374	 79.026	 -0.034	 -0.102
            422	  1.236	 78.882	 -0.034	 -0.102
            423	  0.742	 78.737	 -0.032	 -0.100
            424	  0.274	 79.026	 -0.030	 -0.100
            425	 -0.144	 78.737	 -0.023	 -0.099
            426	 -0.316	 78.447	 -0.018	 -0.100
            427	 -0.234	 78.158	 -0.012	 -0.098
            428	 -0.080	 77.868	 -0.006	 -0.098
            429	 -0.008	 78.158	 -0.001	 -0.098
            430	 -0.000	 77.579	  0.004	 -0.097
            431	 -0.010	 77.724	  0.007	 -0.096
            432	 -0.006	 77.434	  0.011	 -0.096
            433	 -0.016	 77.724	  0.016	 -0.096
            434	 -0.016	 77.289	  0.020	 -0.096
            435	 -0.020	 77.434	  0.023	 -0.095
            436	 -0.006	 76.855	  0.024	 -0.094
            437	 -0.006	 76.855	  0.019	 -0.094
            438	 -0.002	 76.711	  0.011	 -0.094
            439	 -0.000	 76.711	 -0.001	 -0.093
            440	 -0.000	 76.566	 -0.010	 -0.093
            441	 -0.000	 76.711	 -0.019	 -0.093
            442	  0.010	 76.421	 -0.023	 -0.092
            443	  0.014	 76.421	 -0.026	 -0.091
            444	  0.018	 76.132	 -0.025	 -0.091
            445	  0.012	 76.132	 -0.024	 -0.091
            446	  0.018	 75.697	 -0.021	 -0.089
            447	  0.028	 75.697	 -0.021	 -0.089
            448	  0.024	 75.553	 -0.023	 -0.088
            449	  0.030	 75.697	 -0.025	 -0.089
            450	  0.034	 75.408	 -0.026	 -0.087
            451	  0.044	 75.118	 -0.027	 -0.087
            452	  0.046	 74.974	 -0.022	 -0.085
            453	  0.054	 74.684	 -0.017	 -0.085
            454	  0.048	 74.829	 -0.011	 -0.085
            455	  0.058	 74.684	 -0.006	 -0.084
            456	  0.058	 74.684	  0.001	 -0.083
            457	  0.062	 74.250	  0.007	 -0.083
            458	  0.062	 74.395	  0.017	 -0.082
            459	  0.068	 74.105	  0.020	 -0.081
            460	  0.072	 74.105	  0.023	 -0.081
            461	  0.086	 74.395	  0.025	 -0.081
            462	  0.072	 74.829	  0.022	 -0.081
            463	  0.080	 74.829	  0.016	 -0.080
            464	  0.090	 75.118	  0.010	 -0.079
            465	  0.096	 75.408	  0.000	 -0.077
            466	  0.106	 75.987	 -0.008	 -0.078
            467	  0.104	 76.855	 -0.013	 -0.077
            468	  0.112	 78.303	 -0.018	 -0.077
            469	  0.120	 79.316	 -0.021	 -0.077
            470	  0.126	 80.908	 -0.024	 -0.076
            471	  0.138	 82.500	 -0.025	 -0.075
            472	  0.146	 84.237	 -0.028	 -0.074
            473	  0.158	 85.974	 -0.029	 -0.073
            474	  0.160	 88.000	 -0.030	 -0.073
            475	  0.172	 89.737	 -0.029	 -0.072
            476	  0.192	 91.474	 -0.026	 -0.071
            477	  0.192	 93.355	 -0.022	 -0.070
            478	  0.210	 95.382	 -0.017	 -0.070
            479	  0.220	 97.263	 -0.013	 -0.069
            480	  0.234	 99.289	 -0.008	 -0.067
            481	  0.240	101.461	 -0.004	 -0.066
            482	  0.258	102.763	 -0.001	 -0.065
            483	  0.258	105.513	  0.004	 -0.066
            484	  0.262	107.105	  0.009	 -0.065
            485	  0.264	109.276	  0.015	 -0.065
            486	  0.272	110.868	  0.022	 -0.064
            487	  0.260	112.605	  0.024	 -0.063
            488	  0.268	114.053	  0.022	 -0.062
            489	  0.270	115.645	  0.018	 -0.063
            490	  0.266	116.803	  0.009	 -0.062
            491	  0.260	117.816	  0.000	 -0.062
            492	  0.234	118.684	 -0.009	 -0.060
            493	  0.218	119.408	 -0.014	 -0.061
            494	  0.182	119.553	 -0.017	 -0.060
            495	  0.166	120.132	 -0.020	 -0.060
            496	  0.134	120.132	 -0.021	 -0.059
            497	  0.102	120.276	 -0.024	 -0.059
            498	  0.072	120.132	 -0.027	 -0.057
            499	  0.042	119.842	 -0.029	 -0.059
            500	  0.018	118.974	 -0.029	 -0.057
            501	  0.002	118.684	 -0.026	 -0.057
            502	 -0.014	117.816	 -0.024	 -0.055
            503	 -0.026	116.803	 -0.022	 -0.055
            504	 -0.048	116.079	 -0.020	 -0.053
            505	 -0.056	115.066	 -0.018	 -0.054
            506	 -0.064	114.342	 -0.017	 -0.053
            507	 -0.062	113.618	 -0.014	 -0.051
            508	 -0.072	112.461	 -0.010	 -0.051
            509	 -0.070	111.303	 -0.006	 -0.049
            510	 -0.072	110.579	  0.000	 -0.049
            511	 -0.062	109.566	  0.007	 -0.050
            512	 -0.058	108.987	  0.013	 -0.049
            513	 -0.066	107.974	  0.018	 -0.047
            514	 -0.064	107.395	  0.021	 -0.048
            515	 -0.062	106.237	  0.022	 -0.048
            516	 -0.050	105.803	  0.020	 -0.046
            517	 -0.056	105.079	  0.017	 -0.046
            518	 -0.040	104.211	  0.009	 -0.045
            519	 -0.044	103.342	  0.004	 -0.045
            520	 -0.038	102.908	 -0.004	 -0.045
            521	 -0.038	102.184	 -0.011	 -0.045
            522	 -0.028	101.750	 -0.018	 -0.044
            523	 -0.032	101.316	 -0.024	 -0.043
            524	 -0.028	101.026	 -0.026	 -0.043
            525	 -0.024	100.447	 -0.026	 -0.043
            526	 -0.020	 99.868	 -0.027	 -0.042
            527	 -0.026	 99.000	 -0.028	 -0.041
            528	 -0.022	 98.711	 -0.028	 -0.041
            529	 -0.020	 98.132	 -0.026	 -0.041
            530	 -0.018	 97.697	 -0.024	 -0.041
            531	 -0.016	 97.118	 -0.020	 -0.041
            532	 -0.008	 96.539	 -0.016	 -0.040
            533	 -0.012	 95.961	 -0.011	 -0.039
            534	 -0.006	 95.526	 -0.006	 -0.039
            535	 -0.008	 95.237	 -0.001	 -0.038
            536	 -0.002	 94.513	  0.004	 -0.037
            537	 -0.008	 93.934	  0.009	 -0.037
            538	  0.008	 92.921	  0.016	 -0.037
            539	 -0.000	 92.342	  0.022	 -0.037
            540	  0.002	 92.053	  0.026	 -0.037
            541	 -0.000	 91.618	  0.024	 -0.037
            542	 -0.000	 90.895	  0.021	 -0.035
            543	  0.006	 90.605	  0.014	 -0.036
            544	  0.002	 90.026	  0.006	 -0.034
            545	  0.008	 89.447	 -0.001	 -0.035
            546	  0.012	 89.013	 -0.008	 -0.033
            547	  0.016	 88.289	 -0.012	 -0.033
            548	  0.008	 88.000	 -0.020	 -0.033
            549	  0.024	 87.855	 -0.020	 -0.032
            550	  0.016	 88.000	 -0.022	 -0.033
            551	  0.020	 87.711	 -0.021	 -0.033
            552	  0.016	 87.276	 -0.020	 -0.033
            553	  0.020	 86.987	 -0.019	 -0.031
            554	  0.018	 87.132	 -0.016	 -0.032
            555	  0.008	 87.132	 -0.014	 -0.031
            556	  0.024	 86.553	 -0.008	 -0.030
            557	  0.026	 86.842	 -0.003	 -0.030
            558	  0.022	 87.132	  0.004	 -0.030
            559	  0.030	 87.132	  0.010	 -0.030
            560	  0.026	 87.132	  0.015	 -0.029
            561	  0.032	 87.276	  0.019	 -0.028
            562	  0.026	 87.566	  0.022	 -0.028
            563	  0.028	 87.711	  0.026	 -0.027
            564	  0.032	 87.855	  0.029	 -0.027
