'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:12:00.204 09/02/1989]',0.064,90.885,0.006,0.287
'[23:12:00.208 09/02/1989]',0.062,89.967,0.008,0.280
'[23:12:00.212 09/02/1989]',0.060,90.197,0.009,0.266
'[23:12:00.216 09/02/1989]',0.064,90.426,0.010,0.259
'[23:12:00.220 09/02/1989]',0.076,90.885,0.009,0.247
'[23:12:00.224 09/02/1989]',0.080,91.344,0.011,0.230
'[23:12:00.228 09/02/1989]',0.080,91.803,0.011,0.219
'[23:12:00.232 09/02/1989]',0.088,92.262,0.012,0.209
'[23:12:00.236 09/02/1989]',0.084,93.869,0.015,0.197
'[23:12:00.240 09/02/1989]',0.084,95.475,0.012,0.181
'[23:12:00.244 09/02/1989]',0.086,97.541,0.016,0.166
'[23:12:00.248 09/02/1989]',0.090,100.754,0.011,0.152
'[23:12:00.252 09/02/1989]',0.086,103.967,0.010,0.145
'[23:12:00.256 09/02/1989]',0.096,107.180,0.009,0.133
'[23:12:00.260 09/02/1989]',0.096,112.000,0.010,0.114
'[23:12:00.264 09/02/1989]',0.104,116.590,0.008,0.105
'[23:12:00.268 09/02/1989]',0.104,121.410,0.008,0.100
'[23:12:00.272 09/02/1989]',0.110,126.459,0.009,0.093
'[23:12:00.276 09/02/1989]',0.104,131.279,0.011,0.086
'[23:12:00.280 09/02/1989]',0.114,136.787,0.012,0.062
'[23:12:00.284 09/02/1989]',0.120,142.295,0.012,0.052
'[23:12:00.288 09/02/1989]',0.136,147.803,0.012,0.043
'[23:12:00.292 09/02/1989]',0.142,152.394,0.010,0.029
'[23:12:00.296 09/02/1989]',0.134,157.902,0.011,0.021
'[23:12:00.300 09/02/1989]',0.132,161.803,0.009,0.019
'[23:12:00.304 09/02/1989]',0.138,166.164,0.008,0.010
'[23:12:00.308 09/02/1989]',0.134,168.918,0.007,0.021
'[23:12:00.312 09/02/1989]',0.136,172.131,0.004,0.012
'[23:12:00.316 09/02/1989]',0.136,173.967,0.004,0.019
'[23:12:00.320 09/02/1989]',0.138,176.033,0.003,0.014
'[23:12:00.324 09/02/1989]',0.142,176.951,0.002,0.010
'[23:12:00.328 09/02/1989]',0.138,178.098,0.004,0.005
'[23:12:00.332 09/02/1989]',0.140,176.951,0.008,0.007
'[23:12:00.336 09/02/1989]',0.148,176.492,0.005,0.007
'[23:12:00.340 09/02/1989]',0.140,175.115,0.005,-0.000
'[23:12:00.344 09/02/1989]',0.136,174.426,0.006,-0.002
'[23:12:00.348 09/02/1989]',0.138,172.820,0.006,-0.010
'[23:12:00.352 09/02/1989]',0.128,171.902,0.007,-0.017
'[23:12:00.356 09/02/1989]',0.134,169.377,0.007,-0.024
'[23:12:00.360 09/02/1989]',0.128,168.459,0.011,-0.029
'[23:12:00.364 09/02/1989]',0.136,166.164,0.009,-0.029
'[23:12:00.368 09/02/1989]',0.124,163.639,0.006,-0.036
'[23:12:00.372 09/02/1989]',0.126,162.262,0.006,-0.038
'[23:12:00.376 09/02/1989]',0.104,160.197,0.003,-0.048
'[23:12:00.380 09/02/1989]',0.108,158.361,-0.001,-0.040
'[23:12:00.384 09/02/1989]',0.080,156.295,0.002,-0.026
'[23:12:00.388 09/02/1989]',0.080,153.771,0.003,-0.026
'[23:12:00.392 09/02/1989]',0.066,152.164,0.003,-0.021
'[23:12:00.396 09/02/1989]',0.058,149.869,-0.002,-0.012
'[23:12:00.400 09/02/1989]',0.048,149.410,-0.002,-0.021
'[23:12:00.404 09/02/1989]',0.054,147.803,-0.004,-0.014
'[23:12:00.408 09/02/1989]',0.044,146.426,-0.005,-0.014
'[23:12:00.412 09/02/1989]',0.026,145.738,-0.007,-0.017
'[23:12:00.416 09/02/1989]',0.030,144.131,-0.005,-0.012
'[23:12:00.420 09/02/1989]',0.042,143.213,-0.006,-0.012
'[23:12:00.424 09/02/1989]',0.024,142.066,-0.007,-0.012
'[23:12:00.428 09/02/1989]',0.030,141.148,-0.006,-0.017
'[23:12:00.432 09/02/1989]',0.032,140.459,-0.007,-0.012
'[23:12:00.436 09/02/1989]',0.030,139.082,-0.005,-0.012
'[23:12:00.440 09/02/1989]',0.032,138.164,-0.004,-0.007
'[23:12:00.444 09/02/1989]',0.032,137.016,0.003,-0.007
'[23:12:00.448 09/02/1989]',0.040,136.098,0.002,-0.002
'[23:12:00.452 09/02/1989]',0.040,134.951,0.004,-0.005
'[23:12:00.456 09/02/1989]',0.040,133.115,0.006,-0.000
'[23:12:00.460 09/02/1989]',0.042,131.967,0.009,-0.000
'[23:12:00.464 09/02/1989]',0.050,130.820,0.010,-0.002
'[23:12:00.468 09/02/1989]',0.040,128.525,0.011,-0.000
'[23:12:00.472 09/02/1989]',0.054,126.689,0.009,-0.002
'[23:12:00.476 09/02/1989]',0.062,125.771,0.007,-0.007
'[23:12:00.480 09/02/1989]',0.072,123.935,0.002,-0.010
'[23:12:00.484 09/02/1989]',0.068,121.410,-0.001,-0.010
'[23:12:00.488 09/02/1989]',0.088,119.344,-0.000,-0.007
'[23:12:00.492 09/02/1989]',0.076,118.426,-0.005,-0.010
'[23:12:00.496 09/02/1989]',0.072,116.590,-0.010,-0.000
'[23:12:00.500 09/02/1989]',0.072,114.754,-0.009,-0.005
'[23:12:00.504 09/02/1989]',0.088,112.918,-0.011,-0.000
'[23:12:00.508 09/02/1989]',0.090,111.771,-0.013,-0.005
'[23:12:00.512 09/02/1989]',0.090,111.082,-0.013,-0.007
'[23:12:00.516 09/02/1989]',0.096,110.164,-0.016,-0.000
'[23:12:00.520 09/02/1989]',0.104,110.164,-0.019,-0.002
'[23:12:00.524 09/02/1989]',0.092,109.934,-0.018,-0.007
'[23:12:00.528 09/02/1989]',0.092,110.164,-0.016,-0.007
'[23:12:00.532 09/02/1989]',0.094,110.394,-0.014,-0.012
'[23:12:00.536 09/02/1989]',0.100,111.312,-0.012,-0.012
'[23:12:00.540 09/02/1989]',0.096,111.312,-0.009,-0.014
'[23:12:00.544 09/02/1989]',0.094,112.459,-0.008,-0.012
'[23:12:00.548 09/02/1989]',0.088,113.607,-0.010,-0.021
'[23:12:00.552 09/02/1989]',0.082,114.754,-0.007,-0.024
'[23:12:00.556 09/02/1989]',0.080,114.754,-0.007,-0.024
'[23:12:00.560 09/02/1989]',0.068,116.361,-0.000,-0.024
'[23:12:00.564 09/02/1989]',0.076,117.508,0.002,-0.029
'[23:12:00.568 09/02/1989]',0.066,118.426,0.006,-0.031
'[23:12:00.572 09/02/1989]',0.072,118.885,0.007,-0.019
'[23:12:00.576 09/02/1989]',0.078,119.574,0.009,-0.031
'[23:12:00.580 09/02/1989]',0.092,120.721,0.007,-0.031
'[23:12:00.584 09/02/1989]',0.076,121.180,0.011,-0.048
'[23:12:00.588 09/02/1989]',0.086,121.410,0.012,-0.048
'[23:12:00.592 09/02/1989]',0.072,122.098,0.013,-0.055
'[23:12:00.596 09/02/1989]',0.078,121.869,0.015,-0.055
'[23:12:00.600 09/02/1989]',0.074,121.639,0.017,-0.057
'[23:12:00.604 09/02/1989]',0.078,121.869,0.016,-0.071
'[23:12:00.608 09/02/1989]',0.072,121.410,0.016,-0.076
'[23:12:00.612 09/02/1989]',0.074,121.869,0.019,-0.088
'[23:12:00.616 09/02/1989]',0.076,121.869,0.020,-0.086
'[23:12:00.620 09/02/1989]',0.076,121.410,0.024,-0.100
'[23:12:00.624 09/02/1989]',0.072,120.721,0.024,-0.097
'[23:12:00.628 09/02/1989]',0.056,120.721,0.023,-0.105
'[23:12:00.632 09/02/1989]',0.060,120.033,0.022,-0.107
'[23:12:00.636 09/02/1989]',0.060,119.803,0.021,-0.119
'[23:12:00.640 09/02/1989]',0.060,119.344,0.021,-0.109
'[23:12:00.644 09/02/1989]',0.062,119.344,0.017,-0.126
'[23:12:00.648 09/02/1989]',0.072,117.967,0.020,-0.116
'[23:12:00.652 09/02/1989]',0.068,117.738,0.016,-0.124
'[23:12:00.656 09/02/1989]',0.070,117.049,0.016,-0.133
'[23:12:00.660 09/02/1989]',0.062,116.590,0.011,-0.135
'[23:12:00.664 09/02/1989]',0.070,116.590,0.009,-0.138
'[23:12:00.668 09/02/1989]',0.072,115.672,0.007,-0.140
'[23:12:00.672 09/02/1989]',0.070,114.754,0.003,-0.145
'[23:12:00.676 09/02/1989]',0.056,114.754,0.002,-0.147
'[23:12:00.680 09/02/1989]',0.070,113.836,-0.002,-0.145
'[23:12:00.684 09/02/1989]',0.066,113.377,-0.003,-0.145
'[23:12:00.688 09/02/1989]',0.080,112.689,-0.004,-0.150
'[23:12:00.692 09/02/1989]',0.072,111.771,-0.002,-0.143
'[23:12:00.696 09/02/1989]',0.086,111.541,-0.005,-0.145
'[23:12:00.700 09/02/1989]',0.082,111.082,-0.004,-0.152
'[23:12:00.704 09/02/1989]',0.104,110.164,-0.006,-0.145
'[23:12:00.708 09/02/1989]',0.122,110.394,-0.007,-0.145
'[23:12:00.712 09/02/1989]',0.132,109.246,-0.007,-0.159
'[23:12:00.716 09/02/1989]',0.164,109.016,-0.007,-0.162
'[23:12:00.720 09/02/1989]',0.182,108.557,-0.004,-0.162
'[23:12:00.724 09/02/1989]',0.172,107.869,-0.002,-0.166
'[23:12:00.728 09/02/1989]',0.168,107.410,-0.001,-0.166
'[23:12:00.732 09/02/1989]',0.168,107.180,0.001,-0.169
'[23:12:00.736 09/02/1989]',0.170,107.410,0.003,-0.173
'[23:12:00.740 09/02/1989]',0.198,106.721,0.002,-0.166
'[23:12:00.744 09/02/1989]',0.200,107.180,0.001,-0.171
'[23:12:00.748 09/02/1989]',0.216,106.492,0.005,-0.173
'[23:12:00.752 09/02/1989]',0.204,106.262,0.003,-0.181
'[23:12:00.756 09/02/1989]',0.202,105.803,0.006,-0.185
'[23:12:00.760 09/02/1989]',0.192,105.574,0.007,-0.176
'[23:12:00.764 09/02/1989]',0.182,104.885,0.008,-0.176
'[23:12:00.768 09/02/1989]',0.162,105.115,0.007,-0.176
'[23:12:00.772 09/02/1989]',0.156,104.656,0.007,-0.171
'[23:12:00.776 09/02/1989]',0.130,104.197,0.005,-0.176
'[23:12:00.780 09/02/1989]',0.096,104.426,0.004,-0.171
'[23:12:00.784 09/02/1989]',0.060,103.049,0.003,-0.169
'[23:12:00.788 09/02/1989]',0.036,103.508,0.004,-0.171
'[23:12:00.792 09/02/1989]',0.040,102.590,0.005,-0.171
'[23:12:00.796 09/02/1989]',0.030,102.590,0.004,-0.171
'[23:12:00.800 09/02/1989]',0.040,101.902,0.005,-0.166
'[23:12:00.804 09/02/1989]',0.038,102.361,0.005,-0.169
'[23:12:00.808 09/02/1989]',0.030,101.672,0.009,-0.171
'[23:12:00.812 09/02/1989]',0.032,101.902,0.009,-0.166
'[23:12:00.816 09/02/1989]',0.024,102.361,0.008,-0.181
'[23:12:00.820 09/02/1989]',0.022,101.902,0.009,-0.178
'[23:12:00.824 09/02/1989]',0.016,102.361,0.006,-0.173
'[23:12:00.828 09/02/1989]',0.008,101.902,0.002,-0.173
'[23:12:00.832 09/02/1989]',0.018,101.902,0.001,-0.178
'[23:12:00.836 09/02/1989]',0.002,101.902,-0.001,-0.171
'[23:12:00.840 09/02/1989]',0.006,101.672,-0.000,-0.162
'[23:12:00.844 09/02/1989]',-0.000,101.213,-0.002,-0.169
'[23:12:00.848 09/02/1989]',-0.000,100.984,-0.000,-0.166
'[23:12:00.852 09/02/1989]',0.008,100.984,-0.002,-0.154
'[23:12:00.856 09/02/1989]',0.018,100.066,-0.000,-0.159
'[23:12:00.860 09/02/1989]',0.024,100.295,0.001,-0.162
'[23:12:00.864 09/02/1989]',-0.000,100.066,-0.000,-0.162
'[23:12:00.868 09/02/1989]',-0.016,99.377,-0.000,-0.159
'[23:12:00.872 09/02/1989]',-0.054,100.066,-0.000,-0.171
'[23:12:00.876 09/02/1989]',-0.104,99.377,0.002,-0.164
'[23:12:00.880 09/02/1989]',-0.106,99.607,0.002,-0.166
'[23:12:00.884 09/02/1989]',-0.032,99.836,0.004,-0.171
'[23:12:00.888 09/02/1989]',0.240,99.377,0.007,-0.166
'[23:12:00.892 09/02/1989]',0.586,99.607,0.008,-0.164
'[23:12:00.896 09/02/1989]',1.008,100.066,0.012,-0.171
'[23:12:00.900 09/02/1989]',1.256,99.607,0.016,-0.164
'[23:12:00.904 09/02/1989]',1.504,100.066,0.019,-0.162
'[23:12:00.908 09/02/1989]',1.386,99.836,0.022,-0.159
'[23:12:00.912 09/02/1989]',1.038,99.836,0.025,-0.154
'[23:12:00.916 09/02/1989]',0.768,98.918,0.029,-0.162
'[23:12:00.920 09/02/1989]',0.326,99.148,0.031,-0.152
'[23:12:00.924 09/02/1989]',-0.062,99.148,0.031,-0.166
'[23:12:00.928 09/02/1989]',-0.334,98.459,0.028,-0.157
'[23:12:00.932 09/02/1989]',-0.590,98.230,0.029,-0.150
'[23:12:00.936 09/02/1989]',-0.720,98.459,0.027,-0.152
'[23:12:00.940 09/02/1989]',-0.632,98.000,0.025,-0.152
'[23:12:00.944 09/02/1989]',-0.424,98.230,0.026,-0.152
'[23:12:00.948 09/02/1989]',-0.228,97.541,0.025,-0.143
'[23:12:00.952 09/02/1989]',-0.124,97.312,0.027,-0.140
'[23:12:00.956 09/02/1989]',-0.100,97.082,0.028,-0.133
'[23:12:00.960 09/02/1989]',-0.100,96.623,0.027,-0.143
'[23:12:00.964 09/02/1989]',-0.088,97.312,0.027,-0.143
'[23:12:00.968 09/02/1989]',-0.090,97.082,0.027,-0.143
'[23:12:00.972 09/02/1989]',-0.074,96.394,0.025,-0.133
'[23:12:00.976 09/02/1989]',-0.082,96.394,0.024,-0.133
'[23:12:00.980 09/02/1989]',-0.064,96.623,0.022,-0.135
'[23:12:00.984 09/02/1989]',-0.072,96.394,0.019,-0.126
'[23:12:00.988 09/02/1989]',-0.040,96.164,0.017,-0.131
'[23:12:00.992 09/02/1989]',-0.050,95.934,0.011,-0.133
'[23:12:00.996 09/02/1989]',-0.038,96.164,0.009,-0.133
'[23:12:01.000 09/02/1989]',-0.040,96.164,0.008,-0.126
'[23:12:01.004 09/02/1989]',-0.034,95.475,0.006,-0.131
'[23:12:01.008 09/02/1989]',-0.024,95.246,0.004,-0.133
'[23:12:01.012 09/02/1989]',-0.028,95.016,0.003,-0.133
'[23:12:01.016 09/02/1989]',-0.024,94.787,0.002,-0.133
'[23:12:01.020 09/02/1989]',-0.008,94.787,0.002,-0.128
'[23:12:01.024 09/02/1989]',-0.016,94.098,0.002,-0.128
'[23:12:01.028 09/02/1989]',-0.000,94.098,0.003,-0.131
'[23:12:01.032 09/02/1989]',-0.000,93.410,0.006,-0.119
'[23:12:01.036 09/02/1989]',-0.000,92.951,0.008,-0.124
'[23:12:01.040 09/02/1989]',0.006,92.492,0.010,-0.124
'[23:12:01.044 09/02/1989]',-0.004,92.721,0.016,-0.124
'[23:12:01.048 09/02/1989]',0.006,92.492,0.020,-0.121
'[23:12:01.052 09/02/1989]',-0.008,92.721,0.022,-0.116
'[23:12:01.056 09/02/1989]',0.008,92.951,0.025,-0.114
'[23:12:01.060 09/02/1989]',-0.002,93.639,0.025,-0.119
'[23:12:01.064 09/02/1989]',0.008,94.557,0.026,-0.126
'[23:12:01.068 09/02/1989]',0.006,95.705,0.031,-0.119
'[23:12:01.072 09/02/1989]',0.008,97.312,0.028,-0.121
'[23:12:01.076 09/02/1989]',0.008,100.295,0.029,-0.126
'[23:12:01.080 09/02/1989]',0.010,103.049,0.028,-0.121
'[23:12:01.084 09/02/1989]',0.014,106.492,0.024,-0.124
'[23:12:01.088 09/02/1989]',0.026,110.394,0.024,-0.119
'[23:12:01.092 09/02/1989]',0.040,114.525,0.025,-0.109
'[23:12:01.096 09/02/1989]',0.042,119.574,0.021,-0.114
'[23:12:01.100 09/02/1989]',0.044,125.771,0.022,-0.114
'[23:12:01.104 09/02/1989]',0.060,131.738,0.020,-0.105
'[23:12:01.108 09/02/1989]',0.054,137.935,0.018,-0.109
'[23:12:01.112 09/02/1989]',0.048,144.820,0.017,-0.114
'[23:12:01.116 09/02/1989]',0.072,151.246,0.018,-0.105
'[23:12:01.120 09/02/1989]',0.084,157.902,0.020,-0.112
'[23:12:01.124 09/02/1989]',0.088,163.869,0.021,-0.105
'[23:12:01.128 09/02/1989]',0.088,169.607,0.019,-0.095
'[23:12:01.132 09/02/1989]',0.096,174.885,0.022,-0.097
'[23:12:01.136 09/02/1989]',0.088,180.164,0.023,-0.102
'[23:12:01.140 09/02/1989]',0.088,183.836,0.022,-0.088
'[23:12:01.144 09/02/1989]',0.090,187.738,0.022,-0.095
'[23:12:01.148 09/02/1989]',0.096,190.492,0.022,-0.095
'[23:12:01.152 09/02/1989]',0.096,192.558,0.020,-0.097
'[23:12:01.156 09/02/1989]',0.090,193.246,0.019,-0.100
'[23:12:01.160 09/02/1989]',0.096,194.164,0.017,-0.100
'[23:12:01.164 09/02/1989]',0.110,194.623,0.013,-0.095
'[23:12:01.168 09/02/1989]',0.110,193.935,0.010,-0.095
'[23:12:01.172 09/02/1989]',0.120,192.787,0.005,-0.095
'[23:12:01.176 09/02/1989]',0.112,191.639,0.005,-0.100
'[23:12:01.180 09/02/1989]',0.112,190.262,0.001,-0.105
'[23:12:01.184 09/02/1989]',0.122,188.656,-0.001,-0.105
'[23:12:01.188 09/02/1989]',0.118,186.820,-0.001,-0.100
'[23:12:01.192 09/02/1989]',0.118,184.525,-0.000,-0.100
'[23:12:01.196 09/02/1989]',0.122,183.607,0.001,-0.105
'[23:12:01.200 09/02/1989]',0.120,181.312,0.002,-0.105
'[23:12:01.204 09/02/1989]',0.136,179.705,0.005,-0.105
'[23:12:01.208 09/02/1989]',0.128,177.639,0.008,-0.100
'[23:12:01.212 09/02/1989]',0.136,176.262,0.007,-0.097
'[23:12:01.216 09/02/1989]',0.144,174.656,0.009,-0.100
'[23:12:01.220 09/02/1989]',0.150,173.279,0.012,-0.100
'[23:12:01.224 09/02/1989]',0.138,171.672,0.012,-0.090
'[23:12:01.228 09/02/1989]',0.126,171.213,0.011,-0.090
'[23:12:01.232 09/02/1989]',0.146,169.836,0.010,-0.093
'[23:12:01.236 09/02/1989]',0.128,169.148,0.008,-0.093
'[23:12:01.240 09/02/1989]',0.128,168.000,0.004,-0.093
'[23:12:01.244 09/02/1989]',0.136,167.771,0.003,-0.090
'[23:12:01.248 09/02/1989]',0.130,167.082,-0.000,-0.086
'[23:12:01.252 09/02/1989]',0.120,166.853,-0.003,-0.095
'[23:12:01.256 09/02/1989]',0.128,166.164,-0.004,-0.088
'[23:12:01.260 09/02/1989]',0.116,165.935,-0.005,-0.095
'[23:12:01.264 09/02/1989]',0.130,165.476,-0.004,-0.086
'[23:12:01.268 09/02/1989]',0.112,164.787,-0.005,-0.083
'[23:12:01.272 09/02/1989]',0.118,164.328,-0.003,-0.088
'[23:12:01.276 09/02/1989]',0.116,164.787,-0.000,-0.086
'[23:12:01.280 09/02/1989]',0.116,164.098,-0.000,-0.086
'[23:12:01.284 09/02/1989]',0.110,163.410,0.004,-0.074
'[23:12:01.288 09/02/1989]',0.114,162.492,0.006,-0.083
'[23:12:01.292 09/02/1989]',0.092,162.951,0.010,-0.086
'[23:12:01.296 09/02/1989]',0.104,162.262,0.009,-0.076
'[23:12:01.300 09/02/1989]',0.096,161.344,0.011,-0.076
'[23:12:01.304 09/02/1989]',0.106,160.656,0.013,-0.078
'[23:12:01.308 09/02/1989]',0.108,159.967,0.011,-0.086
'[23:12:01.312 09/02/1989]',0.110,159.049,0.011,-0.081
'[23:12:01.316 09/02/1989]',0.100,157.902,0.007,-0.078
'[23:12:01.320 09/02/1989]',0.104,157.213,0.008,-0.086
'[23:12:01.324 09/02/1989]',0.096,155.148,0.006,-0.086
'[23:12:01.328 09/02/1989]',0.098,154.230,0.003,-0.086
'[23:12:01.332 09/02/1989]',0.102,152.164,0.004,-0.078
'[23:12:01.336 09/02/1989]',0.108,150.328,-0.000,-0.086
'[23:12:01.340 09/02/1989]',0.090,147.803,-0.002,-0.086
'[23:12:01.344 09/02/1989]',0.076,145.738,-0.003,-0.081
'[23:12:01.348 09/02/1989]',0.088,143.902,-0.000,-0.086
'[23:12:01.352 09/02/1989]',0.058,141.377,-0.000,-0.093
'[23:12:01.356 09/02/1989]',0.080,138.394,0.002,-0.083
'[23:12:01.360 09/02/1989]',0.080,136.328,0.005,-0.088
'[23:12:01.364 09/02/1989]',0.072,134.033,0.006,-0.095
'[23:12:01.368 09/02/1989]',0.078,130.820,0.009,-0.083
'[23:12:01.372 09/02/1989]',0.072,128.295,0.015,-0.081
'[23:12:01.376 09/02/1989]',0.068,125.771,0.017,-0.093
'[23:12:01.380 09/02/1989]',0.064,123.935,0.020,-0.090
'[23:12:01.384 09/02/1989]',0.050,122.557,0.019,-0.090
'[23:12:01.388 09/02/1989]',0.066,121.180,0.019,-0.088
'[23:12:01.392 09/02/1989]',0.068,119.574,0.020,-0.090
'[23:12:01.396 09/02/1989]',0.082,118.885,0.018,-0.090
'[23:12:01.400 09/02/1989]',0.064,118.426,0.018,-0.088
'[23:12:01.404 09/02/1989]',0.078,118.885,0.011,-0.100
'[23:12:01.408 09/02/1989]',0.068,118.656,0.008,-0.095
'[23:12:01.412 09/02/1989]',0.068,119.344,0.005,-0.095
'[23:12:01.416 09/02/1989]',0.068,119.803,0.002,-0.097
'[23:12:01.420 09/02/1989]',0.070,120.262,-0.000,-0.095
'[23:12:01.424 09/02/1989]',0.078,120.951,-0.001,-0.097
'[23:12:01.428 09/02/1989]',0.072,121.639,-0.004,-0.102
'[23:12:01.432 09/02/1989]',0.096,122.787,-0.002,-0.105
'[23:12:01.436 09/02/1989]',0.088,124.623,-0.003,-0.109
'[23:12:01.440 09/02/1989]',0.082,125.082,-0.001,-0.107
'[23:12:01.444 09/02/1989]',0.090,126.918,0.000,-0.121
'[23:12:01.448 09/02/1989]',0.094,127.607,0.002,-0.107
'[23:12:01.452 09/02/1989]',0.078,128.295,0.002,-0.121
'[23:12:01.456 09/02/1989]',0.080,128.525,0.001,-0.124
'[23:12:01.460 09/02/1989]',0.076,129.902,0.002,-0.124
'[23:12:01.464 09/02/1989]',0.080,131.279,-0.000,-0.126
'[23:12:01.468 09/02/1989]',0.072,131.279,-0.000,-0.128
'[23:12:01.472 09/02/1989]',0.080,131.738,-0.004,-0.128
'[23:12:01.476 09/02/1989]',0.074,131.738,-0.003,-0.131
'[23:12:01.480 09/02/1989]',0.090,131.967,-0.008,-0.133
'[23:12:01.484 09/02/1989]',0.080,131.279,-0.008,-0.138
'[23:12:01.488 09/02/1989]',0.082,131.049,-0.013,-0.133
'[23:12:01.492 09/02/1989]',0.092,129.902,-0.015,-0.128
'[23:12:01.496 09/02/1989]',0.084,130.361,-0.016,-0.131
'[23:12:01.500 09/02/1989]',0.068,129.443,-0.016,-0.119
'[23:12:01.504 09/02/1989]',0.080,129.213,-0.017,-0.121
'[23:12:01.508 09/02/1989]',0.070,127.836,-0.016,-0.114
'[23:12:01.512 09/02/1989]',0.080,127.607,-0.017,-0.109
'[23:12:01.516 09/02/1989]',0.092,126.918,-0.019,-0.112
'[23:12:01.520 09/02/1989]',0.112,126.459,-0.017,-0.102
'[23:12:01.524 09/02/1989]',0.102,125.771,-0.019,-0.105
'[23:12:01.528 09/02/1989]',0.100,124.853,-0.011,-0.097
'[23:12:01.532 09/02/1989]',0.106,123.705,-0.008,-0.095
'[23:12:01.536 09/02/1989]',0.112,123.935,-0.002,-0.105
'[23:12:01.540 09/02/1989]',0.098,122.328,0.003,-0.100
'[23:12:01.544 09/02/1989]',0.116,122.098,0.005,-0.095
'[23:12:01.548 09/02/1989]',0.136,120.262,0.005,-0.086
'[23:12:01.552 09/02/1989]',0.156,119.574,0.006,-0.086
'[23:12:01.556 09/02/1989]',0.172,118.885,0.003,-0.081
'[23:12:01.560 09/02/1989]',0.178,118.426,0.000,-0.081
'[23:12:01.564 09/02/1989]',0.174,118.197,-0.002,-0.095
'[23:12:01.568 09/02/1989]',0.186,117.508,-0.006,-0.086
