sample interval	    ECG	     BP	(C4-A1)	(nasal)	(chest)	    EOG	    EMG
             40	 -0.270	127.175	 -0.003	 -0.335	  0.084	 -0.126	  0.020
             41	 -0.230	126.322	  0.003	 -0.339	  0.083	 -0.125	 -0.002
             42	 -0.232	125.682	 -0.000	 -0.342	  0.081	 -0.121	  0.004
             43	 -0.246	125.042	  0.006	 -0.345	  0.080	 -0.117	 -0.002
             44	 -0.254	124.401	 -0.000	 -0.346	  0.079	 -0.117	 -0.001
             45	 -0.256	123.761	  0.002	 -0.349	  0.077	 -0.119	 -0.001
             46	 -0.242	123.228	 -0.005	 -0.351	  0.075	 -0.122	  0.007
             47	 -0.232	122.694	 -0.008	 -0.354	  0.075	 -0.123	  0.004
             48	 -0.248	121.948	 -0.016	 -0.355	  0.074	 -0.122	 -0.004
             49	 -0.268	121.414	 -0.024	 -0.360	  0.072	 -0.119	 -0.001
             50	 -0.260	120.987	 -0.012	 -0.362	  0.072	 -0.117	  0.006
             51	 -0.264	120.134	 -0.009	 -0.363	  0.070	 -0.111	  0.006
             52	 -0.256	119.600	 -0.004	 -0.366	  0.069	 -0.107	 -0.001
             53	 -0.224	118.854	 -0.004	 -0.367	  0.067	 -0.103	 -0.004
             54	 -0.220	118.107	 -0.006	 -0.371	  0.066	 -0.103	  0.002
             55	 -0.228	117.360	 -0.001	 -0.373	  0.065	 -0.100	  0.001
             56	 -0.216	116.293	 -0.002	 -0.378	  0.065	 -0.101	  0.001
             57	 -0.240	115.439	 -0.008	 -0.379	  0.065	 -0.098	  0.001
             58	 -0.234	114.266	  0.001	 -0.383	  0.063	 -0.096	 -0.005
             59	 -0.236	113.306	 -0.010	 -0.384	  0.063	 -0.098	 -0.000
             60	 -0.228	111.919	 -0.008	 -0.387	  0.062	 -0.102	  0.004
             61	 -0.244	110.532	 -0.012	 -0.388	  0.062	 -0.106	  0.035
             62	 -0.236	109.038	 -0.004	 -0.389	  0.061	 -0.105	 -0.010
             63	 -0.246	107.438	 -0.015	 -0.392	  0.060	 -0.102	  0.009
             64	 -0.216	105.837	 -0.017	 -0.393	  0.059	 -0.095	  0.008
             65	 -0.212	104.130	 -0.010	 -0.397	  0.058	 -0.096	  0.002
             66	 -0.186	102.316	 -0.013	 -0.400	  0.057	 -0.097	  0.006
             67	 -0.192	100.823	 -0.011	 -0.402	  0.056	 -0.100	 -0.001
             68	 -0.214	 99.222	 -0.013	 -0.406	  0.055	 -0.103	 -0.002
             69	 -0.232	 97.835	 -0.003	 -0.407	  0.054	 -0.103	  0.026
             70	 -0.218	 96.555	 -0.013	 -0.410	  0.053	 -0.102	  0.002
             71	 -0.192	 95.275	 -0.013	 -0.412	  0.052	 -0.101	  0.009
             72	 -0.200	 94.101	 -0.015	 -0.415	  0.051	 -0.102	 -0.002
             73	 -0.156	 93.248	 -0.001	 -0.418	  0.050	 -0.100	  0.001
             74	 -0.198	 92.394	 -0.001	 -0.421	  0.049	 -0.100	  0.003
             75	 -0.184	 91.541	 -0.006	 -0.421	  0.047	 -0.097	 -0.000
             76	 -0.182	 91.114	 -0.012	 -0.422	  0.045	 -0.094	  0.016
             77	 -0.190	 90.687	 -0.011	 -0.423	  0.044	 -0.091	 -0.009
             78	 -0.178	 90.260	 -0.017	 -0.426	  0.043	 -0.091	  0.010
             79	 -0.200	 90.154	 -0.007	 -0.430	  0.042	 -0.094	 -0.000
             80	 -0.184	 89.940	 -0.009	 -0.434	  0.041	 -0.094	  0.022
             81	 -0.192	 89.940	 -0.007	 -0.437	  0.040	 -0.095	 -0.009
             82	 -0.224	 90.154	 -0.016	 -0.438	  0.039	 -0.092	  0.008
             83	 -0.168	 90.154	 -0.009	 -0.441	  0.038	 -0.091	 -0.000
             84	 -0.192	 90.474	 -0.014	 -0.441	  0.036	 -0.091	  0.002
             85	 -0.162	 90.687	 -0.010	 -0.442	  0.035	 -0.091	  0.032
             86	 -0.152	 91.007	 -0.014	 -0.443	  0.033	 -0.092	 -0.005
             87	 -0.190	 91.221	 -0.017	 -0.446	  0.032	 -0.087	  0.014
             88	 -0.184	 91.647	 -0.021	 -0.445	  0.031	 -0.083	 -0.005
             89	 -0.174	 92.074	 -0.016	 -0.445	  0.029	 -0.081	 -0.001
             90	 -0.176	 92.501	 -0.011	 -0.445	  0.028	 -0.082	  0.000
             91	 -0.170	 92.821	 -0.019	 -0.447	  0.027	 -0.085	 -0.003
             92	 -0.166	 93.141	 -0.014	 -0.447	  0.026	 -0.087	  0.014
             93	 -0.164	 93.461	 -0.020	 -0.448	  0.025	 -0.086	  0.002
             94	 -0.152	 93.888	 -0.011	 -0.449	  0.024	 -0.081	  0.005
             95	 -0.136	 94.101	 -0.012	 -0.454	  0.023	 -0.075	  0.003
             96	 -0.098	 94.421	 -0.020	 -0.456	  0.022	 -0.073	  0.003
             97	 -0.114	 94.528	 -0.018	 -0.459	  0.022	 -0.073	 -0.005
             98	 -0.080	 94.635	 -0.013	 -0.460	  0.021	 -0.076	  0.004
             99	 -0.100	 94.848	 -0.018	 -0.461	  0.020	 -0.084	  0.008
            100	 -0.092	 94.955	 -0.010	 -0.460	  0.019	 -0.082	  0.006
            101	 -0.082	 94.848	 -0.013	 -0.461	  0.018	 -0.083	 -0.003
            102	 -0.048	 94.848	 -0.005	 -0.461	  0.017	 -0.081	 -0.002
            103	 -0.098	 94.848	 -0.000	 -0.462	  0.016	 -0.078	  0.009
            104	 -0.048	 94.741	  0.005	 -0.464	  0.015	 -0.075	 -0.001
            105	 -0.020	 94.635	  0.004	 -0.464	  0.014	 -0.077	  0.008
            106	 -0.024	 94.315	 -0.000	 -0.466	  0.013	 -0.077	  0.003
            107	 -0.002	 94.208	 -0.008	 -0.464	  0.013	 -0.076	 -0.008
            108	 -0.008	 93.995	 -0.010	 -0.467	  0.012	 -0.076	  0.002
            109	  0.012	 93.675	 -0.016	 -0.468	  0.012	 -0.075	 -0.008
            110	  0.008	 93.248	 -0.008	 -0.468	  0.011	 -0.079	  0.009
            111	  0.010	 93.034	 -0.012	 -0.468	  0.010	 -0.081	  0.002
            112	 -0.024	 92.501	 -0.012	 -0.469	  0.009	 -0.084	 -0.001
            113	 -0.038	 92.394	 -0.004	 -0.470	  0.009	 -0.085	  0.004
            114	 -0.046	 91.967	 -0.018	 -0.472	  0.008	 -0.080	  0.006
            115	 -0.064	 91.541	 -0.011	 -0.473	  0.007	 -0.078	  0.032
            116	 -0.056	 91.007	 -0.014	 -0.473	  0.006	 -0.077	 -0.003
            117	 -0.132	 90.687	 -0.009	 -0.473	  0.005	 -0.076	  0.011
            118	 -0.160	 90.260	 -0.011	 -0.475	  0.005	 -0.080	 -0.004
            119	 -0.198	 89.940	 -0.007	 -0.474	  0.004	 -0.079	 -0.001
            120	 -0.212	 89.407	 -0.010	 -0.476	  0.004	 -0.077	  0.020
            121	 -0.236	 88.873	 -0.010	 -0.476	  0.004	 -0.074	  0.001
            122	 -0.272	 88.340	 -0.011	 -0.477	  0.002	 -0.071	  0.006
            123	 -0.286	 88.020	 -0.006	 -0.474	  0.002	 -0.071	 -0.003
            124	 -0.280	 87.593	 -0.009	 -0.474	  0.000	 -0.066	  0.007
            125	 -0.278	 87.166	 -0.017	 -0.472	 -0.000	 -0.063	 -0.017
            126	 -0.272	 86.846	 -0.027	 -0.472	 -0.001	 -0.059	  0.010
            127	 -0.270	 86.420	 -0.028	 -0.473	 -0.001	 -0.057	 -0.004
            128	 -0.284	 85.779	 -0.032	 -0.473	 -0.002	 -0.053	 -0.003
            129	 -0.272	 85.353	 -0.027	 -0.474	 -0.002	 -0.058	  0.001
            130	 -0.284	 84.926	 -0.026	 -0.475	 -0.004	 -0.059	  0.010
            131	 -0.282	 84.499	 -0.018	 -0.477	 -0.004	 -0.060	  0.003
            132	 -0.294	 84.286	 -0.021	 -0.477	 -0.005	 -0.062	  0.001
            133	 -0.276	 83.859	 -0.017	 -0.477	 -0.006	 -0.062	 -0.001
            134	 -0.280	 83.539	 -0.019	 -0.477	 -0.007	 -0.060	 -0.002
            135	 -0.294	 83.005	 -0.019	 -0.478	 -0.008	 -0.060	  0.030
            136	 -0.272	 82.899	 -0.016	 -0.478	 -0.009	 -0.060	 -0.008
            137	 -0.300	 82.472	 -0.016	 -0.479	 -0.010	 -0.063	  0.009
            138	 -0.280	 82.259	 -0.013	 -0.479	 -0.011	 -0.066	 -0.001
            139	 -0.344	 81.939	 -0.020	 -0.481	 -0.013	 -0.067	 -0.001
            140	 -0.288	 81.725	 -0.009	 -0.481	 -0.013	 -0.068	  0.012
            141	 -0.352	 81.298	 -0.016	 -0.481	 -0.014	 -0.066	  0.005
            142	 -0.288	 81.192	 -0.005	 -0.482	 -0.015	 -0.062	  0.002
            143	 -0.128	 80.978	 -0.008	 -0.482	 -0.016	 -0.063	 -0.004
            144	  0.152	 80.765	 -0.008	 -0.482	 -0.018	 -0.068	  0.003
            145	  0.648	 80.445	  0.008	 -0.484	 -0.018	 -0.074	  0.002
            146	  1.206	 80.445	  0.019	 -0.485	 -0.019	 -0.081	  0.012
            147	  1.786	 80.018	  0.033	 -0.485	 -0.020	 -0.083	  0.010
            148	  1.888	 79.805	  0.023	 -0.485	 -0.021	 -0.083	  0.013
            149	  1.736	 79.591	  0.019	 -0.487	 -0.022	 -0.076	  0.004
            150	  1.216	 79.591	  0.002	 -0.485	 -0.022	 -0.071	  0.006
            151	  0.506	 79.271	  0.001	 -0.485	 -0.024	 -0.066	  0.011
            152	 -0.168	 79.058	 -0.001	 -0.486	 -0.025	 -0.062	 -0.005
            153	 -0.432	 78.844	 -0.016	 -0.486	 -0.026	 -0.061	  0.010
            154	 -0.726	 78.524	 -0.018	 -0.488	 -0.027	 -0.059	 -0.000
            155	 -0.790	 78.418	 -0.022	 -0.487	 -0.029	 -0.057	 -0.002
            156	 -0.744	 78.204	 -0.021	 -0.489	 -0.030	 -0.053	 -0.005
            157	 -0.678	 78.098	 -0.024	 -0.489	 -0.031	 -0.054	  0.002
            158	 -0.634	 77.884	 -0.020	 -0.489	 -0.031	 -0.055	  0.002
            159	 -0.564	 77.671	 -0.016	 -0.489	 -0.033	 -0.059	  0.024
            160	 -0.512	 77.458	 -0.015	 -0.489	 -0.033	 -0.064	 -0.010
            161	 -0.488	 77.458	 -0.018	 -0.489	 -0.034	 -0.064	  0.006
            162	 -0.442	 77.137	 -0.006	 -0.488	 -0.035	 -0.066	  0.001
            163	 -0.452	 77.031	 -0.004	 -0.489	 -0.035	 -0.067	 -0.019
            164	 -0.464	 77.031	 -0.008	 -0.489	 -0.036	 -0.066	  0.008
            165	 -0.432	 76.711	 -0.006	 -0.488	 -0.036	 -0.064	  0.001
            166	 -0.438	 76.391	 -0.008	 -0.489	 -0.037	 -0.060	  0.004
            167	 -0.392	 76.391	 -0.011	 -0.489	 -0.038	 -0.057	 -0.008
            168	 -0.408	 76.177	 -0.018	 -0.489	 -0.038	 -0.053	  0.005
            169	 -0.400	 76.071	 -0.010	 -0.488	 -0.038	 -0.049	  0.000
            170	 -0.402	 75.750	 -0.011	 -0.488	 -0.039	 -0.047	 -0.000
            171	 -0.396	 75.644	 -0.017	 -0.486	 -0.040	 -0.044	  0.008
            172	 -0.408	 75.324	 -0.007	 -0.488	 -0.040	 -0.047	  0.006
            173	 -0.402	 75.324	 -0.016	 -0.488	 -0.040	 -0.047	 -0.006
            174	 -0.362	 75.110	 -0.019	 -0.488	 -0.041	 -0.047	  0.001
            175	 -0.396	 74.897	 -0.022	 -0.487	 -0.042	 -0.047	  0.003
            176	 -0.370	 74.790	 -0.029	 -0.486	 -0.043	 -0.044	  0.014
            177	 -0.368	 74.470	 -0.028	 -0.486	 -0.043	 -0.047	 -0.014
            178	 -0.372	 74.257	 -0.040	 -0.485	 -0.044	 -0.052	  0.010
            179	 -0.348	 74.150	 -0.025	 -0.486	 -0.045	 -0.058	 -0.004
            180	 -0.342	 74.043	 -0.030	 -0.485	 -0.045	 -0.063	  0.002
            181	 -0.320	 73.937	 -0.032	 -0.485	 -0.045	 -0.066	  0.007
            182	 -0.326	 73.830	 -0.026	 -0.485	 -0.046	 -0.064	 -0.004
            183	 -0.340	 73.617	 -0.020	 -0.487	 -0.047	 -0.062	  0.007
            184	 -0.314	 73.617	 -0.018	 -0.489	 -0.047	 -0.059	 -0.001
            185	 -0.334	 73.617	 -0.010	 -0.488	 -0.048	 -0.062	 -0.003
            186	 -0.296	 73.617	 -0.012	 -0.487	 -0.049	 -0.067	 -0.001
            187	 -0.298	 73.617	 -0.014	 -0.488	 -0.049	 -0.062	  0.016
            188	 -0.312	 74.043	 -0.014	 -0.487	 -0.050	 -0.063	  0.002
            189	 -0.304	 74.150	 -0.017	 -0.488	 -0.051	 -0.055	  0.008
            190	 -0.284	 74.684	 -0.000	 -0.488	 -0.052	 -0.055	  0.015
            191	 -0.292	 75.324	 -0.012	 -0.488	 -0.052	 -0.055	  0.001
            192	 -0.264	 76.284	 -0.006	 -0.486	 -0.053	 -0.056	  0.005
            193	 -0.276	 77.458	 -0.004	 -0.487	 -0.053	 -0.054	  0.000
            194	 -0.258	 79.165	 -0.006	 -0.485	 -0.054	 -0.050	 -0.001
            195	 -0.248	 80.872	 -0.014	 -0.485	 -0.055	 -0.047	 -0.002
            196	 -0.218	 82.899	 -0.018	 -0.485	 -0.056	 -0.043	  0.003
            197	 -0.248	 85.139	 -0.019	 -0.485	 -0.057	 -0.041	 -0.002
            198	 -0.210	 87.700	 -0.021	 -0.484	 -0.058	 -0.043	  0.010
            199	 -0.222	 90.367	 -0.027	 -0.484	 -0.059	 -0.044	  0.007
            200	 -0.212	 93.248	 -0.030	 -0.485	 -0.059	 -0.048	 -0.003
            201	 -0.190	 96.235	 -0.027	 -0.483	 -0.060	 -0.052	  0.005
            202	 -0.184	 99.436	 -0.026	 -0.483	 -0.061	 -0.056	  0.024
            203	 -0.172	102.637	 -0.025	 -0.482	 -0.062	 -0.060	  0.007
            204	 -0.182	106.051	 -0.027	 -0.481	 -0.063	 -0.062	  0.009
            205	 -0.152	109.251	 -0.025	 -0.480	 -0.064	 -0.063	 -0.001
            206	 -0.164	112.452	 -0.020	 -0.481	 -0.065	 -0.064	 -0.002
            207	 -0.146	115.653	 -0.019	 -0.481	 -0.066	 -0.065	  0.024
            208	 -0.128	118.747	 -0.015	 -0.481	 -0.066	 -0.068	 -0.005
            209	 -0.140	121.734	 -0.014	 -0.481	 -0.068	 -0.069	  0.009
            210	 -0.118	124.615	 -0.006	 -0.479	 -0.069	 -0.068	  0.001
            211	 -0.094	127.175	 -0.004	 -0.479	 -0.070	 -0.068	 -0.004
            212	 -0.102	129.523	 -0.005	 -0.476	 -0.071	 -0.067	 -0.003
            213	 -0.086	131.656	  0.006	 -0.475	 -0.072	 -0.067	  0.005
            214	 -0.100	133.470	 -0.002	 -0.474	 -0.073	 -0.067	  0.006
            215	 -0.100	135.071	 -0.004	 -0.473	 -0.074	 -0.066	  0.000
            216	 -0.108	136.458	  0.003	 -0.475	 -0.075	 -0.059	  0.009
            217	 -0.092	137.524	 -0.003	 -0.474	 -0.076	 -0.056	  0.018
            218	 -0.110	138.378	 -0.002	 -0.473	 -0.077	 -0.055	 -0.011
            219	 -0.088	138.911	 -0.001	 -0.470	 -0.078	 -0.055	  0.006
            220	 -0.094	139.338	 -0.004	 -0.472	 -0.080	 -0.056	 -0.002
            221	 -0.108	139.338	 -0.010	 -0.472	 -0.081	 -0.058	  0.000
            222	 -0.136	139.445	 -0.019	 -0.473	 -0.082	 -0.056	  0.003
            223	 -0.132	139.338	 -0.018	 -0.472	 -0.083	 -0.054	  0.005
            224	 -0.174	139.018	 -0.016	 -0.472	 -0.084	 -0.051	  0.005
            225	 -0.172	138.698	 -0.019	 -0.472	 -0.084	 -0.055	  0.005
            226	 -0.192	138.271	 -0.029	 -0.469	 -0.084	 -0.062	  0.004
            227	 -0.186	137.738	 -0.027	 -0.470	 -0.085	 -0.069	  0.033
            228	 -0.224	137.204	 -0.022	 -0.469	 -0.085	 -0.075	 -0.001
            229	 -0.216	136.564	 -0.018	 -0.469	 -0.086	 -0.077	  0.011
            230	 -0.232	135.924	 -0.015	 -0.468	 -0.086	 -0.075	  0.001
            231	 -0.222	135.177	 -0.004	 -0.466	 -0.086	 -0.072	 -0.004
            232	 -0.248	134.644	 -0.011	 -0.464	 -0.086	 -0.075	  0.000
            233	 -0.206	133.897	 -0.006	 -0.464	 -0.086	 -0.076	  0.003
            234	 -0.274	133.257	 -0.008	 -0.463	 -0.087	 -0.078	  0.002
            235	 -0.248	132.510	 -0.002	 -0.463	 -0.088	 -0.079	  0.025
            236	 -0.274	131.763	 -0.002	 -0.460	 -0.088	 -0.077	 -0.000
            237	 -0.248	131.123	 -0.008	 -0.461	 -0.088	 -0.074	  0.007
            238	 -0.268	130.376	 -0.002	 -0.461	 -0.089	 -0.071	  0.009
            239	 -0.248	129.629	 -0.000	 -0.463	 -0.090	 -0.072	 -0.014
            240	 -0.248	129.096	 -0.002	 -0.464	 -0.090	 -0.070	  0.005
            241	 -0.246	128.242	 -0.005	 -0.464	 -0.091	 -0.071	 -0.001
            242	 -0.240	127.816	 -0.009	 -0.464	 -0.092	 -0.069	  0.001
            243	 -0.274	126.962	 -0.014	 -0.465	 -0.092	 -0.067	 -0.001
            244	 -0.232	126.535	 -0.010	 -0.463	 -0.093	 -0.066	  0.005
            245	 -0.254	125.682	 -0.008	 -0.463	 -0.093	 -0.066	 -0.004
            246	 -0.252	125.148	 -0.018	 -0.460	 -0.093	 -0.066	 -0.002
            247	 -0.264	124.722	 -0.010	 -0.459	 -0.094	 -0.067	  0.009
            248	 -0.266	123.975	 -0.010	 -0.457	 -0.095	 -0.070	  0.005
            249	 -0.264	123.335	 -0.024	 -0.457	 -0.095	 -0.072	  0.004
            250	 -0.250	122.801	 -0.011	 -0.456	 -0.096	 -0.074	  0.005
            251	 -0.252	122.268	 -0.015	 -0.454	 -0.097	 -0.076	  0.005
            252	 -0.252	121.521	 -0.012	 -0.455	 -0.097	 -0.077	  0.003
            253	 -0.242	120.987	 -0.013	 -0.453	 -0.098	 -0.080	  0.001
            254	 -0.262	120.241	 -0.008	 -0.451	 -0.099	 -0.082	  0.030
            255	 -0.282	119.600	 -0.004	 -0.451	 -0.100	 -0.089	 -0.007
            256	 -0.228	118.747	 -0.004	 -0.451	 -0.100	 -0.092	  0.008
            257	 -0.248	117.893	  0.003	 -0.450	 -0.101	 -0.095	 -0.001
            258	 -0.254	116.826	 -0.000	 -0.450	 -0.101	 -0.096	 -0.003
            259	 -0.246	115.973	 -0.004	 -0.447	 -0.101	 -0.095	  0.003
            260	 -0.270	114.799	  0.003	 -0.447	 -0.102	 -0.091	  0.002
            261	 -0.242	113.412	 -0.003	 -0.447	 -0.102	 -0.087	  0.002
            262	 -0.248	112.132	 -0.004	 -0.446	 -0.102	 -0.083	  0.008
            263	 -0.222	110.745	 -0.004	 -0.447	 -0.102	 -0.079	 -0.003
            264	 -0.210	109.145	 -0.008	 -0.446	 -0.103	 -0.078	 -0.005
            265	 -0.208	107.438	 -0.006	 -0.446	 -0.104	 -0.080	 -0.002
            266	 -0.246	105.731	 -0.006	 -0.446	 -0.104	 -0.083	  0.008
            267	 -0.226	104.024	 -0.012	 -0.447	 -0.105	 -0.081	  0.004
            268	 -0.236	102.423	 -0.014	 -0.445	 -0.106	 -0.076	 -0.000
            269	 -0.240	100.823	 -0.011	 -0.444	 -0.106	 -0.076	  0.004
            270	 -0.224	 99.222	 -0.009	 -0.444	 -0.106	 -0.078	  0.001
            271	 -0.218	 97.835	 -0.008	 -0.444	 -0.107	 -0.083	  0.004
            272	 -0.210	 96.662	 -0.013	 -0.443	 -0.107	 -0.085	  0.001
            273	 -0.182	 95.382	 -0.011	 -0.443	 -0.108	 -0.084	 -0.003
            274	 -0.210	 94.208	 -0.008	 -0.442	 -0.108	 -0.084	  0.002
            275	 -0.194	 93.248	  0.006	 -0.439	 -0.109	 -0.083	  0.003
            276	 -0.168	 92.501	 -0.010	 -0.437	 -0.110	 -0.084	  0.013
            277	 -0.200	 91.754	 -0.010	 -0.437	 -0.110	 -0.088	 -0.003
            278	 -0.200	 91.221	 -0.006	 -0.437	 -0.111	 -0.090	  0.011
            279	 -0.208	 90.687	 -0.009	 -0.438	 -0.111	 -0.093	  0.002
            280	 -0.210	 90.474	 -0.006	 -0.438	 -0.111	 -0.092	  0.001
            281	 -0.232	 90.260	 -0.006	 -0.436	 -0.112	 -0.093	 -0.001
            282	 -0.178	 90.260	 -0.002	 -0.435	 -0.112	 -0.092	  0.030
            283	 -0.188	 90.367	  0.004	 -0.435	 -0.113	 -0.088	 -0.005
            284	 -0.174	 90.580	  0.004	 -0.434	 -0.113	 -0.089	  0.004
            285	 -0.192	 90.794	  0.003	 -0.432	 -0.113	 -0.087	 -0.005
            286	 -0.178	 91.007	 -0.005	 -0.430	 -0.113	 -0.084	 -0.002
            287	 -0.192	 91.114	 -0.005	 -0.430	 -0.113	 -0.083	  0.024
            288	 -0.194	 91.647	 -0.010	 -0.430	 -0.114	 -0.078	 -0.001
            289	 -0.166	 91.967	 -0.005	 -0.428	 -0.114	 -0.075	  0.004
            290	 -0.174	 92.394	 -0.007	 -0.427	 -0.115	 -0.075	 -0.002
            291	 -0.188	 92.714	 -0.000	 -0.426	 -0.115	 -0.073	 -0.008
            292	 -0.190	 93.141	 -0.003	 -0.426	 -0.115	 -0.072	  0.000
            293	 -0.174	 93.461	 -0.008	 -0.427	 -0.115	 -0.072	 -0.000
            294	 -0.166	 93.781	 -0.014	 -0.426	 -0.116	 -0.069	  0.006
            295	 -0.176	 94.101	 -0.013	 -0.426	 -0.116	 -0.072	  0.005
            296	 -0.174	 94.528	 -0.013	 -0.425	 -0.117	 -0.075	  0.006
            297	 -0.176	 94.528	 -0.018	 -0.425	 -0.117	 -0.078	  0.004
            298	 -0.162	 94.955	 -0.015	 -0.425	 -0.118	 -0.081	  0.006
            299	 -0.176	 94.955	 -0.017	 -0.425	 -0.118	 -0.082	  0.005
            300	 -0.144	 95.061	 -0.018	 -0.424	 -0.119	 -0.082	  0.007
            301	 -0.146	 95.168	 -0.005	 -0.424	 -0.119	 -0.082	  0.004
            302	 -0.136	 95.168	 -0.010	 -0.424	 -0.120	 -0.081	  0.004
            303	 -0.108	 95.275	 -0.006	 -0.421	 -0.120	 -0.083	  0.005
            304	 -0.100	 94.955	 -0.003	 -0.422	 -0.120	 -0.085	 -0.008
            305	 -0.104	 95.061	 -0.002	 -0.420	 -0.121	 -0.086	  0.011
            306	 -0.114	 94.848	  0.001	 -0.420	 -0.122	 -0.090	  0.003
            307	 -0.108	 94.741	 -0.000	 -0.418	 -0.122	 -0.091	 -0.004
            308	 -0.080	 94.528	  0.003	 -0.417	 -0.122	 -0.093	 -0.002
            309	 -0.064	 94.315	  0.011	 -0.417	 -0.124	 -0.094	  0.004
            310	 -0.006	 93.995	  0.009	 -0.417	 -0.124	 -0.093	  0.009
            311	 -0.016	 93.675	  0.008	 -0.416	 -0.124	 -0.090	  0.003
            312	  0.006	 93.248	  0.014	 -0.414	 -0.125	 -0.084	  0.014
            313	  0.024	 93.141	  0.007	 -0.414	 -0.125	 -0.084	  0.006
            314	 -0.022	 92.821	  0.011	 -0.414	 -0.125	 -0.087	  0.005
            315	  0.022	 92.394	  0.004	 -0.414	 -0.126	 -0.095	  0.002
            316	 -0.004	 91.967	  0.001	 -0.414	 -0.126	 -0.105	  0.001
            317	 -0.012	 91.541	 -0.003	 -0.412	 -0.126	 -0.110	 -0.000
            318	 -0.016	 91.114	 -0.004	 -0.412	 -0.127	 -0.113	  0.003
            319	 -0.032	 90.687	 -0.001	 -0.410	 -0.128	 -0.116	 -0.003
            320	 -0.030	 90.260	 -0.001	 -0.407	 -0.128	 -0.119	  0.007
            321	 -0.086	 89.834	 -0.000	 -0.405	 -0.128	 -0.121	  0.002
            322	 -0.108	 89.407	 -0.005	 -0.405	 -0.128	 -0.121	 -0.001
            323	 -0.154	 88.873	 -0.013	 -0.405	 -0.129	 -0.118	  0.000
            324	 -0.184	 88.447	 -0.008	 -0.403	 -0.128	 -0.117	  0.003
            325	 -0.226	 87.913	 -0.010	 -0.404	 -0.129	 -0.116	  0.012
            326	 -0.270	 87.486	 -0.009	 -0.403	 -0.129	 -0.118	 -0.012
