sample interval	    ECG	     BP	(C3-O1)	(nasal)
             44	 -0.046	119.000	 -0.019	  0.065
             45	 -0.016	117.654	 -0.012	  0.067
             46	 -0.046	116.038	 -0.014	  0.071
             47	 -0.024	114.692	  0.013	  0.075
             48	 -0.024	113.615	  0.003	  0.077
             49	 -0.018	112.269	  0.022	  0.081
             50	 -0.024	110.654	  0.025	  0.087
             51	 -0.008	108.769	  0.016	  0.091
             52	 -0.012	107.423	  0.016	  0.096
             53	  0.002	105.808	  0.009	  0.103
             54	 -0.010	104.731	  0.000	  0.108
             55	 -0.004	103.654	  0.007	  0.113
             56	 -0.010	102.308	 -0.012	  0.120
             57	 -0.004	 99.885	 -0.002	  0.126
             58	 -0.014	100.423	 -0.015	  0.134
             59	 -0.004	 99.077	 -0.016	  0.138
             60	 -0.008	 98.269	 -0.033	  0.144
             61	 -0.016	 97.731	  0.003	  0.150
             62	 -0.016	 98.269	 -0.019	  0.154
             63	 -0.018	 97.192	 -0.008	  0.161
             64	 -0.032	 96.654	 -0.010	  0.168
             65	 -0.018	 96.654	 -0.008	  0.170
             66	 -0.022	 96.385	 -0.009	  0.176
             67	 -0.024	 97.731	 -0.009	  0.183
             68	 -0.028	 97.461	  0.015	  0.188
             69	 -0.040	 96.923	  0.002	  0.196
             70	 -0.024	 96.923	  0.016	  0.203
             71	 -0.032	 97.461	  0.020	  0.205
             72	 -0.016	 98.538	  0.015	  0.210
             73	 -0.000	 97.731	  0.021	  0.215
             74	  0.008	 97.731	  0.015	  0.222
             75	 -0.004	 97.731	 -0.015	  0.226
             76	  0.008	 98.269	  0.019	  0.231
             77	  0.028	 98.538	 -0.003	  0.235
             78	  0.046	 98.538	  0.000	  0.241
             79	  0.072	 99.077	  0.016	  0.246
             80	  0.096	 99.615	  0.004	  0.251
             81	  0.108	 99.615	 -0.001	  0.258
             82	  0.136	 99.346	 -0.015	  0.265
             83	  0.136	 99.346	 -0.022	  0.270
             84	  0.164	 99.346	 -0.035	  0.273
             85	  0.168	 99.615	 -0.031	  0.274
             86	  0.152	 98.808	 -0.031	  0.279
             87	  0.148	 98.538	 -0.022	  0.283
             88	  0.144	 98.538	 -0.020	  0.287
             89	  0.102	 99.346	 -0.018	  0.293
             90	  0.080	 99.346	 -0.004	  0.299
             91	  0.026	 98.538	 -0.008	  0.306
             92	 -0.000	 99.615	  0.010	  0.304
             93	 -0.026	 99.346	  0.018	  0.305
             94	 -0.050	 98.538	  0.027	  0.315
             95	 -0.034	 97.731	  0.024	  0.315
             96	 -0.066	 98.538	  0.041	  0.322
             97	 -0.062	 98.538	  0.037	  0.321
             98	 -0.078	 98.538	  0.054	  0.323
             99	 -0.072	 97.192	  0.042	  0.327
            100	 -0.076	 97.461	  0.026	  0.331
            101	 -0.064	 97.461	  0.030	  0.331
            102	 -0.074	 97.461	  0.020	  0.333
            103	 -0.062	 96.385	  0.014	  0.337
            104	 -0.072	 96.385	  0.012	  0.342
            105	 -0.076	 95.308	  0.001	  0.339
            106	 -0.072	 95.308	 -0.004	  0.346
            107	 -0.070	 94.500	 -0.024	  0.345
            108	 -0.060	 94.769	 -0.026	  0.347
            109	 -0.062	 93.423	 -0.031	  0.348
            110	 -0.050	 93.423	 -0.017	  0.351
            111	 -0.054	 93.154	 -0.033	  0.354
            112	 -0.056	 92.885	 -0.045	  0.349
            113	 -0.050	 92.346	 -0.032	  0.357
            114	 -0.056	 92.346	 -0.043	  0.355
            115	 -0.056	 92.346	 -0.025	  0.356
            116	 -0.034	 92.077	 -0.015	  0.359
            117	 -0.024	 91.269	  0.004	  0.360
            118	 -0.016	 91.000	 -0.006	  0.362
            119	  0.004	 91.000	  0.005	  0.359
            120	  0.052	 89.923	  0.031	  0.365
            121	  0.148	 90.192	  0.023	  0.364
            122	  0.372	 89.385	  0.042	  0.363
            123	  0.640	 89.115	  0.045	  0.366
            124	  1.000	 88.846	  0.046	  0.366
            125	  1.046	 88.577	  0.040	  0.364
            126	  0.892	 88.308	  0.048	  0.368
            127	  0.572	 87.769	  0.039	  0.368
            128	  0.074	 87.769	  0.034	  0.366
            129	 -0.280	 87.231	  0.025	  0.366
            130	 -0.544	 87.231	  0.007	  0.368
            131	 -0.820	 86.961	  0.002	  0.366
            132	 -0.922	 86.423	 -0.002	  0.365
            133	 -0.880	 86.423	 -0.006	  0.369
            134	 -0.726	 85.885	 -0.001	  0.368
            135	 -0.506	 85.346	 -0.022	  0.366
            136	 -0.284	 84.538	 -0.011	  0.369
            137	 -0.144	 84.808	 -0.044	  0.370
            138	 -0.028	 84.538	 -0.025	  0.368
            139	  0.044	 84.808	 -0.030	  0.368
            140	  0.078	 84.269	 -0.027	  0.368
            141	  0.066	 84.000	 -0.026	  0.370
            142	  0.088	 83.731	 -0.012	  0.372
            143	  0.082	 83.461	 -0.009	  0.367
            144	  0.104	 82.923	 -0.002	  0.371
            145	  0.128	 81.846	  0.006	  0.372
            146	  0.120	 82.385	  0.024	  0.368
            147	  0.140	 82.115	  0.026	  0.371
            148	  0.144	 81.308	  0.040	  0.370
            149	  0.158	 80.500	  0.043	  0.372
            150	  0.168	 80.500	  0.024	  0.375
            151	  0.178	 81.308	  0.037	  0.372
            152	  0.168	 80.500	  0.034	  0.369
            153	  0.164	 79.692	  0.013	  0.372
            154	  0.180	 79.961	  0.023	  0.375
            155	  0.184	 79.692	  0.005	  0.372
            156	  0.184	 79.423	  0.013	  0.365
            157	  0.192	 78.346	 -0.002	  0.369
            158	  0.208	 78.346	 -0.005	  0.372
            159	  0.208	 78.615	 -0.010	  0.374
            160	  0.200	 78.615	 -0.008	  0.369
            161	  0.204	 78.346	 -0.023	  0.366
            162	  0.228	 77.538	 -0.027	  0.371
            163	  0.228	 77.808	 -0.031	  0.375
            164	  0.244	 77.538	 -0.035	  0.372
            165	  0.248	 77.000	 -0.039	  0.372
            166	  0.256	 77.000	 -0.029	  0.369
            167	  0.264	 78.077	 -0.017	  0.368
            168	  0.260	 78.615	 -0.022	  0.372
            169	  0.272	 79.423	 -0.013	  0.372
            170	  0.288	 80.769	 -0.019	  0.371
            171	  0.296	 82.385	  0.021	  0.372
            172	  0.308	 84.808	  0.008	  0.374
            173	  0.300	 87.769	  0.035	  0.376
            174	  0.326	 91.000	  0.048	  0.372
            175	  0.338	 94.231	  0.042	  0.375
            176	  0.352	 98.808	  0.039	  0.374
            177	  0.362	103.384	  0.036	  0.372
            178	  0.374	108.231	  0.015	  0.372
            179	  0.386	112.808	  0.023	  0.372
            180	  0.386	117.654	  0.010	  0.369
            181	  0.390	122.769	  0.001	  0.368
            182	  0.404	126.269	 -0.001	  0.369
            183	  0.410	130.308	 -0.008	  0.368
            184	  0.406	134.346	 -0.032	  0.368
            185	  0.414	137.577	 -0.014	  0.368
            186	  0.402	140.000	 -0.034	  0.369
            187	  0.410	143.769	 -0.035	  0.366
            188	  0.390	145.923	 -0.026	  0.366
            189	  0.374	147.538	 -0.024	  0.366
            190	  0.360	149.692	 -0.037	  0.364
            191	  0.342	150.500	 -0.033	  0.364
            192	  0.340	151.308	 -0.023	  0.364
            193	  0.308	152.654	 -0.023	  0.364
            194	  0.302	152.654	  0.001	  0.366
            195	  0.296	151.577	 -0.005	  0.364
            196	  0.280	151.846	  0.032	  0.366
            197	  0.266	150.769	  0.036	  0.364
            198	  0.256	150.769	  0.042	  0.366
            199	  0.242	148.615	  0.044	  0.366
            200	  0.216	148.615	  0.035	  0.366
            201	  0.208	145.923	  0.037	  0.364
            202	  0.156	144.038	  0.029	  0.364
            203	  0.140	142.692	  0.030	  0.365
            204	  0.096	142.692	  0.042	  0.363
            205	  0.060	140.538	  0.018	  0.363
            206	  0.042	139.461	  0.014	  0.364
            207	  0.016	138.115	  0.001	  0.361
            208	  0.002	136.769	 -0.007	  0.362
            209	 -0.022	135.423	 -0.013	  0.364
            210	 -0.026	134.346	 -0.034	  0.362
            211	 -0.048	133.000	 -0.023	  0.363
            212	 -0.050	132.192	 -0.026	  0.359
            213	 -0.052	131.654	 -0.014	  0.360
            214	 -0.052	130.577	 -0.018	  0.360
            215	 -0.056	129.231	 -0.015	  0.360
            216	 -0.050	127.346	 -0.035	  0.364
            217	 -0.062	126.538	 -0.027	  0.359
            218	 -0.058	125.461	 -0.026	  0.361
            219	 -0.060	123.846	 -0.024	  0.363
            220	 -0.056	121.961	 -0.010	  0.360
            221	 -0.060	121.154	  0.005	  0.362
            222	 -0.050	120.346	  0.021	  0.360
            223	 -0.044	119.000	  0.033	  0.362
            224	 -0.038	117.654	  0.035	  0.360
            225	 -0.036	116.577	  0.031	  0.360
            226	 -0.016	114.961	  0.038	  0.363
            227	 -0.022	113.884	  0.025	  0.353
            228	 -0.000	112.000	  0.038	  0.361
            229	 -0.006	110.923	  0.033	  0.353
            230	 -0.004	109.038	  0.041	  0.360
            231	  0.002	107.154	  0.025	  0.353
            232	 -0.000	105.269	  0.021	  0.358
            233	 -0.000	104.192	  0.007	  0.351
            234	  0.008	103.384	  0.002	  0.357
            235	  0.006	100.692	  0.010	  0.351
            236	  0.006	 99.615	  0.013	  0.356
            237	  0.008	 98.538	 -0.004	  0.350
            238	 -0.000	 96.923	  0.001	  0.352
            239	 -0.002	 96.385	 -0.008	  0.348
            240	 -0.002	 95.846	 -0.007	  0.351
            241	 -0.004	 94.231	 -0.012	  0.345
            242	  0.008	 93.692	 -0.008	  0.351
            243	  0.004	 93.692	 -0.008	  0.347
            244	 -0.004	 93.154	  0.002	  0.345
            245	 -0.006	 92.077	  0.001	  0.344
            246	 -0.014	 92.077	  0.009	  0.347
            247	 -0.022	 91.538	  0.004	  0.345
            248	 -0.032	 91.808	  0.015	  0.340
            249	 -0.024	 91.269	  0.008	  0.342
            250	 -0.038	 91.538	  0.017	  0.343
            251	 -0.030	 91.269	  0.027	  0.343
            252	 -0.030	 91.269	  0.030	  0.339
            253	 -0.008	 90.731	  0.016	  0.342
            254	 -0.012	 91.269	  0.038	  0.341
            255	  0.012	 91.808	  0.012	  0.346
            256	  0.006	 92.077	  0.017	  0.337
            257	  0.014	 92.346	  0.016	  0.339
            258	  0.010	 93.423	  0.012	  0.339
            259	  0.014	 93.961	  0.016	  0.340
            260	  0.032	 95.038	  0.007	  0.337
            261	  0.042	 94.231	  0.010	  0.334
            262	  0.082	 93.961	 -0.000	  0.339
            263	  0.112	 93.961	 -0.006	  0.342
            264	  0.120	 94.769	 -0.016	  0.335
            265	  0.124	 94.231	 -0.017	  0.336
            266	  0.118	 94.769	 -0.004	  0.342
            267	  0.128	 95.308	 -0.010	  0.343
            268	  0.126	 95.308	 -0.005	  0.339
            269	  0.108	 95.308	  0.001	  0.335
            270	  0.126	 94.769	 -0.006	  0.339
            271	  0.120	 95.577	 -0.000	  0.340
            272	  0.086	 95.308	  0.001	  0.339
            273	  0.062	 95.308	 -0.003	  0.339
            274	  0.012	 96.115	  0.004	  0.341
            275	 -0.018	 95.846	  0.024	  0.335
            276	 -0.038	 95.577	  0.028	  0.340
            277	 -0.050	 95.308	  0.036	  0.339
            278	 -0.050	 95.038	  0.033	  0.341
            279	 -0.062	 95.577	  0.032	  0.337
            280	 -0.078	 95.308	  0.027	  0.341
            281	 -0.080	 95.038	  0.026	  0.339
            282	 -0.056	 94.231	  0.019	  0.339
            283	 -0.072	 94.231	 -0.014	  0.338
            284	 -0.056	 94.231	  0.018	  0.343
            285	 -0.064	 93.423	 -0.012	  0.340
            286	 -0.064	 93.154	  0.007	  0.342
            287	 -0.064	 92.885	  0.003	  0.339
            288	 -0.056	 92.346	 -0.006	  0.343
            289	 -0.052	 92.885	 -0.013	  0.342
            290	 -0.060	 92.346	 -0.010	  0.337
            291	 -0.054	 91.808	 -0.008	  0.340
            292	 -0.056	 92.077	 -0.020	  0.339
            293	 -0.072	 91.808	 -0.000	  0.345
            294	 -0.064	 92.077	 -0.020	  0.337
            295	 -0.060	 90.731	 -0.007	  0.341
            296	 -0.056	 90.731	 -0.018	  0.339
            297	 -0.040	 89.923	 -0.001	  0.343
            298	 -0.050	 89.923	 -0.002	  0.337
            299	 -0.018	 89.385	  0.015	  0.339
            300	 -0.022	 88.846	  0.011	  0.335
            301	 -0.008	 88.846	  0.031	  0.342
            302	  0.032	 88.308	  0.010	  0.338
            303	  0.100	 87.500	  0.022	  0.339
            304	  0.236	 87.500	  0.018	  0.336
            305	  0.464	 86.692	  0.015	  0.336
            306	  0.762	 86.154	  0.007	  0.339
            307	  1.002	 85.615	  0.019	  0.340
            308	  0.862	 85.885	  0.020	  0.340
            309	  0.684	 86.692	  0.025	  0.335
            310	  0.330	 86.154	  0.043	  0.332
            311	 -0.152	 85.615	  0.030	  0.336
            312	 -0.398	 85.615	  0.020	  0.334
            313	 -0.640	 85.077	  0.011	  0.334
            314	 -0.874	 84.538	  0.004	  0.335
            315	 -0.898	 84.538	 -0.008	  0.335
            316	 -0.828	 84.000	 -0.023	  0.336
            317	 -0.628	 83.731	 -0.019	  0.337
            318	 -0.418	 82.923	 -0.028	  0.334
            319	 -0.234	 83.461	 -0.021	  0.332
            320	 -0.096	 82.385	 -0.007	  0.334
            321	 -0.002	 82.385	 -0.010	  0.331
            322	  0.064	 82.385	 -0.001	  0.335
            323	  0.088	 81.577	  0.017	  0.335
            324	  0.082	 81.308	  0.009	  0.332
            325	  0.090	 81.846	  0.020	  0.333
            326	  0.114	 81.846	  0.011	  0.335
            327	  0.112	 81.038	  0.014	  0.335
            328	  0.138	 79.961	  0.018	  0.335
            329	  0.132	 80.231	  0.016	  0.331
            330	  0.146	 79.961	  0.026	  0.331
            331	  0.150	 79.154	  0.017	  0.331
            332	  0.160	 79.154	  0.005	  0.333
            333	  0.172	 78.885	  0.013	  0.331
            334	  0.176	 78.615	  0.001	  0.331
            335	  0.180	 78.346	  0.015	  0.329
            336	  0.176	 77.538	  0.024	  0.328
            337	  0.184	 77.269	  0.010	  0.329
            338	  0.182	 77.538	  0.009	  0.327
            339	  0.192	 78.077	 -0.000	  0.324
            340	  0.192	 77.000	 -0.020	  0.325
            341	  0.200	 76.461	 -0.010	  0.327
            342	  0.200	 76.731	 -0.025	  0.327
            343	  0.200	 76.731	 -0.015	  0.326
            344	  0.206	 76.731	 -0.024	  0.325
            345	  0.214	 77.000	 -0.013	  0.324
            346	  0.216	 75.923	 -0.020	  0.325
            347	  0.228	 76.192	 -0.010	  0.324
            348	  0.224	 76.461	 -0.000	  0.323
            349	  0.248	 76.192	 -0.000	  0.323
            350	  0.248	 76.461	  0.002	  0.321
            351	  0.256	 77.000	  0.001	  0.319
            352	  0.274	 77.269	  0.010	  0.318
            353	  0.278	 78.077	  0.027	  0.318
            354	  0.280	 80.769	  0.019	  0.317
            355	  0.296	 83.461	  0.021	  0.319
            356	  0.304	 85.615	  0.026	  0.317
            357	  0.324	 89.115	  0.011	  0.313
            358	  0.324	 92.077	  0.032	  0.311
            359	  0.340	 96.654	  0.017	  0.312
            360	  0.342	101.231	  0.015	  0.315
            361	  0.358	105.808	  0.009	  0.310
            362	  0.372	109.577	  0.001	  0.308
            363	  0.368	114.692	  0.005	  0.311
            364	  0.392	118.731	 -0.015	  0.305
            365	  0.384	123.308	 -0.010	  0.305
            366	  0.404	127.077	 -0.009	  0.303
            367	  0.402	130.308	 -0.015	  0.303
            368	  0.400	133.808	 -0.013	  0.298
            369	  0.384	137.308	 -0.017	  0.299
            370	  0.384	140.269	 -0.033	  0.296
            371	  0.352	142.423	 -0.018	  0.295
            372	  0.358	144.577	 -0.025	  0.294
            373	  0.346	146.731	 -0.008	  0.292
            374	  0.328	147.538	 -0.005	  0.291
            375	  0.322	149.692	 -0.011	  0.287
            376	  0.306	150.231	  0.005	  0.288
            377	  0.294	149.961	  0.003	  0.288
            378	  0.288	149.423	  0.010	  0.286
            379	  0.248	149.692	  0.014	  0.282
            380	  0.240	149.154	  0.023	  0.282
            381	  0.224	148.346	  0.011	  0.279
            382	  0.198	148.077	  0.028	  0.276
            383	  0.168	147.000	  0.024	  0.277
            384	  0.150	145.384	  0.014	  0.274
            385	  0.120	144.308	 -0.000	  0.272
            386	  0.080	141.884	 -0.003	  0.273
            387	  0.072	141.077	  0.011	  0.269
            388	  0.044	140.269	  0.001	  0.272
            389	  0.020	138.923	  0.008	  0.266
            390	 -0.008	137.846	  0.006	  0.267
            391	 -0.028	136.769	 -0.005	  0.260
            392	 -0.040	135.154	 -0.006	  0.261
            393	 -0.048	134.077	 -0.010	  0.257
            394	 -0.052	133.000	 -0.018	  0.262
            395	 -0.064	131.923	  0.000	  0.258
            396	 -0.062	130.308	 -0.021	  0.257
            397	 -0.068	128.961	 -0.010	  0.258
            398	 -0.082	127.884	 -0.011	  0.252
            399	 -0.072	126.538	 -0.001	  0.256
            400	 -0.072	125.461	 -0.014	  0.259
            401	 -0.062	124.384	 -0.005	  0.253
            402	 -0.070	123.038	  0.008	  0.249
            403	 -0.054	121.692	  0.011	  0.250
            404	 -0.060	121.154	  0.016	  0.250
            405	 -0.038	120.615	  0.014	  0.249
            406	 -0.044	119.000	  0.019	  0.247
            407	 -0.034	117.115	  0.018	  0.248
            408	 -0.034	116.038	  0.014	  0.247
            409	 -0.024	115.231	  0.019	  0.247
            410	 -0.032	113.346	  0.004	  0.246
            411	 -0.030	112.269	  0.012	  0.244
            412	 -0.004	109.846	 -0.002	  0.241
            413	 -0.016	109.038	 -0.001	  0.240
            414	 -0.004	107.154	 -0.001	  0.241
            415	  0.012	105.808	 -0.003	  0.239
            416	 -0.006	105.000	 -0.008	  0.238
            417	  0.002	103.654	  0.004	  0.238
            418	 -0.006	101.769	  0.010	  0.238
            419	 -0.002	100.154	  0.008	  0.235
            420	  0.004	 98.538	 -0.006	  0.238
            421	 -0.000	 98.269	 -0.015	  0.237
            422	 -0.006	 96.654	 -0.008	  0.234
            423	 -0.006	 95.038	 -0.015	  0.234
            424	 -0.006	 93.961	 -0.017	  0.232
            425	 -0.000	 93.423	 -0.004	  0.234
            426	 -0.000	 93.154	 -0.004	  0.234
            427	 -0.014	 92.077	 -0.002	  0.233
            428	 -0.014	 90.731	  0.016	  0.231
            429	 -0.022	 91.269	  0.001	  0.230
            430	 -0.024	 90.731	  0.007	  0.230
            431	 -0.016	 91.000	  0.007	  0.230
            432	 -0.014	 90.461	  0.010	  0.229
            433	 -0.026	 90.731	  0.010	  0.227
            434	 -0.012	 90.731	 -0.000	  0.227
            435	 -0.024	 90.731	  0.011	  0.228
            436	 -0.000	 90.461	 -0.000	  0.224
            437	 -0.002	 91.000	  0.024	  0.223
            438	  0.002	 91.269	  0.016	  0.223
            439	  0.008	 91.538	  0.010	  0.222
            440	  0.010	 91.538	  0.010	  0.219
            441	  0.018	 91.808	  0.008	  0.217
            442	  0.038	 92.077	 -0.003	  0.219
            443	  0.064	 92.615	 -0.003	  0.222
            444	  0.080	 92.615	  0.014	  0.215
            445	  0.096	 93.154	 -0.013	  0.213
            446	  0.108	 93.154	 -0.002	  0.216
            447	  0.096	 93.423	  0.000	  0.215
            448	  0.112	 93.154	 -0.004	  0.213
            449	  0.114	 94.231	 -0.003	  0.212
            450	  0.120	 94.500	 -0.008	  0.212
            451	  0.128	 93.692	 -0.017	  0.210
            452	  0.118	 94.231	 -0.003	  0.209
            453	  0.078	 93.423	  0.003	  0.209
            454	  0.050	 94.231	  0.006	  0.210
            455	  0.008	 94.231	 -0.002	  0.209
            456	 -0.010	 94.231	  0.006	  0.205
            457	 -0.030	 94.769	  0.004	  0.202
            458	 -0.032	 95.038	  0.020	  0.202
            459	 -0.030	 94.231	  0.020	  0.201
            460	 -0.056	 94.231	  0.001	  0.201
            461	 -0.056	 93.961	  0.008	  0.200
            462	 -0.048	 93.961	  0.004	  0.199
            463	 -0.064	 94.231	  0.006	  0.199
            464	 -0.058	 93.961	 -0.006	  0.196
            465	 -0.074	 93.961	  0.010	  0.196
            466	 -0.064	 92.615	  0.010	  0.197
            467	 -0.062	 92.885	  0.009	  0.198
            468	 -0.062	 92.346	 -0.002	  0.197
            469	 -0.048	 91.808	 -0.005	  0.198
            470	 -0.058	 91.808	 -0.019	  0.196
            471	 -0.040	 91.269	 -0.004	  0.194
            472	 -0.058	 91.808	 -0.008	  0.193
            473	 -0.048	 90.731	 -0.000	  0.189
            474	 -0.052	 89.923	  0.010	  0.190
            475	 -0.050	 90.461	  0.002	  0.191
            476	 -0.050	 90.192	 -0.001	  0.189
            477	 -0.036	 89.654	  0.009	  0.190
            478	 -0.036	 88.846	 -0.001	  0.190
            479	 -0.038	 89.385	 -0.002	  0.189
            480	 -0.012	 88.577	 -0.003	  0.185
            481	 -0.000	 88.308	 -0.018	  0.185
            482	  0.012	 88.308	 -0.005	  0.183
            483	  0.058	 88.846	  0.005	  0.183
            484	  0.150	 87.500	  0.005	  0.182
            485	  0.280	 86.961	  0.012	  0.181
            486	  0.468	 86.692	  0.024	  0.180
            487	  0.784	 86.423	  0.014	  0.180
            488	  0.968	 86.154	  0.016	  0.180
            489	  0.816	 86.154	  0.020	  0.178
            490	  0.630	 85.885	  0.017	  0.177
            491	  0.240	 85.077	  0.017	  0.177
            492	 -0.196	 85.077	  0.004	  0.176
            493	 -0.454	 85.077	  0.013	  0.177
            494	 -0.648	 84.538	  0.004	  0.174
            495	 -0.854	 84.808	 -0.009	  0.174
            496	 -0.854	 84.269	  0.003	  0.173
            497	 -0.766	 84.000	 -0.006	  0.172
            498	 -0.562	 83.461	 -0.003	  0.173
            499	 -0.356	 82.385	  0.005	  0.169
            500	 -0.172	 83.461	 -0.004	  0.167
            501	 -0.080	 83.192	 -0.006	  0.167
            502	  0.020	 82.654	 -0.004	  0.167
            503	  0.072	 82.923	 -0.014	  0.165
            504	  0.078	 81.846	 -0.007	  0.166
            505	  0.102	 81.308	 -0.004	  0.166
            506	  0.096	 80.769	 -0.026	  0.164
            507	  0.114	 80.231	  0.001	  0.166
            508	  0.110	 80.769	 -0.000	  0.165
            509	  0.120	 79.692	  0.010	  0.165
            510	  0.128	 79.692	  0.007	  0.164
            511	  0.146	 79.154	 -0.012	  0.164
            512	  0.144	 79.154	  0.005	  0.164
            513	  0.152	 78.615	 -0.002	  0.164
            514	  0.150	 78.077	  0.020	  0.162
            515	  0.150	 78.077	  0.018	  0.159
            516	  0.158	 78.346	  0.018	  0.159
            517	  0.168	 78.077	  0.009	  0.157
            518	  0.176	 77.808	  0.015	  0.156
            519	  0.184	 78.346	  0.012	  0.160
            520	  0.182	 76.731	  0.002	  0.159
            521	  0.182	 76.731	 -0.001	  0.154
            522	  0.190	 76.461	 -0.003	  0.157
            523	  0.196	 76.192	 -0.010	  0.154
            524	  0.202	 76.192	 -0.002	  0.155
            525	  0.200	 77.000	 -0.006	  0.154
            526	  0.212	 75.923	 -0.010	  0.154
            527	  0.224	 75.923	 -0.008	  0.152
            528	  0.220	 75.923	  0.001	  0.152
            529	  0.228	 76.192	  0.010	  0.150
            530	  0.240	 76.461	  0.000	  0.149
            531	  0.238	 76.461	  0.013	  0.148
            532	  0.244	 77.000	  0.010	  0.148
            533	  0.250	 77.538	  0.010	  0.148
            534	  0.272	 79.154	  0.013	  0.144
            535	  0.284	 80.769	 -0.004	  0.147
            536	  0.298	 83.461	  0.015	  0.148
            537	  0.308	 86.423	  0.007	  0.144
            538	  0.320	 89.923	  0.009	  0.146
            539	  0.308	 93.961	  0.005	  0.143
            540	  0.342	 98.269	  0.013	  0.144
            541	  0.344	102.577	  0.016	  0.144
            542	  0.366	107.692	  0.009	  0.144
            543	  0.368	111.461	  0.008	  0.140
            544	  0.376	116.846	  0.001	  0.139
            545	  0.382	120.884	  0.003	  0.138
            546	  0.390	125.461	 -0.003	  0.137
            547	  0.398	129.769	  0.004	  0.134
            548	  0.400	134.077	  0.007	  0.132
            549	  0.398	137.038	  0.003	  0.130
            550	  0.378	140.538	 -0.003	  0.130
            551	  0.384	142.961	 -0.019	  0.127
            552	  0.372	145.654	 -0.008	  0.124
            553	  0.376	147.000	  0.004	  0.125
            554	  0.346	149.154	  0.001	  0.122
            555	  0.336	150.231	 -0.000	  0.121
            556	  0.324	151.577	  0.008	  0.119
            557	  0.302	152.384	  0.001	  0.118
            558	  0.286	153.192	  0.000	  0.116
            559	  0.264	153.192	  0.002	  0.116
            560	  0.258	152.115	 -0.003	  0.115
            561	  0.230	152.384	  0.000	  0.115
            562	  0.232	151.308	 -0.004	  0.112
            563	  0.198	150.769	 -0.018	  0.112
            564	  0.166	150.231	  0.015	  0.110
            565	  0.128	149.154	 -0.005	  0.109
            566	  0.112	147.269	  0.015	  0.109
            567	  0.074	145.923	  0.020	  0.108
            568	  0.042	144.308	  0.012	  0.106
            569	  0.020	143.231	  0.007	  0.107
            570	  0.008	141.615	  0.010	  0.104
            571	 -0.006	140.808	  0.000	  0.106
            572	 -0.032	140.269	 -0.001	  0.104
            573	 -0.038	139.461	  0.004	  0.105
            574	 -0.040	138.115	  0.004	  0.103
            575	 -0.050	136.769	 -0.003	  0.103
            576	 -0.052	135.692	 -0.001	  0.099
            577	 -0.070	134.346	  0.009	  0.100
            578	 -0.064	133.269	  0.001	  0.100
            579	 -0.084	132.461	  0.011	  0.101
            580	 -0.072	131.115	  0.016	  0.100
            581	 -0.064	129.769	  0.004	  0.100
            582	 -0.066	129.231	 -0.002	  0.100
            583	 -0.066	127.884	  0.009	  0.097
            584	 -0.064	126.538	 -0.003	  0.100
            585	 -0.050	125.731	 -0.008	  0.099
            586	 -0.040	124.384	 -0.002	  0.100
            587	 -0.024	123.846	 -0.004	  0.100
            588	 -0.024	122.231	 -0.000	  0.098
            589	 -0.022	120.884	  0.002	  0.097
            590	 -0.024	120.077	  0.000	  0.097
