sample interval	    ECG	     BP	(C3-O1)	(nasal)
            115	 -0.132	105.298	  0.016	 -0.351
            116	 -0.142	104.255	  0.015	 -0.352
            117	 -0.146	103.362	  0.015	 -0.349
            118	 -0.160	102.766	  0.010	 -0.349
            119	 -0.128	101.872	  0.014	 -0.352
            120	 -0.164	100.830	  0.013	 -0.351
            121	 -0.146	100.085	  0.012	 -0.352
            122	 -0.124	 98.894	  0.012	 -0.350
            123	 -0.160	 98.447	  0.008	 -0.347
            124	 -0.132	 97.851	  0.013	 -0.349
            125	 -0.184	 97.255	  0.014	 -0.344
            126	 -0.134	 96.213	  0.013	 -0.344
            127	 -0.160	 96.064	  0.012	 -0.347
            128	 -0.144	 95.617	  0.014	 -0.343
            129	 -0.136	 95.170	  0.016	 -0.347
            130	 -0.142	 94.574	  0.021	 -0.347
            131	 -0.170	 94.277	  0.018	 -0.345
            132	 -0.128	 93.681	  0.019	 -0.345
            133	 -0.138	 93.234	  0.016	 -0.343
            134	 -0.128	 92.936	  0.016	 -0.338
            135	 -0.120	 92.489	  0.017	 -0.340
            136	 -0.106	 92.489	  0.015	 -0.336
            137	 -0.104	 91.894	  0.019	 -0.335
            138	 -0.100	 92.191	  0.017	 -0.336
            139	 -0.080	 92.191	  0.016	 -0.334
            140	 -0.086	 92.042	  0.017	 -0.334
            141	 -0.088	 91.745	  0.011	 -0.329
            142	 -0.092	 92.191	  0.011	 -0.330
            143	 -0.062	 91.894	  0.012	 -0.327
            144	 -0.070	 91.894	  0.011	 -0.324
            145	 -0.058	 91.894	  0.012	 -0.323
            146	 -0.008	 91.894	  0.013	 -0.318
            147	  0.024	 91.894	  0.012	 -0.317
            148	  0.058	 91.894	  0.009	 -0.312
            149	  0.064	 91.894	  0.016	 -0.311
            150	  0.080	 91.745	  0.008	 -0.308
            151	  0.064	 91.596	  0.016	 -0.303
            152	  0.112	 91.596	  0.014	 -0.303
            153	  0.064	 91.596	  0.019	 -0.296
            154	  0.066	 91.298	  0.016	 -0.295
            155	  0.022	 91.298	  0.019	 -0.291
            156	 -0.040	 91.298	  0.017	 -0.283
            157	 -0.076	 91.298	  0.019	 -0.278
            158	 -0.128	 91.000	  0.007	 -0.276
            159	 -0.140	 91.149	  0.018	 -0.271
            160	 -0.124	 91.298	  0.008	 -0.264
            161	 -0.146	 91.298	  0.010	 -0.255
            162	 -0.158	 91.149	  0.007	 -0.247
            163	 -0.172	 91.000	  0.007	 -0.238
            164	 -0.162	 90.851	  0.010	 -0.228
            165	 -0.212	 91.000	  0.014	 -0.222
            166	 -0.176	 90.702	  0.008	 -0.213
            167	 -0.172	 90.553	  0.012	 -0.206
            168	 -0.184	 90.404	  0.011	 -0.195
            169	 -0.160	 90.106	  0.011	 -0.190
            170	 -0.176	 89.808	  0.015	 -0.177
            171	 -0.178	 89.213	  0.022	 -0.170
            172	 -0.180	 89.064	  0.015	 -0.163
            173	 -0.224	 88.915	  0.013	 -0.153
            174	 -0.170	 88.319	  0.011	 -0.146
            175	 -0.174	 88.170	  0.008	 -0.138
            176	 -0.166	 87.574	  0.008	 -0.132
            177	 -0.172	 87.574	  0.005	 -0.124
            178	 -0.136	 87.574	  0.005	 -0.115
            179	 -0.166	 86.979	  0.002	 -0.112
            180	 -0.132	 86.532	  0.008	 -0.102
            181	 -0.134	 87.128	  0.008	 -0.099
            182	 -0.184	 86.234	  0.010	 -0.091
            183	 -0.154	 86.234	  0.012	 -0.086
            184	 -0.206	 85.638	  0.014	 -0.079
            185	 -0.142	 85.936	  0.018	 -0.075
            186	 -0.090	 85.638	  0.021	 -0.069
            187	  0.074	 85.340	  0.017	 -0.063
            188	  0.264	 85.340	  0.020	 -0.058
            189	  0.628	 85.042	  0.020	 -0.052
            190	  0.952	 85.191	  0.019	 -0.047
            191	  1.304	 84.596	  0.008	 -0.041
            192	  1.448	 84.149	  0.008	 -0.037
            193	  1.322	 84.149	  0.000	 -0.032
            194	  0.880	 84.149	 -0.001	 -0.032
            195	  0.320	 83.702	  0.000	 -0.023
            196	 -0.226	 83.553	  0.001	 -0.017
            197	 -0.530	 83.106	  0.004	 -0.012
            198	 -0.642	 83.255	  0.001	 -0.010
            199	 -0.668	 83.106	  0.010	 -0.004
            200	 -0.612	 82.660	  0.003	 -0.000
            201	 -0.496	 82.660	  0.006	  0.001
            202	 -0.364	 82.660	  0.002	  0.005
            203	 -0.262	 82.213	  0.005	  0.010
            204	 -0.192	 82.213	  0.001	  0.013
            205	 -0.180	 81.766	  0.008	  0.020
            206	 -0.162	 81.617	  0.004	  0.019
            207	 -0.144	 81.319	  0.006	  0.022
            208	 -0.144	 81.319	  0.002	  0.029
            209	 -0.128	 81.170	  0.009	  0.029
            210	 -0.112	 81.021	  0.001	  0.033
            211	 -0.094	 80.574	  0.007	  0.039
            212	 -0.070	 80.574	  0.010	  0.038
            213	 -0.090	 80.723	  0.018	  0.042
            214	 -0.078	 80.574	  0.018	  0.044
            215	 -0.044	 80.574	  0.023	  0.049
            216	 -0.072	 80.277	  0.016	  0.049
            217	 -0.032	 80.128	  0.017	  0.055
            218	 -0.062	 79.681	  0.013	  0.054
            219	 -0.056	 79.979	  0.012	  0.058
            220	 -0.046	 79.234	  0.010	  0.062
            221	 -0.004	 79.234	  0.007	  0.063
            222	 -0.016	 79.383	  0.005	  0.064
            223	 -0.004	 79.383	 -0.002	  0.068
            224	 -0.000	 78.787	  0.005	  0.069
            225	  0.012	 78.787	 -0.008	  0.071
            226	  0.020	 78.787	 -0.005	  0.072
            227	  0.040	 78.787	 -0.008	  0.076
            228	  0.062	 79.085	 -0.002	  0.079
            229	  0.068	 79.681	 -0.008	  0.078
            230	  0.096	 80.872	  0.005	  0.081
            231	  0.068	 81.915	  0.002	  0.083
            232	  0.112	 83.553	  0.006	  0.086
            233	  0.114	 85.489	  0.010	  0.086
            234	  0.128	 87.723	  0.012	  0.090
            235	  0.116	 89.660	  0.011	  0.091
            236	  0.154	 91.894	  0.014	  0.093
            237	  0.172	 93.979	  0.011	  0.095
            238	  0.236	 96.213	  0.008	  0.096
            239	  0.212	 98.596	  0.010	  0.097
            240	  0.216	101.425	  0.003	  0.100
            241	  0.226	104.106	  0.002	  0.102
            242	  0.258	106.787	  0.002	  0.104
            243	  0.250	109.915	  0.004	  0.104
            244	  0.264	113.042	 -0.000	  0.107
            245	  0.278	115.574	  0.001	  0.104
            246	  0.300	118.106	  0.003	  0.108
            247	  0.296	120.340	 -0.001	  0.109
            248	  0.288	122.574	  0.005	  0.110
            249	  0.286	124.659	  0.005	  0.110
            250	  0.290	126.745	  0.010	  0.114
            251	  0.280	128.830	  0.015	  0.114
            252	  0.256	130.319	  0.011	  0.113
            253	  0.264	130.617	  0.011	  0.117
            254	  0.246	131.659	  0.005	  0.117
            255	  0.202	131.957	  0.009	  0.118
            256	  0.168	132.404	 -0.003	  0.118
            257	  0.142	132.404	  0.001	  0.118
            258	  0.108	132.106	 -0.009	  0.121
            259	  0.054	131.213	 -0.001	  0.121
            260	  0.024	131.064	 -0.005	  0.122
            261	 -0.024	130.170	  0.003	  0.123
            262	 -0.084	130.021	 -0.000	  0.121
            263	 -0.118	128.383	  0.002	  0.124
            264	 -0.148	127.489	  0.000	  0.126
            265	 -0.164	126.596	 -0.001	  0.128
            266	 -0.184	125.553	 -0.000	  0.133
            267	 -0.170	124.064	 -0.000	  0.133
            268	 -0.182	122.872	  0.002	  0.130
            269	 -0.192	121.830	  0.006	  0.128
            270	 -0.180	120.489	  0.007	  0.130
            271	 -0.196	119.447	  0.007	  0.132
            272	 -0.192	118.404	  0.005	  0.132
            273	 -0.190	117.511	  0.001	  0.130
            274	 -0.194	116.170	  0.001	  0.132
            275	 -0.182	114.979	  0.003	  0.135
            276	 -0.188	113.489	 -0.005	  0.134
            277	 -0.188	112.447	 -0.000	  0.136
            278	 -0.176	111.106	  0.000	  0.138
            279	 -0.152	110.362	 -0.001	  0.138
            280	 -0.160	109.021	  0.005	  0.141
            281	 -0.166	107.979	  0.008	  0.139
            282	 -0.152	106.489	  0.005	  0.143
            283	 -0.174	105.596	  0.008	  0.143
            284	 -0.132	104.702	  0.007	  0.141
            285	 -0.150	103.957	  0.009	  0.141
            286	 -0.150	102.617	  0.007	  0.143
            287	 -0.174	101.425	 -0.005	  0.143
            288	 -0.152	100.234	 -0.002	  0.144
            289	 -0.142	 99.340	 -0.004	  0.145
            290	 -0.140	 98.596	 -0.007	  0.147
            291	 -0.120	 97.404	 -0.006	  0.147
            292	 -0.148	 96.660	 -0.010	  0.148
            293	 -0.124	 96.064	 -0.005	  0.147
            294	 -0.176	 95.319	 -0.007	  0.148
            295	 -0.140	 94.574	  0.004	  0.151
            296	 -0.168	 93.979	  0.006	  0.150
            297	 -0.132	 93.532	  0.012	  0.150
            298	 -0.148	 93.085	  0.007	  0.148
            299	 -0.108	 92.489	  0.013	  0.148
            300	 -0.144	 92.042	  0.012	  0.148
            301	 -0.152	 91.447	  0.016	  0.147
            302	 -0.160	 91.596	  0.015	  0.147
            303	 -0.146	 91.000	  0.022	  0.149
            304	 -0.140	 91.149	  0.017	  0.147
            305	 -0.122	 90.553	  0.019	  0.150
            306	 -0.144	 90.553	  0.016	  0.149
            307	 -0.128	 90.106	  0.018	  0.152
            308	 -0.128	 89.808	  0.010	  0.153
            309	 -0.090	 89.957	  0.004	  0.153
            310	 -0.080	 89.808	  0.006	  0.152
            311	 -0.080	 90.106	  0.004	  0.151
            312	 -0.088	 90.106	  0.002	  0.150
            313	 -0.094	 90.404	  0.004	  0.149
            314	 -0.048	 90.106	  0.005	  0.150
            315	 -0.056	 90.553	  0.003	  0.153
            316	 -0.022	 90.106	  0.011	  0.153
            317	  0.032	 90.404	  0.013	  0.153
            318	  0.024	 90.404	  0.013	  0.153
            319	  0.088	 90.255	  0.015	  0.154
            320	  0.068	 90.255	  0.012	  0.153
            321	  0.024	 90.255	  0.014	  0.156
            322	  0.054	 90.553	  0.010	  0.153
            323	  0.048	 90.553	  0.008	  0.153
            324	  0.048	 90.553	  0.011	  0.156
            325	 -0.022	 90.553	  0.011	  0.153
            326	 -0.028	 90.702	  0.009	  0.153
            327	 -0.094	 90.553	  0.011	  0.153
            328	 -0.102	 91.000	  0.014	  0.154
            329	 -0.146	 90.106	  0.013	  0.156
            330	 -0.154	 90.255	  0.018	  0.156
            331	 -0.146	 90.106	  0.021	  0.156
            332	 -0.172	 90.106	  0.023	  0.156
            333	 -0.136	 90.106	  0.017	  0.156
            334	 -0.158	 89.511	  0.021	  0.157
            335	 -0.174	 89.660	  0.015	  0.157
            336	 -0.142	 89.511	  0.012	  0.156
            337	 -0.180	 89.213	  0.014	  0.156
            338	 -0.172	 89.511	  0.009	  0.154
            339	 -0.192	 88.915	  0.009	  0.156
            340	 -0.178	 88.915	  0.004	  0.156
            341	 -0.174	 88.766	 -0.001	  0.153
            342	 -0.172	 88.319	 -0.001	  0.153
            343	 -0.178	 88.617	 -0.006	  0.153
            344	 -0.176	 88.021	 -0.009	  0.154
            345	 -0.172	 87.872	 -0.006	  0.153
            346	 -0.164	 87.128	 -0.006	  0.157
            347	 -0.168	 86.681	 -0.003	  0.156
            348	 -0.152	 87.128	 -0.004	  0.155
            349	 -0.128	 86.532	  0.001	  0.156
            350	 -0.138	 86.532	  0.002	  0.156
            351	 -0.136	 85.936	  0.010	  0.156
            352	 -0.148	 86.234	  0.013	  0.156
            353	 -0.166	 86.085	  0.015	  0.155
            354	 -0.174	 85.787	  0.008	  0.154
            355	 -0.170	 85.340	  0.013	  0.156
            356	 -0.120	 85.042	  0.005	  0.156
            357	  0.060	 84.745	  0.009	  0.153
            358	  0.230	 84.745	  0.013	  0.155
            359	  0.544	 84.596	  0.017	  0.153
            360	  0.926	 84.596	  0.018	  0.151
            361	  1.238	 84.149	  0.022	  0.153
            362	  1.392	 84.000	  0.016	  0.153
            363	  1.278	 83.553	  0.022	  0.153
            364	  0.824	 83.702	  0.018	  0.153
            365	  0.300	 83.255	  0.015	  0.154
            366	 -0.214	 82.957	  0.014	  0.154
            367	 -0.548	 82.957	  0.015	  0.151
            368	 -0.632	 82.957	  0.009	  0.152
            369	 -0.632	 83.106	  0.008	  0.152
            370	 -0.576	 82.511	  0.009	  0.151
            371	 -0.484	 82.511	  0.002	  0.151
            372	 -0.374	 82.362	  0.007	  0.150
            373	 -0.256	 82.362	  0.004	  0.150
            374	 -0.208	 82.064	  0.006	  0.151
            375	 -0.152	 81.915	  0.005	  0.151
            376	 -0.126	 81.468	  0.012	  0.151
            377	 -0.136	 81.617	  0.009	  0.150
            378	 -0.100	 81.617	  0.009	  0.147
            379	 -0.098	 81.319	  0.002	  0.147
            380	 -0.082	 81.170	  0.003	  0.147
            381	 -0.100	 81.170	  0.002	  0.147
            382	 -0.068	 81.021	  0.008	  0.149
            383	 -0.068	 80.723	  0.008	  0.147
            384	 -0.056	 81.021	  0.011	  0.146
            385	 -0.040	 80.872	  0.012	  0.144
            386	 -0.064	 81.021	  0.016	  0.145
            387	 -0.038	 80.723	  0.007	  0.144
            388	 -0.030	 79.979	  0.014	  0.145
            389	 -0.024	 80.277	  0.011	  0.143
            390	 -0.002	 79.979	  0.004	  0.145
            391	 -0.032	 79.979	  0.011	  0.142
            392	 -0.014	 79.830	  0.008	  0.141
            393	 -0.000	 79.681	  0.013	  0.141
            394	  0.012	 79.383	  0.007	  0.139
            395	  0.008	 79.234	  0.013	  0.140
            396	  0.014	 79.383	  0.011	  0.140
            397	  0.030	 79.383	  0.007	  0.138
            398	  0.048	 79.383	  0.005	  0.138
            399	  0.064	 79.979	  0.005	  0.137
            400	  0.080	 80.872	  0.005	  0.135
            401	  0.082	 81.915	  0.005	  0.136
            402	  0.088	 83.702	  0.004	  0.134
            403	  0.120	 85.489	  0.007	  0.133
            404	  0.118	 88.021	  0.009	  0.135
            405	  0.132	 90.553	  0.009	  0.133
            406	  0.138	 92.638	  0.006	  0.130
            407	  0.144	 95.319	  0.007	  0.130
            408	  0.172	 97.404	  0.005	  0.130
            409	  0.200	 99.638	  0.005	  0.130
            410	  0.216	102.468	  0.013	  0.128
            411	  0.204	105.000	  0.011	  0.128
            412	  0.240	107.979	  0.014	  0.130
            413	  0.252	110.511	  0.015	  0.125
            414	  0.274	113.936	  0.017	  0.125
            415	  0.264	116.319	  0.005	  0.125
            416	  0.280	118.851	  0.013	  0.124
            417	  0.272	121.532	  0.009	  0.121
            418	  0.280	123.915	  0.011	  0.121
            419	  0.280	125.851	  0.003	  0.120
            420	  0.280	127.638	  0.007	  0.120
            421	  0.268	129.277	  0.002	  0.115
            422	  0.280	130.468	  0.002	  0.115
            423	  0.256	131.808	 -0.001	  0.111
            424	  0.266	132.404	  0.002	  0.109
            425	  0.190	132.702	  0.005	  0.109
            426	  0.188	132.553	  0.002	  0.107
            427	  0.102	132.553	  0.007	  0.106
            428	  0.072	132.106	  0.009	  0.104
            429	  0.046	131.808	  0.007	  0.106
            430	  0.008	130.617	  0.005	  0.103
            431	 -0.040	129.723	  0.001	  0.103
            432	 -0.074	128.383	  0.007	  0.099
            433	 -0.106	127.638	 -0.005	  0.096
            434	 -0.120	126.447	  0.005	  0.097
            435	 -0.148	125.404	 -0.000	  0.093
            436	 -0.146	123.766	 -0.000	  0.091
            437	 -0.190	122.872	  0.005	  0.091
            438	 -0.180	121.383	  0.005	  0.088
            439	 -0.168	119.894	  0.010	  0.084
            440	 -0.176	118.851	  0.010	  0.084
            441	 -0.166	117.808	  0.011	  0.078
            442	 -0.192	116.319	  0.013	  0.075
            443	 -0.180	114.681	  0.011	  0.071
            444	 -0.176	113.638	  0.006	  0.065
            445	 -0.178	112.745	  0.013	  0.061
            446	 -0.176	111.702	  0.011	  0.057
            447	 -0.190	109.915	  0.012	  0.052
            448	 -0.182	108.872	  0.012	  0.049
            449	 -0.176	107.979	  0.011	  0.044
            450	 -0.168	107.085	  0.012	  0.042
            451	 -0.152	105.894	  0.011	  0.035
            452	 -0.134	104.851	  0.009	  0.032
            453	 -0.146	103.660	  0.005	  0.029
            454	 -0.130	102.468	  0.000	  0.021
            455	 -0.156	101.128	  0.001	  0.017
            456	 -0.132	100.383	 -0.002	  0.014
            457	 -0.138	 99.489	  0.003	  0.009
            458	 -0.136	 98.447	  0.006	  0.004
            459	 -0.128	 97.255	  0.012	  0.001
            460	 -0.126	 96.362	  0.014	 -0.003
            461	 -0.118	 95.915	  0.008	 -0.006
            462	 -0.152	 95.021	  0.009	 -0.011
            463	 -0.108	 94.277	  0.003	 -0.014
            464	 -0.132	 94.128	  0.003	 -0.022
            465	 -0.140	 93.532	  0.001	 -0.023
            466	 -0.124	 92.936	  0.006	 -0.029
            467	 -0.144	 92.787	  0.000	 -0.035
            468	 -0.128	 91.894	  0.006	 -0.038
            469	 -0.116	 92.042	 -0.003	 -0.045
            470	 -0.128	 91.298	  0.004	 -0.050
            471	 -0.128	 91.298	  0.001	 -0.055
            472	 -0.146	 90.851	  0.007	 -0.058
            473	 -0.136	 90.851	  0.008	 -0.064
            474	 -0.138	 90.404	  0.006	 -0.068
            475	 -0.116	 90.106	  0.006	 -0.075
            476	 -0.116	 90.106	  0.004	 -0.079
            477	 -0.108	 90.106	  0.013	 -0.084
            478	 -0.088	 90.106	  0.007	 -0.088
            479	 -0.072	 90.404	  0.009	 -0.092
            480	 -0.070	 90.106	  0.011	 -0.095
            481	 -0.076	 90.702	  0.011	 -0.103
            482	 -0.054	 90.702	  0.014	 -0.107
            483	 -0.070	 90.553	  0.010	 -0.110
            484	 -0.040	 90.553	  0.008	 -0.117
            485	 -0.004	 90.702	  0.008	 -0.121
            486	  0.018	 90.702	  0.004	 -0.122
            487	  0.056	 90.553	  0.005	 -0.128
            488	  0.062	 91.000	  0.001	 -0.133
            489	  0.070	 90.702	  0.005	 -0.134
            490	  0.062	 91.298	 -0.003	 -0.140
            491	  0.060	 91.298	  0.006	 -0.146
            492	  0.050	 91.298	 -0.000	 -0.151
            493	  0.032	 91.596	  0.006	 -0.156
            494	 -0.006	 91.894	  0.006	 -0.159
            495	 -0.040	 91.447	  0.009	 -0.161
            496	 -0.092	 91.447	  0.003	 -0.161
            497	 -0.114	 91.149	  0.004	 -0.169
            498	 -0.140	 91.745	  0.002	 -0.171
            499	 -0.128	 90.851	  0.007	 -0.172
            500	 -0.148	 91.298	  0.010	 -0.179
            501	 -0.136	 90.851	  0.007	 -0.181
            502	 -0.178	 91.149	  0.011	 -0.185
            503	 -0.164	 90.851	  0.009	 -0.190
            504	 -0.176	 90.702	  0.011	 -0.190
            505	 -0.168	 90.702	  0.010	 -0.193
            506	 -0.176	 90.404	  0.007	 -0.196
            507	 -0.178	 89.957	  0.007	 -0.195
            508	 -0.160	 89.660	  0.006	 -0.199
            509	 -0.160	 89.511	  0.004	 -0.198
            510	 -0.170	 89.362	  0.012	 -0.202
            511	 -0.152	 88.915	  0.006	 -0.199
            512	 -0.154	 88.915	  0.007	 -0.206
            513	 -0.158	 88.170	  0.012	 -0.207
            514	 -0.156	 88.021	  0.010	 -0.213
            515	 -0.138	 87.723	  0.013	 -0.211
            516	 -0.166	 87.574	  0.014	 -0.218
            517	 -0.144	 87.574	  0.014	 -0.221
            518	 -0.136	 87.128	  0.015	 -0.222
            519	 -0.140	 87.128	  0.012	 -0.228
            520	 -0.146	 86.681	  0.016	 -0.230
            521	 -0.152	 86.234	  0.012	 -0.233
            522	 -0.208	 85.936	  0.014	 -0.241
            523	 -0.170	 85.936	  0.013	 -0.244
            524	 -0.126	 85.638	  0.016	 -0.245
            525	 -0.052	 85.489	  0.020	 -0.249
            526	  0.134	 85.340	  0.019	 -0.254
            527	  0.320	 85.340	  0.023	 -0.259
            528	  0.676	 84.894	  0.025	 -0.261
            529	  0.992	 84.894	  0.023	 -0.263
            530	  1.288	 84.745	  0.024	 -0.265
            531	  1.348	 84.745	  0.022	 -0.268
            532	  1.122	 84.447	  0.018	 -0.271
            533	  0.682	 84.596	  0.015	 -0.273
            534	  0.184	 84.298	  0.012	 -0.275
            535	 -0.268	 84.000	  0.010	 -0.277
            536	 -0.568	 83.553	  0.005	 -0.276
            537	 -0.608	 83.553	  0.008	 -0.280
            538	 -0.624	 83.255	  0.002	 -0.280
            539	 -0.544	 82.957	  0.007	 -0.283
            540	 -0.420	 83.106	 -0.000	 -0.285
            541	 -0.312	 82.660	  0.007	 -0.288
            542	 -0.232	 82.808	  0.007	 -0.291
            543	 -0.178	 82.362	  0.013	 -0.293
            544	 -0.144	 82.362	  0.010	 -0.294
            545	 -0.136	 81.915	  0.010	 -0.294
            546	 -0.144	 81.915	  0.007	 -0.294
            547	 -0.142	 81.766	  0.009	 -0.291
            548	 -0.120	 81.766	  0.014	 -0.292
            549	 -0.094	 81.766	  0.017	 -0.294
            550	 -0.094	 81.915	  0.017	 -0.294
            551	 -0.086	 81.468	  0.023	 -0.287
            552	 -0.056	 81.170	  0.023	 -0.286
            553	 -0.072	 81.468	  0.024	 -0.288
            554	 -0.068	 81.617	  0.020	 -0.293
            555	 -0.074	 81.170	  0.018	 -0.294
            556	 -0.052	 81.170	  0.016	 -0.295
            557	 -0.066	 81.021	  0.010	 -0.298
            558	 -0.056	 80.574	  0.012	 -0.303
            559	 -0.040	 80.723	  0.013	 -0.303
            560	 -0.016	 80.574	  0.014	 -0.307
            561	 -0.012	 80.277	  0.011	 -0.307
            562	 -0.000	 80.128	  0.017	 -0.305
            563	  0.008	 79.979	  0.015	 -0.311
            564	  0.008	 79.979	  0.019	 -0.311
            565	  0.016	 79.979	  0.015	 -0.314
            566	  0.026	 80.128	  0.015	 -0.312
            567	  0.052	 80.425	  0.015	 -0.317
            568	  0.032	 80.723	  0.013	 -0.316
            569	  0.078	 82.362	  0.010	 -0.321
            570	  0.078	 83.404	  0.011	 -0.317
            571	  0.082	 85.191	  0.007	 -0.316
            572	  0.104	 88.021	  0.010	 -0.319
            573	  0.114	 90.255	  0.016	 -0.316
            574	  0.136	 92.489	  0.013	 -0.315
            575	  0.160	 95.021	  0.020	 -0.316
            576	  0.168	 98.000	  0.013	 -0.317
            577	  0.184	100.681	  0.018	 -0.317
