'Time and date','ECG','BP','EEG (C4-A1)','Resp (sum)'
'[02:14:00.256 20/01/1989]',0.040,64.046,0.013,-0.419
'[02:14:00.260 20/01/1989]',0.040,63.628,0.012,-0.429
'[02:14:00.264 20/01/1989]',0.040,62.581,0.014,-0.439
'[02:14:00.268 20/01/1989]',0.040,62.163,0.012,-0.445
'[02:14:00.272 20/01/1989]',0.045,62.163,0.010,-0.436
'[02:14:00.276 20/01/1989]',0.055,62.163,0.008,-0.432
'[02:14:00.280 20/01/1989]',0.040,61.535,0.004,-0.441
'[02:14:00.284 20/01/1989]',0.045,61.326,-0.002,-0.433
'[02:14:00.288 20/01/1989]',0.040,61.326,-0.005,-0.436
'[02:14:00.292 20/01/1989]',0.040,60.907,-0.006,-0.426
'[02:14:00.296 20/01/1989]',0.050,60.698,-0.011,-0.417
'[02:14:00.300 20/01/1989]',0.045,60.488,-0.017,-0.406
'[02:14:00.304 20/01/1989]',0.040,60.698,-0.019,-0.417
'[02:14:00.308 20/01/1989]',0.040,60.488,-0.021,-0.399
'[02:14:00.312 20/01/1989]',0.040,60.488,-0.022,-0.417
'[02:14:00.316 20/01/1989]',0.040,60.488,-0.024,-0.417
'[02:14:00.320 20/01/1989]',0.040,60.488,-0.025,-0.420
'[02:14:00.324 20/01/1989]',0.050,60.279,-0.025,-0.417
'[02:14:00.328 20/01/1989]',0.040,61.116,-0.027,-0.417
'[02:14:00.332 20/01/1989]',0.035,60.698,-0.027,-0.412
'[02:14:00.336 20/01/1989]',0.045,60.488,-0.027,-0.409
'[02:14:00.340 20/01/1989]',0.060,61.326,-0.028,-0.394
'[02:14:00.344 20/01/1989]',0.065,61.744,-0.029,-0.394
'[02:14:00.348 20/01/1989]',0.060,61.535,-0.027,-0.396
'[02:14:00.352 20/01/1989]',0.055,61.744,-0.023,-0.406
'[02:14:00.356 20/01/1989]',0.055,61.953,-0.026,-0.413
'[02:14:00.360 20/01/1989]',0.050,61.744,-0.027,-0.419
'[02:14:00.364 20/01/1989]',0.060,62.163,-0.026,-0.429
'[02:14:00.368 20/01/1989]',0.055,63.000,-0.028,-0.433
'[02:14:00.372 20/01/1989]',0.060,63.209,-0.030,-0.426
'[02:14:00.376 20/01/1989]',0.070,63.628,-0.031,-0.416
'[02:14:00.380 20/01/1989]',0.065,63.209,-0.031,-0.425
'[02:14:00.384 20/01/1989]',0.055,63.837,-0.035,-0.414
'[02:14:00.388 20/01/1989]',0.060,64.046,-0.037,-0.416
'[02:14:00.392 20/01/1989]',0.055,63.837,-0.035,-0.403
'[02:14:00.396 20/01/1989]',0.055,64.046,-0.039,-0.400
'[02:14:00.400 20/01/1989]',0.070,64.256,-0.040,-0.399
'[02:14:00.404 20/01/1989]',0.060,64.465,-0.040,-0.414
'[02:14:00.408 20/01/1989]',0.065,64.256,-0.038,-0.414
'[02:14:00.412 20/01/1989]',0.070,64.674,-0.038,-0.433
'[02:14:00.416 20/01/1989]',0.045,64.256,-0.038,-0.435
'[02:14:00.420 20/01/1989]',0.080,64.465,-0.038,-0.445
'[02:14:00.424 20/01/1989]',0.070,64.674,-0.038,-0.429
'[02:14:00.428 20/01/1989]',0.080,64.884,-0.039,-0.423
'[02:14:00.432 20/01/1989]',0.070,64.674,-0.040,-0.417
'[02:14:00.436 20/01/1989]',0.065,63.837,-0.041,-0.423
'[02:14:00.440 20/01/1989]',0.075,64.465,-0.043,-0.414
'[02:14:00.444 20/01/1989]',0.060,64.674,-0.046,-0.412
'[02:14:00.448 20/01/1989]',0.070,64.256,-0.045,-0.401
'[02:14:00.452 20/01/1989]',0.065,64.046,-0.043,-0.404
'[02:14:00.456 20/01/1989]',0.080,64.465,-0.046,-0.400
'[02:14:00.460 20/01/1989]',0.080,63.837,-0.047,-0.401
'[02:14:00.464 20/01/1989]',0.090,63.419,-0.045,-0.407
'[02:14:00.468 20/01/1989]',0.075,63.209,-0.044,-0.412
'[02:14:00.472 20/01/1989]',0.075,63.419,-0.043,-0.417
'[02:14:00.476 20/01/1989]',0.070,62.791,-0.039,-0.417
'[02:14:00.480 20/01/1989]',0.080,62.791,-0.038,-0.419
'[02:14:00.484 20/01/1989]',0.090,62.581,-0.038,-0.404
'[02:14:00.488 20/01/1989]',0.065,63.000,-0.035,-0.400
'[02:14:00.492 20/01/1989]',0.080,62.372,-0.032,-0.384
'[02:14:00.496 20/01/1989]',0.080,62.163,-0.032,-0.386
'[02:14:00.500 20/01/1989]',0.095,61.953,-0.031,-0.383
'[02:14:00.504 20/01/1989]',0.100,61.744,-0.031,-0.399
'[02:14:00.508 20/01/1989]',0.105,61.326,-0.029,-0.394
'[02:14:00.512 20/01/1989]',0.090,60.907,-0.025,-0.419
'[02:14:00.516 20/01/1989]',0.085,60.907,-0.025,-0.409
'[02:14:00.520 20/01/1989]',0.100,60.907,-0.025,-0.410
'[02:14:00.524 20/01/1989]',0.100,60.070,-0.024,-0.404
'[02:14:00.528 20/01/1989]',0.105,59.651,-0.024,-0.401
'[02:14:00.532 20/01/1989]',0.100,59.651,-0.024,-0.387
'[02:14:00.536 20/01/1989]',0.115,59.023,-0.022,-0.388
'[02:14:00.540 20/01/1989]',0.125,58.814,-0.023,-0.380
'[02:14:00.544 20/01/1989]',0.105,58.605,-0.023,-0.384
'[02:14:00.548 20/01/1989]',0.100,59.023,-0.022,-0.377
'[02:14:00.552 20/01/1989]',0.110,58.186,-0.020,-0.386
'[02:14:00.556 20/01/1989]',0.115,57.767,-0.021,-0.390
'[02:14:00.560 20/01/1989]',0.120,57.977,-0.023,-0.393
'[02:14:00.564 20/01/1989]',0.135,57.558,-0.022,-0.404
'[02:14:00.568 20/01/1989]',0.135,57.140,-0.023,-0.410
'[02:14:00.572 20/01/1989]',0.140,56.930,-0.026,-0.407
'[02:14:00.576 20/01/1989]',0.140,56.093,-0.024,-0.400
'[02:14:00.580 20/01/1989]',0.160,55.884,-0.024,-0.393
'[02:14:00.584 20/01/1989]',0.145,56.302,-0.026,-0.390
'[02:14:00.588 20/01/1989]',0.135,55.674,-0.024,-0.380
'[02:14:00.592 20/01/1989]',0.140,55.256,-0.020,-0.367
'[02:14:00.596 20/01/1989]',0.140,55.256,-0.021,-0.370
'[02:14:00.600 20/01/1989]',0.110,55.046,-0.021,-0.362
'[02:14:00.604 20/01/1989]',0.120,54.837,-0.020,-0.383
'[02:14:00.608 20/01/1989]',0.100,54.209,-0.018,-0.383
'[02:14:00.612 20/01/1989]',0.090,54.628,-0.016,-0.388
'[02:14:00.616 20/01/1989]',0.090,54.000,-0.017,-0.383
'[02:14:00.620 20/01/1989]',0.095,54.000,-0.016,-0.386
'[02:14:00.624 20/01/1989]',0.090,53.791,-0.014,-0.378
'[02:14:00.628 20/01/1989]',0.080,53.372,-0.015,-0.390
'[02:14:00.632 20/01/1989]',0.075,53.163,-0.015,-0.374
'[02:14:00.636 20/01/1989]',0.060,52.744,-0.014,-0.365
'[02:14:00.640 20/01/1989]',0.090,52.953,-0.014,-0.365
'[02:14:00.644 20/01/1989]',0.060,52.535,-0.016,-0.358
'[02:14:00.648 20/01/1989]',0.080,52.116,-0.015,-0.365
'[02:14:00.652 20/01/1989]',0.065,52.326,-0.013,-0.354
'[02:14:00.656 20/01/1989]',0.085,52.116,-0.016,-0.365
'[02:14:00.660 20/01/1989]',0.070,52.116,-0.015,-0.365
'[02:14:00.664 20/01/1989]',0.080,50.860,-0.014,-0.368
'[02:14:00.668 20/01/1989]',0.080,51.698,-0.015,-0.371
'[02:14:00.672 20/01/1989]',0.070,51.070,-0.017,-0.375
'[02:14:00.676 20/01/1989]',0.080,51.070,-0.018,-0.354
'[02:14:00.680 20/01/1989]',0.080,50.860,-0.018,-0.365
'[02:14:00.684 20/01/1989]',0.085,50.442,-0.022,-0.342
'[02:14:00.688 20/01/1989]',0.070,50.442,-0.020,-0.358
'[02:14:00.692 20/01/1989]',0.080,50.651,-0.020,-0.339
'[02:14:00.696 20/01/1989]',0.080,49.814,-0.021,-0.354
'[02:14:00.700 20/01/1989]',0.125,50.233,-0.024,-0.343
'[02:14:00.704 20/01/1989]',0.150,49.605,-0.023,-0.371
'[02:14:00.708 20/01/1989]',0.215,49.814,-0.020,-0.359
'[02:14:00.712 20/01/1989]',0.320,48.767,-0.012,-0.371
'[02:14:00.716 20/01/1989]',0.500,49.395,-0.003,-0.370
'[02:14:00.720 20/01/1989]',0.720,49.186,0.007,-0.362
'[02:14:00.724 20/01/1989]',0.890,48.977,0.012,-0.365
'[02:14:00.728 20/01/1989]',0.950,49.186,0.012,-0.361
'[02:14:00.732 20/01/1989]',0.760,48.767,0.004,-0.343
'[02:14:00.736 20/01/1989]',0.440,48.558,-0.006,-0.336
'[02:14:00.740 20/01/1989]',0.080,48.767,-0.016,-0.341
'[02:14:00.744 20/01/1989]',-0.200,48.349,-0.025,-0.342
'[02:14:00.748 20/01/1989]',-0.320,47.930,-0.026,-0.349
'[02:14:00.752 20/01/1989]',-0.300,48.140,-0.024,-0.349
'[02:14:00.756 20/01/1989]',-0.200,48.558,-0.026,-0.361
'[02:14:00.760 20/01/1989]',-0.110,47.930,-0.026,-0.370
'[02:14:00.764 20/01/1989]',-0.040,47.302,-0.025,-0.359
'[02:14:00.768 20/01/1989]',-0.000,47.512,-0.023,-0.359
'[02:14:00.772 20/01/1989]',0.025,47.930,-0.024,-0.365
'[02:14:00.776 20/01/1989]',0.060,47.512,-0.022,-0.354
'[02:14:00.780 20/01/1989]',0.080,47.093,-0.025,-0.352
'[02:14:00.784 20/01/1989]',0.090,46.465,-0.028,-0.339
'[02:14:00.788 20/01/1989]',0.085,46.884,-0.029,-0.352
'[02:14:00.792 20/01/1989]',0.080,46.465,-0.025,-0.336
'[02:14:00.796 20/01/1989]',0.070,46.674,-0.025,-0.355
'[02:14:00.800 20/01/1989]',0.080,46.884,-0.025,-0.348
'[02:14:00.804 20/01/1989]',0.080,46.884,-0.025,-0.371
'[02:14:00.808 20/01/1989]',0.095,46.674,-0.022,-0.358
'[02:14:00.812 20/01/1989]',0.095,46.465,-0.021,-0.375
'[02:14:00.816 20/01/1989]',0.080,46.465,-0.022,-0.374
'[02:14:00.820 20/01/1989]',0.090,46.674,-0.021,-0.368
'[02:14:00.824 20/01/1989]',0.100,46.674,-0.019,-0.361
'[02:14:00.828 20/01/1989]',0.095,46.256,-0.019,-0.359
'[02:14:00.832 20/01/1989]',0.090,46.046,-0.019,-0.348
'[02:14:00.836 20/01/1989]',0.105,46.046,-0.019,-0.355
'[02:14:00.840 20/01/1989]',0.100,46.256,-0.021,-0.336
'[02:14:00.844 20/01/1989]',0.100,46.256,-0.024,-0.351
'[02:14:00.848 20/01/1989]',0.100,46.256,-0.021,-0.348
'[02:14:00.852 20/01/1989]',0.105,46.256,-0.019,-0.357
'[02:14:00.856 20/01/1989]',0.110,46.046,-0.018,-0.351
'[02:14:00.860 20/01/1989]',0.115,45.628,-0.021,-0.368
'[02:14:00.864 20/01/1989]',0.110,45.419,-0.018,-0.367
'[02:14:00.868 20/01/1989]',0.125,46.046,-0.016,-0.357
'[02:14:00.872 20/01/1989]',0.120,45.837,-0.018,-0.367
'[02:14:00.876 20/01/1989]',0.120,45.419,-0.018,-0.348
'[02:14:00.880 20/01/1989]',0.130,45.209,-0.017,-0.342
'[02:14:00.884 20/01/1989]',0.130,45.209,-0.018,-0.341
'[02:14:00.888 20/01/1989]',0.130,45.419,-0.016,-0.332
'[02:14:00.892 20/01/1989]',0.125,45.000,-0.013,-0.336
'[02:14:00.896 20/01/1989]',0.140,45.209,-0.013,-0.342
'[02:14:00.900 20/01/1989]',0.140,45.419,-0.014,-0.351
'[02:14:00.904 20/01/1989]',0.145,45.628,-0.012,-0.357
'[02:14:00.908 20/01/1989]',0.150,46.046,-0.010,-0.352
'[02:14:00.912 20/01/1989]',0.165,46.256,-0.010,-0.370
'[02:14:00.916 20/01/1989]',0.160,47.302,-0.010,-0.364
'[02:14:00.920 20/01/1989]',0.160,48.558,-0.011,-0.354
'[02:14:00.924 20/01/1989]',0.165,50.023,-0.014,-0.342
'[02:14:00.928 20/01/1989]',0.180,51.488,-0.016,-0.348
'[02:14:00.932 20/01/1989]',0.180,54.209,-0.020,-0.336
'[02:14:00.936 20/01/1989]',0.185,56.302,-0.021,-0.332
'[02:14:00.940 20/01/1989]',0.200,59.651,-0.024,-0.338
'[02:14:00.944 20/01/1989]',0.180,62.163,-0.027,-0.339
'[02:14:00.948 20/01/1989]',0.195,64.674,-0.026,-0.338
'[02:14:00.952 20/01/1989]',0.205,67.395,-0.024,-0.352
'[02:14:00.956 20/01/1989]',0.205,70.326,-0.023,-0.357
'[02:14:00.960 20/01/1989]',0.210,73.465,-0.022,-0.359
'[02:14:00.964 20/01/1989]',0.220,76.395,-0.016,-0.358
'[02:14:00.968 20/01/1989]',0.215,79.744,-0.013,-0.349
'[02:14:00.972 20/01/1989]',0.220,82.465,-0.012,-0.346
'[02:14:00.976 20/01/1989]',0.235,84.977,-0.009,-0.342
'[02:14:00.980 20/01/1989]',0.240,87.698,-0.008,-0.341
'[02:14:00.984 20/01/1989]',0.235,89.791,-0.008,-0.342
'[02:14:00.988 20/01/1989]',0.230,92.930,-0.005,-0.338
'[02:14:00.992 20/01/1989]',0.230,94.814,-0.001,-0.335
'[02:14:00.996 20/01/1989]',0.225,96.488,-0.002,-0.351
'[02:14:01.000 20/01/1989]',0.220,98.791,-0.003,-0.357
'[02:14:01.004 20/01/1989]',0.210,100.256,-0.006,-0.372
'[02:14:01.008 20/01/1989]',0.215,101.512,-0.007,-0.368
'[02:14:01.012 20/01/1989]',0.200,102.977,-0.011,-0.371
'[02:14:01.016 20/01/1989]',0.200,104.860,-0.013,-0.368
'[02:14:01.020 20/01/1989]',0.190,105.070,-0.016,-0.368
'[02:14:01.024 20/01/1989]',0.180,106.326,-0.013,-0.348
'[02:14:01.028 20/01/1989]',0.170,106.535,-0.014,-0.348
'[02:14:01.032 20/01/1989]',0.150,107.163,-0.014,-0.348
'[02:14:01.036 20/01/1989]',0.140,106.535,-0.012,-0.346
'[02:14:01.040 20/01/1989]',0.125,106.535,-0.014,-0.349
'[02:14:01.044 20/01/1989]',0.100,105.698,-0.015,-0.349
'[02:14:01.048 20/01/1989]',0.090,104.860,-0.014,-0.359
'[02:14:01.052 20/01/1989]',0.080,104.023,-0.012,-0.365
'[02:14:01.056 20/01/1989]',0.060,103.605,-0.012,-0.365
'[02:14:01.060 20/01/1989]',0.040,101.930,-0.013,-0.371
'[02:14:01.064 20/01/1989]',0.030,100.465,-0.011,-0.357
'[02:14:01.068 20/01/1989]',0.035,99.000,-0.009,-0.355
'[02:14:01.072 20/01/1989]',0.030,98.163,-0.010,-0.355
'[02:14:01.076 20/01/1989]',-0.000,96.698,-0.009,-0.336
'[02:14:01.080 20/01/1989]',-0.000,94.814,-0.007,-0.333
'[02:14:01.084 20/01/1989]',-0.000,93.349,-0.008,-0.325
'[02:14:01.088 20/01/1989]',0.005,92.302,-0.008,-0.332
'[02:14:01.092 20/01/1989]',-0.000,90.837,-0.006,-0.326
'[02:14:01.096 20/01/1989]',0.015,89.372,-0.004,-0.348
'[02:14:01.100 20/01/1989]',0.005,88.535,-0.005,-0.342
'[02:14:01.104 20/01/1989]',-0.000,87.070,-0.001,-0.348
'[02:14:01.108 20/01/1989]',0.005,85.605,0.002,-0.338
'[02:14:01.112 20/01/1989]',0.015,84.558,0.004,-0.352
'[02:14:01.116 20/01/1989]',0.010,84.349,0.003,-0.352
'[02:14:01.120 20/01/1989]',-0.000,82.465,0.003,-0.345
'[02:14:01.124 20/01/1989]',-0.000,81.419,0.002,-0.325
'[02:14:01.128 20/01/1989]',0.020,80.791,-0.000,-0.325
'[02:14:01.132 20/01/1989]',-0.000,79.744,-0.002,-0.313
'[02:14:01.136 20/01/1989]',-0.000,78.698,-0.002,-0.314
'[02:14:01.140 20/01/1989]',0.005,78.070,-0.004,-0.316
'[02:14:01.144 20/01/1989]',0.010,77.233,-0.009,-0.330
'[02:14:01.148 20/01/1989]',0.010,76.605,-0.010,-0.335
'[02:14:01.152 20/01/1989]',0.020,76.186,-0.010,-0.345
'[02:14:01.156 20/01/1989]',0.015,75.558,-0.015,-0.346
'[02:14:01.160 20/01/1989]',0.020,75.139,-0.017,-0.338
'[02:14:01.164 20/01/1989]',0.020,73.884,-0.015,-0.330
'[02:14:01.168 20/01/1989]',0.025,73.674,-0.017,-0.325
'[02:14:01.172 20/01/1989]',0.020,73.256,-0.019,-0.333
'[02:14:01.176 20/01/1989]',0.015,72.628,-0.017,-0.325
'[02:14:01.180 20/01/1989]',0.025,71.791,-0.016,-0.325
'[02:14:01.184 20/01/1989]',0.025,70.953,-0.017,-0.316
'[02:14:01.188 20/01/1989]',0.040,70.744,-0.016,-0.329
'[02:14:01.192 20/01/1989]',0.030,70.116,-0.015,-0.325
'[02:14:01.196 20/01/1989]',0.030,69.279,-0.018,-0.336
'[02:14:01.200 20/01/1989]',0.035,68.651,-0.023,-0.329
'[02:14:01.204 20/01/1989]',0.040,67.814,-0.025,-0.332
'[02:14:01.208 20/01/1989]',0.040,67.395,-0.026,-0.332
'[02:14:01.212 20/01/1989]',0.040,66.558,-0.028,-0.348
'[02:14:01.216 20/01/1989]',0.035,66.349,-0.029,-0.325
'[02:14:01.220 20/01/1989]',0.040,65.093,-0.030,-0.322
'[02:14:01.224 20/01/1989]',0.040,65.093,-0.028,-0.307
'[02:14:01.228 20/01/1989]',0.025,64.256,-0.025,-0.310
'[02:14:01.232 20/01/1989]',0.040,63.837,-0.022,-0.296
'[02:14:01.236 20/01/1989]',0.040,63.628,-0.017,-0.307
'[02:14:01.240 20/01/1989]',0.035,63.419,-0.016,-0.301
'[02:14:01.244 20/01/1989]',0.040,62.791,-0.014,-0.319
'[02:14:01.248 20/01/1989]',0.035,62.372,-0.011,-0.319
'[02:14:01.252 20/01/1989]',0.030,62.163,-0.008,-0.319
'[02:14:01.256 20/01/1989]',0.045,62.581,-0.007,-0.323
'[02:14:01.260 20/01/1989]',0.050,61.953,-0.005,-0.314
'[02:14:01.264 20/01/1989]',0.040,61.535,-0.001,-0.325
'[02:14:01.268 20/01/1989]',0.050,61.535,0.001,-0.319
'[02:14:01.272 20/01/1989]',0.050,61.535,0.002,-0.313
'[02:14:01.276 20/01/1989]',0.050,61.326,0.003,-0.310
'[02:14:01.280 20/01/1989]',0.050,61.326,0.004,-0.306
'[02:14:01.284 20/01/1989]',0.050,61.326,0.001,-0.297
'[02:14:01.288 20/01/1989]',0.040,61.326,0.002,-0.310
'[02:14:01.292 20/01/1989]',0.050,61.953,0.002,-0.312
'[02:14:01.296 20/01/1989]',0.045,61.953,-0.003,-0.320
'[02:14:01.300 20/01/1989]',0.050,62.372,-0.007,-0.325
'[02:14:01.304 20/01/1989]',0.045,62.581,-0.009,-0.332
'[02:14:01.308 20/01/1989]',0.055,62.163,-0.011,-0.322
'[02:14:01.312 20/01/1989]',0.045,62.372,-0.015,-0.323
'[02:14:01.316 20/01/1989]',0.040,62.163,-0.016,-0.301
'[02:14:01.320 20/01/1989]',0.055,62.372,-0.020,-0.303
'[02:14:01.324 20/01/1989]',0.065,62.791,-0.017,-0.291
'[02:14:01.328 20/01/1989]',0.060,63.000,-0.017,-0.299
'[02:14:01.332 20/01/1989]',0.060,63.419,-0.014,-0.290
'[02:14:01.336 20/01/1989]',0.065,63.628,-0.010,-0.303
'[02:14:01.340 20/01/1989]',0.065,64.046,-0.007,-0.299
'[02:14:01.344 20/01/1989]',0.075,64.046,-0.003,-0.310
'[02:14:01.348 20/01/1989]',0.060,64.256,0.002,-0.313
'[02:14:01.352 20/01/1989]',0.075,64.256,0.007,-0.320
'[02:14:01.356 20/01/1989]',0.050,65.093,0.009,-0.319
'[02:14:01.360 20/01/1989]',0.060,65.093,0.009,-0.313
'[02:14:01.364 20/01/1989]',0.060,65.093,0.014,-0.309
'[02:14:01.368 20/01/1989]',0.065,64.884,0.016,-0.303
'[02:14:01.372 20/01/1989]',0.065,65.093,0.013,-0.296
'[02:14:01.376 20/01/1989]',0.070,65.512,0.013,-0.293
'[02:14:01.380 20/01/1989]',0.080,65.512,0.012,-0.288
'[02:14:01.384 20/01/1989]',0.065,65.512,0.009,-0.275
'[02:14:01.388 20/01/1989]',0.080,65.093,0.008,-0.284
'[02:14:01.392 20/01/1989]',0.065,65.512,0.007,-0.281
'[02:14:01.396 20/01/1989]',0.075,64.884,0.002,-0.301
'[02:14:01.400 20/01/1989]',0.070,65.302,-0.002,-0.290
'[02:14:01.404 20/01/1989]',0.075,65.302,-0.004,-0.301
'[02:14:01.408 20/01/1989]',0.070,65.302,-0.005,-0.290
'[02:14:01.412 20/01/1989]',0.070,64.674,-0.004,-0.291
'[02:14:01.416 20/01/1989]',0.080,65.093,-0.002,-0.283
'[02:14:01.420 20/01/1989]',0.085,64.884,0.001,-0.278
'[02:14:01.424 20/01/1989]',0.085,65.093,0.005,-0.267
'[02:14:01.428 20/01/1989]',0.080,64.465,0.006,-0.268
'[02:14:01.432 20/01/1989]',0.080,64.256,0.012,-0.259
'[02:14:01.436 20/01/1989]',0.085,64.674,0.012,-0.270
'[02:14:01.440 20/01/1989]',0.090,64.674,0.016,-0.262
'[02:14:01.444 20/01/1989]',0.080,64.256,0.015,-0.284
'[02:14:01.448 20/01/1989]',0.095,64.046,0.017,-0.286
'[02:14:01.452 20/01/1989]',0.090,63.837,0.018,-0.286
'[02:14:01.456 20/01/1989]',0.085,63.628,0.013,-0.277
'[02:14:01.460 20/01/1989]',0.095,63.209,0.008,-0.268
'[02:14:01.464 20/01/1989]',0.080,63.000,0.005,-0.267
'[02:14:01.468 20/01/1989]',0.095,62.791,-0.001,-0.259
'[02:14:01.472 20/01/1989]',0.080,63.000,-0.007,-0.252
'[02:14:01.476 20/01/1989]',0.080,62.163,-0.010,-0.258
'[02:14:01.480 20/01/1989]',0.095,61.744,-0.015,-0.245
'[02:14:01.484 20/01/1989]',0.095,61.535,-0.020,-0.246
'[02:14:01.488 20/01/1989]',0.080,61.326,-0.020,-0.257
'[02:14:01.492 20/01/1989]',0.095,61.116,-0.019,-0.255
'[02:14:01.496 20/01/1989]',0.090,60.698,-0.019,-0.278
'[02:14:01.500 20/01/1989]',0.095,60.488,-0.021,-0.270
'[02:14:01.504 20/01/1989]',0.100,60.279,-0.022,-0.272
'[02:14:01.508 20/01/1989]',0.080,60.070,-0.023,-0.261
'[02:14:01.512 20/01/1989]',0.085,59.860,-0.023,-0.268
'[02:14:01.516 20/01/1989]',0.100,59.233,-0.022,-0.248
'[02:14:01.520 20/01/1989]',0.100,59.023,-0.022,-0.251
'[02:14:01.524 20/01/1989]',0.110,58.814,-0.016,-0.238
'[02:14:01.528 20/01/1989]',0.105,58.605,-0.012,-0.246
'[02:14:01.532 20/01/1989]',0.110,58.186,-0.007,-0.230
'[02:14:01.536 20/01/1989]',0.120,57.349,-0.002,-0.243
'[02:14:01.540 20/01/1989]',0.115,57.767,0.002,-0.243
'[02:14:01.544 20/01/1989]',0.120,57.349,0.005,-0.246
