'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[00:05:30.108 26/02/1989]',-0.070,139.731,0.025,0.049
'[00:05:30.112 26/02/1989]',-0.072,138.654,0.019,0.047
'[00:05:30.116 26/02/1989]',-0.076,138.115,0.006,0.048
'[00:05:30.120 26/02/1989]',-0.076,136.500,0.009,0.047
'[00:05:30.124 26/02/1989]',-0.082,134.884,0.008,0.048
'[00:05:30.128 26/02/1989]',-0.076,133.808,-0.001,0.051
'[00:05:30.132 26/02/1989]',-0.072,132.731,0.001,0.051
'[00:05:30.136 26/02/1989]',-0.066,130.846,-0.008,0.052
'[00:05:30.140 26/02/1989]',-0.064,130.308,0.014,0.052
'[00:05:30.144 26/02/1989]',-0.064,128.961,-0.003,0.052
'[00:05:30.148 26/02/1989]',-0.062,127.615,-0.004,0.056
'[00:05:30.152 26/02/1989]',-0.056,126.538,-0.002,0.055
'[00:05:30.156 26/02/1989]',-0.052,124.923,-0.014,0.056
'[00:05:30.160 26/02/1989]',-0.046,124.384,-0.005,0.057
'[00:05:30.164 26/02/1989]',-0.048,123.038,-0.015,0.059
'[00:05:30.168 26/02/1989]',-0.040,122.231,-0.010,0.058
'[00:05:30.172 26/02/1989]',-0.042,120.346,-0.016,0.062
'[00:05:30.176 26/02/1989]',-0.046,119.000,-0.019,0.065
'[00:05:30.180 26/02/1989]',-0.016,117.654,-0.012,0.067
'[00:05:30.184 26/02/1989]',-0.046,116.038,-0.014,0.071
'[00:05:30.188 26/02/1989]',-0.024,114.692,0.013,0.075
'[00:05:30.192 26/02/1989]',-0.024,113.615,0.003,0.077
'[00:05:30.196 26/02/1989]',-0.018,112.269,0.022,0.081
'[00:05:30.200 26/02/1989]',-0.024,110.654,0.025,0.087
'[00:05:30.204 26/02/1989]',-0.008,108.769,0.016,0.091
'[00:05:30.208 26/02/1989]',-0.012,107.423,0.016,0.096
'[00:05:30.212 26/02/1989]',0.002,105.808,0.009,0.103
'[00:05:30.216 26/02/1989]',-0.010,104.731,0.000,0.108
'[00:05:30.220 26/02/1989]',-0.004,103.654,0.007,0.113
'[00:05:30.224 26/02/1989]',-0.010,102.308,-0.012,0.120
'[00:05:30.228 26/02/1989]',-0.004,99.885,-0.002,0.126
'[00:05:30.232 26/02/1989]',-0.014,100.423,-0.015,0.134
'[00:05:30.236 26/02/1989]',-0.004,99.077,-0.016,0.138
'[00:05:30.240 26/02/1989]',-0.008,98.269,-0.033,0.144
'[00:05:30.244 26/02/1989]',-0.016,97.731,0.003,0.150
'[00:05:30.248 26/02/1989]',-0.016,98.269,-0.019,0.154
'[00:05:30.252 26/02/1989]',-0.018,97.192,-0.008,0.161
'[00:05:30.256 26/02/1989]',-0.032,96.654,-0.010,0.168
'[00:05:30.260 26/02/1989]',-0.018,96.654,-0.008,0.170
'[00:05:30.264 26/02/1989]',-0.022,96.385,-0.009,0.176
'[00:05:30.268 26/02/1989]',-0.024,97.731,-0.009,0.183
'[00:05:30.272 26/02/1989]',-0.028,97.461,0.015,0.188
'[00:05:30.276 26/02/1989]',-0.040,96.923,0.002,0.196
'[00:05:30.280 26/02/1989]',-0.024,96.923,0.016,0.203
'[00:05:30.284 26/02/1989]',-0.032,97.461,0.020,0.205
'[00:05:30.288 26/02/1989]',-0.016,98.538,0.015,0.210
'[00:05:30.292 26/02/1989]',-0.000,97.731,0.021,0.215
'[00:05:30.296 26/02/1989]',0.008,97.731,0.015,0.222
'[00:05:30.300 26/02/1989]',-0.004,97.731,-0.015,0.226
'[00:05:30.304 26/02/1989]',0.008,98.269,0.019,0.231
'[00:05:30.308 26/02/1989]',0.028,98.538,-0.003,0.235
'[00:05:30.312 26/02/1989]',0.046,98.538,0.000,0.241
'[00:05:30.316 26/02/1989]',0.072,99.077,0.016,0.246
'[00:05:30.320 26/02/1989]',0.096,99.615,0.004,0.251
'[00:05:30.324 26/02/1989]',0.108,99.615,-0.001,0.258
'[00:05:30.328 26/02/1989]',0.136,99.346,-0.015,0.265
'[00:05:30.332 26/02/1989]',0.136,99.346,-0.022,0.270
'[00:05:30.336 26/02/1989]',0.164,99.346,-0.035,0.273
'[00:05:30.340 26/02/1989]',0.168,99.615,-0.031,0.274
'[00:05:30.344 26/02/1989]',0.152,98.808,-0.031,0.279
'[00:05:30.348 26/02/1989]',0.148,98.538,-0.022,0.283
'[00:05:30.352 26/02/1989]',0.144,98.538,-0.020,0.287
'[00:05:30.356 26/02/1989]',0.102,99.346,-0.018,0.293
'[00:05:30.360 26/02/1989]',0.080,99.346,-0.004,0.299
'[00:05:30.364 26/02/1989]',0.026,98.538,-0.008,0.306
'[00:05:30.368 26/02/1989]',-0.000,99.615,0.010,0.304
'[00:05:30.372 26/02/1989]',-0.026,99.346,0.018,0.305
'[00:05:30.376 26/02/1989]',-0.050,98.538,0.027,0.315
'[00:05:30.380 26/02/1989]',-0.034,97.731,0.024,0.315
'[00:05:30.384 26/02/1989]',-0.066,98.538,0.041,0.322
'[00:05:30.388 26/02/1989]',-0.062,98.538,0.037,0.321
'[00:05:30.392 26/02/1989]',-0.078,98.538,0.054,0.323
'[00:05:30.396 26/02/1989]',-0.072,97.192,0.042,0.327
'[00:05:30.400 26/02/1989]',-0.076,97.461,0.026,0.331
'[00:05:30.404 26/02/1989]',-0.064,97.461,0.030,0.331
'[00:05:30.408 26/02/1989]',-0.074,97.461,0.020,0.333
'[00:05:30.412 26/02/1989]',-0.062,96.385,0.014,0.337
'[00:05:30.416 26/02/1989]',-0.072,96.385,0.012,0.342
'[00:05:30.420 26/02/1989]',-0.076,95.308,0.001,0.339
'[00:05:30.424 26/02/1989]',-0.072,95.308,-0.004,0.346
'[00:05:30.428 26/02/1989]',-0.070,94.500,-0.024,0.345
'[00:05:30.432 26/02/1989]',-0.060,94.769,-0.026,0.347
'[00:05:30.436 26/02/1989]',-0.062,93.423,-0.031,0.348
'[00:05:30.440 26/02/1989]',-0.050,93.423,-0.017,0.351
'[00:05:30.444 26/02/1989]',-0.054,93.154,-0.033,0.354
'[00:05:30.448 26/02/1989]',-0.056,92.885,-0.045,0.349
'[00:05:30.452 26/02/1989]',-0.050,92.346,-0.032,0.357
'[00:05:30.456 26/02/1989]',-0.056,92.346,-0.043,0.355
'[00:05:30.460 26/02/1989]',-0.056,92.346,-0.025,0.356
'[00:05:30.464 26/02/1989]',-0.034,92.077,-0.015,0.359
'[00:05:30.468 26/02/1989]',-0.024,91.269,0.004,0.360
'[00:05:30.472 26/02/1989]',-0.016,91.000,-0.006,0.362
'[00:05:30.476 26/02/1989]',0.004,91.000,0.005,0.359
'[00:05:30.480 26/02/1989]',0.052,89.923,0.031,0.365
'[00:05:30.484 26/02/1989]',0.148,90.192,0.023,0.364
'[00:05:30.488 26/02/1989]',0.372,89.385,0.042,0.363
'[00:05:30.492 26/02/1989]',0.640,89.115,0.045,0.366
'[00:05:30.496 26/02/1989]',1.000,88.846,0.046,0.366
'[00:05:30.500 26/02/1989]',1.046,88.577,0.040,0.364
'[00:05:30.504 26/02/1989]',0.892,88.308,0.048,0.368
'[00:05:30.508 26/02/1989]',0.572,87.769,0.039,0.368
'[00:05:30.512 26/02/1989]',0.074,87.769,0.034,0.366
'[00:05:30.516 26/02/1989]',-0.280,87.231,0.025,0.366
'[00:05:30.520 26/02/1989]',-0.544,87.231,0.007,0.368
'[00:05:30.524 26/02/1989]',-0.820,86.961,0.002,0.366
'[00:05:30.528 26/02/1989]',-0.922,86.423,-0.002,0.365
'[00:05:30.532 26/02/1989]',-0.880,86.423,-0.006,0.369
'[00:05:30.536 26/02/1989]',-0.726,85.885,-0.001,0.368
'[00:05:30.540 26/02/1989]',-0.506,85.346,-0.022,0.366
'[00:05:30.544 26/02/1989]',-0.284,84.538,-0.011,0.369
'[00:05:30.548 26/02/1989]',-0.144,84.808,-0.044,0.370
'[00:05:30.552 26/02/1989]',-0.028,84.538,-0.025,0.368
'[00:05:30.556 26/02/1989]',0.044,84.808,-0.030,0.368
'[00:05:30.560 26/02/1989]',0.078,84.269,-0.027,0.368
'[00:05:30.564 26/02/1989]',0.066,84.000,-0.026,0.370
'[00:05:30.568 26/02/1989]',0.088,83.731,-0.012,0.372
'[00:05:30.572 26/02/1989]',0.082,83.461,-0.009,0.367
'[00:05:30.576 26/02/1989]',0.104,82.923,-0.002,0.371
'[00:05:30.580 26/02/1989]',0.128,81.846,0.006,0.372
'[00:05:30.584 26/02/1989]',0.120,82.385,0.024,0.368
'[00:05:30.588 26/02/1989]',0.140,82.115,0.026,0.371
'[00:05:30.592 26/02/1989]',0.144,81.308,0.040,0.370
'[00:05:30.596 26/02/1989]',0.158,80.500,0.043,0.372
'[00:05:30.600 26/02/1989]',0.168,80.500,0.024,0.375
'[00:05:30.604 26/02/1989]',0.178,81.308,0.037,0.372
'[00:05:30.608 26/02/1989]',0.168,80.500,0.034,0.369
'[00:05:30.612 26/02/1989]',0.164,79.692,0.013,0.372
'[00:05:30.616 26/02/1989]',0.180,79.961,0.023,0.375
'[00:05:30.620 26/02/1989]',0.184,79.692,0.005,0.372
'[00:05:30.624 26/02/1989]',0.184,79.423,0.013,0.365
'[00:05:30.628 26/02/1989]',0.192,78.346,-0.002,0.369
'[00:05:30.632 26/02/1989]',0.208,78.346,-0.005,0.372
'[00:05:30.636 26/02/1989]',0.208,78.615,-0.010,0.374
'[00:05:30.640 26/02/1989]',0.200,78.615,-0.008,0.369
'[00:05:30.644 26/02/1989]',0.204,78.346,-0.023,0.366
'[00:05:30.648 26/02/1989]',0.228,77.538,-0.027,0.371
'[00:05:30.652 26/02/1989]',0.228,77.808,-0.031,0.375
'[00:05:30.656 26/02/1989]',0.244,77.538,-0.035,0.372
'[00:05:30.660 26/02/1989]',0.248,77.000,-0.039,0.372
'[00:05:30.664 26/02/1989]',0.256,77.000,-0.029,0.369
'[00:05:30.668 26/02/1989]',0.264,78.077,-0.017,0.368
'[00:05:30.672 26/02/1989]',0.260,78.615,-0.022,0.372
'[00:05:30.676 26/02/1989]',0.272,79.423,-0.013,0.372
'[00:05:30.680 26/02/1989]',0.288,80.769,-0.019,0.371
'[00:05:30.684 26/02/1989]',0.296,82.385,0.021,0.372
'[00:05:30.688 26/02/1989]',0.308,84.808,0.008,0.374
'[00:05:30.692 26/02/1989]',0.300,87.769,0.035,0.376
'[00:05:30.696 26/02/1989]',0.326,91.000,0.048,0.372
'[00:05:30.700 26/02/1989]',0.338,94.231,0.042,0.375
'[00:05:30.704 26/02/1989]',0.352,98.808,0.039,0.374
'[00:05:30.708 26/02/1989]',0.362,103.384,0.036,0.372
'[00:05:30.712 26/02/1989]',0.374,108.231,0.015,0.372
'[00:05:30.716 26/02/1989]',0.386,112.808,0.023,0.372
'[00:05:30.720 26/02/1989]',0.386,117.654,0.010,0.369
'[00:05:30.724 26/02/1989]',0.390,122.769,0.001,0.368
'[00:05:30.728 26/02/1989]',0.404,126.269,-0.001,0.369
'[00:05:30.732 26/02/1989]',0.410,130.308,-0.008,0.368
'[00:05:30.736 26/02/1989]',0.406,134.346,-0.032,0.368
'[00:05:30.740 26/02/1989]',0.414,137.577,-0.014,0.368
'[00:05:30.744 26/02/1989]',0.402,140.000,-0.034,0.369
'[00:05:30.748 26/02/1989]',0.410,143.769,-0.035,0.366
'[00:05:30.752 26/02/1989]',0.390,145.923,-0.026,0.366
'[00:05:30.756 26/02/1989]',0.374,147.538,-0.024,0.366
'[00:05:30.760 26/02/1989]',0.360,149.692,-0.037,0.364
'[00:05:30.764 26/02/1989]',0.342,150.500,-0.033,0.364
'[00:05:30.768 26/02/1989]',0.340,151.308,-0.023,0.364
'[00:05:30.772 26/02/1989]',0.308,152.654,-0.023,0.364
'[00:05:30.776 26/02/1989]',0.302,152.654,0.001,0.366
'[00:05:30.780 26/02/1989]',0.296,151.577,-0.005,0.364
'[00:05:30.784 26/02/1989]',0.280,151.846,0.032,0.366
'[00:05:30.788 26/02/1989]',0.266,150.769,0.036,0.364
'[00:05:30.792 26/02/1989]',0.256,150.769,0.042,0.366
'[00:05:30.796 26/02/1989]',0.242,148.615,0.044,0.366
'[00:05:30.800 26/02/1989]',0.216,148.615,0.035,0.366
'[00:05:30.804 26/02/1989]',0.208,145.923,0.037,0.364
'[00:05:30.808 26/02/1989]',0.156,144.038,0.029,0.364
'[00:05:30.812 26/02/1989]',0.140,142.692,0.030,0.365
'[00:05:30.816 26/02/1989]',0.096,142.692,0.042,0.363
'[00:05:30.820 26/02/1989]',0.060,140.538,0.018,0.363
'[00:05:30.824 26/02/1989]',0.042,139.461,0.014,0.364
'[00:05:30.828 26/02/1989]',0.016,138.115,0.001,0.361
'[00:05:30.832 26/02/1989]',0.002,136.769,-0.007,0.362
'[00:05:30.836 26/02/1989]',-0.022,135.423,-0.013,0.364
'[00:05:30.840 26/02/1989]',-0.026,134.346,-0.034,0.362
'[00:05:30.844 26/02/1989]',-0.048,133.000,-0.023,0.363
'[00:05:30.848 26/02/1989]',-0.050,132.192,-0.026,0.359
'[00:05:30.852 26/02/1989]',-0.052,131.654,-0.014,0.360
'[00:05:30.856 26/02/1989]',-0.052,130.577,-0.018,0.360
'[00:05:30.860 26/02/1989]',-0.056,129.231,-0.015,0.360
'[00:05:30.864 26/02/1989]',-0.050,127.346,-0.035,0.364
'[00:05:30.868 26/02/1989]',-0.062,126.538,-0.027,0.359
'[00:05:30.872 26/02/1989]',-0.058,125.461,-0.026,0.361
'[00:05:30.876 26/02/1989]',-0.060,123.846,-0.024,0.363
'[00:05:30.880 26/02/1989]',-0.056,121.961,-0.010,0.360
'[00:05:30.884 26/02/1989]',-0.060,121.154,0.005,0.362
'[00:05:30.888 26/02/1989]',-0.050,120.346,0.021,0.360
'[00:05:30.892 26/02/1989]',-0.044,119.000,0.033,0.362
'[00:05:30.896 26/02/1989]',-0.038,117.654,0.035,0.360
'[00:05:30.900 26/02/1989]',-0.036,116.577,0.031,0.360
'[00:05:30.904 26/02/1989]',-0.016,114.961,0.038,0.363
'[00:05:30.908 26/02/1989]',-0.022,113.884,0.025,0.353
'[00:05:30.912 26/02/1989]',-0.000,112.000,0.038,0.361
'[00:05:30.916 26/02/1989]',-0.006,110.923,0.033,0.353
'[00:05:30.920 26/02/1989]',-0.004,109.038,0.041,0.360
'[00:05:30.924 26/02/1989]',0.002,107.154,0.025,0.353
'[00:05:30.928 26/02/1989]',-0.000,105.269,0.021,0.358
'[00:05:30.932 26/02/1989]',-0.000,104.192,0.007,0.351
'[00:05:30.936 26/02/1989]',0.008,103.384,0.002,0.357
'[00:05:30.940 26/02/1989]',0.006,100.692,0.010,0.351
'[00:05:30.944 26/02/1989]',0.006,99.615,0.013,0.356
'[00:05:30.948 26/02/1989]',0.008,98.538,-0.004,0.350
'[00:05:30.952 26/02/1989]',-0.000,96.923,0.001,0.352
'[00:05:30.956 26/02/1989]',-0.002,96.385,-0.008,0.348
'[00:05:30.960 26/02/1989]',-0.002,95.846,-0.007,0.351
'[00:05:30.964 26/02/1989]',-0.004,94.231,-0.012,0.345
'[00:05:30.968 26/02/1989]',0.008,93.692,-0.008,0.351
'[00:05:30.972 26/02/1989]',0.004,93.692,-0.008,0.347
'[00:05:30.976 26/02/1989]',-0.004,93.154,0.002,0.345
'[00:05:30.980 26/02/1989]',-0.006,92.077,0.001,0.344
'[00:05:30.984 26/02/1989]',-0.014,92.077,0.009,0.347
'[00:05:30.988 26/02/1989]',-0.022,91.538,0.004,0.345
'[00:05:30.992 26/02/1989]',-0.032,91.808,0.015,0.340
'[00:05:30.996 26/02/1989]',-0.024,91.269,0.008,0.342
'[00:05:31.000 26/02/1989]',-0.038,91.538,0.017,0.343
'[00:05:31.004 26/02/1989]',-0.030,91.269,0.027,0.343
'[00:05:31.008 26/02/1989]',-0.030,91.269,0.030,0.339
'[00:05:31.012 26/02/1989]',-0.008,90.731,0.016,0.342
'[00:05:31.016 26/02/1989]',-0.012,91.269,0.038,0.341
'[00:05:31.020 26/02/1989]',0.012,91.808,0.012,0.346
'[00:05:31.024 26/02/1989]',0.006,92.077,0.017,0.337
'[00:05:31.028 26/02/1989]',0.014,92.346,0.016,0.339
'[00:05:31.032 26/02/1989]',0.010,93.423,0.012,0.339
'[00:05:31.036 26/02/1989]',0.014,93.961,0.016,0.340
'[00:05:31.040 26/02/1989]',0.032,95.038,0.007,0.337
'[00:05:31.044 26/02/1989]',0.042,94.231,0.010,0.334
'[00:05:31.048 26/02/1989]',0.082,93.961,-0.000,0.339
'[00:05:31.052 26/02/1989]',0.112,93.961,-0.006,0.342
'[00:05:31.056 26/02/1989]',0.120,94.769,-0.016,0.335
'[00:05:31.060 26/02/1989]',0.124,94.231,-0.017,0.336
'[00:05:31.064 26/02/1989]',0.118,94.769,-0.004,0.342
'[00:05:31.068 26/02/1989]',0.128,95.308,-0.010,0.343
'[00:05:31.072 26/02/1989]',0.126,95.308,-0.005,0.339
'[00:05:31.076 26/02/1989]',0.108,95.308,0.001,0.335
'[00:05:31.080 26/02/1989]',0.126,94.769,-0.006,0.339
'[00:05:31.084 26/02/1989]',0.120,95.577,-0.000,0.340
'[00:05:31.088 26/02/1989]',0.086,95.308,0.001,0.339
'[00:05:31.092 26/02/1989]',0.062,95.308,-0.003,0.339
'[00:05:31.096 26/02/1989]',0.012,96.115,0.004,0.341
'[00:05:31.100 26/02/1989]',-0.018,95.846,0.024,0.335
'[00:05:31.104 26/02/1989]',-0.038,95.577,0.028,0.340
'[00:05:31.108 26/02/1989]',-0.050,95.308,0.036,0.339
'[00:05:31.112 26/02/1989]',-0.050,95.038,0.033,0.341
'[00:05:31.116 26/02/1989]',-0.062,95.577,0.032,0.337
'[00:05:31.120 26/02/1989]',-0.078,95.308,0.027,0.341
'[00:05:31.124 26/02/1989]',-0.080,95.038,0.026,0.339
'[00:05:31.128 26/02/1989]',-0.056,94.231,0.019,0.339
'[00:05:31.132 26/02/1989]',-0.072,94.231,-0.014,0.338
'[00:05:31.136 26/02/1989]',-0.056,94.231,0.018,0.343
'[00:05:31.140 26/02/1989]',-0.064,93.423,-0.012,0.340
'[00:05:31.144 26/02/1989]',-0.064,93.154,0.007,0.342
'[00:05:31.148 26/02/1989]',-0.064,92.885,0.003,0.339
'[00:05:31.152 26/02/1989]',-0.056,92.346,-0.006,0.343
'[00:05:31.156 26/02/1989]',-0.052,92.885,-0.013,0.342
'[00:05:31.160 26/02/1989]',-0.060,92.346,-0.010,0.337
'[00:05:31.164 26/02/1989]',-0.054,91.808,-0.008,0.340
'[00:05:31.168 26/02/1989]',-0.056,92.077,-0.020,0.339
'[00:05:31.172 26/02/1989]',-0.072,91.808,-0.000,0.345
'[00:05:31.176 26/02/1989]',-0.064,92.077,-0.020,0.337
'[00:05:31.180 26/02/1989]',-0.060,90.731,-0.007,0.341
'[00:05:31.184 26/02/1989]',-0.056,90.731,-0.018,0.339
'[00:05:31.188 26/02/1989]',-0.040,89.923,-0.001,0.343
'[00:05:31.192 26/02/1989]',-0.050,89.923,-0.002,0.337
'[00:05:31.196 26/02/1989]',-0.018,89.385,0.015,0.339
'[00:05:31.200 26/02/1989]',-0.022,88.846,0.011,0.335
'[00:05:31.204 26/02/1989]',-0.008,88.846,0.031,0.342
'[00:05:31.208 26/02/1989]',0.032,88.308,0.010,0.338
'[00:05:31.212 26/02/1989]',0.100,87.500,0.022,0.339
'[00:05:31.216 26/02/1989]',0.236,87.500,0.018,0.336
'[00:05:31.220 26/02/1989]',0.464,86.692,0.015,0.336
'[00:05:31.224 26/02/1989]',0.762,86.154,0.007,0.339
'[00:05:31.228 26/02/1989]',1.002,85.615,0.019,0.340
'[00:05:31.232 26/02/1989]',0.862,85.885,0.020,0.340
'[00:05:31.236 26/02/1989]',0.684,86.692,0.025,0.335
'[00:05:31.240 26/02/1989]',0.330,86.154,0.043,0.332
'[00:05:31.244 26/02/1989]',-0.152,85.615,0.030,0.336
'[00:05:31.248 26/02/1989]',-0.398,85.615,0.020,0.334
'[00:05:31.252 26/02/1989]',-0.640,85.077,0.011,0.334
'[00:05:31.256 26/02/1989]',-0.874,84.538,0.004,0.335
'[00:05:31.260 26/02/1989]',-0.898,84.538,-0.008,0.335
'[00:05:31.264 26/02/1989]',-0.828,84.000,-0.023,0.336
'[00:05:31.268 26/02/1989]',-0.628,83.731,-0.019,0.337
'[00:05:31.272 26/02/1989]',-0.418,82.923,-0.028,0.334
'[00:05:31.276 26/02/1989]',-0.234,83.461,-0.021,0.332
'[00:05:31.280 26/02/1989]',-0.096,82.385,-0.007,0.334
'[00:05:31.284 26/02/1989]',-0.002,82.385,-0.010,0.331
'[00:05:31.288 26/02/1989]',0.064,82.385,-0.001,0.335
'[00:05:31.292 26/02/1989]',0.088,81.577,0.017,0.335
'[00:05:31.296 26/02/1989]',0.082,81.308,0.009,0.332
'[00:05:31.300 26/02/1989]',0.090,81.846,0.020,0.333
'[00:05:31.304 26/02/1989]',0.114,81.846,0.011,0.335
'[00:05:31.308 26/02/1989]',0.112,81.038,0.014,0.335
'[00:05:31.312 26/02/1989]',0.138,79.961,0.018,0.335
'[00:05:31.316 26/02/1989]',0.132,80.231,0.016,0.331
'[00:05:31.320 26/02/1989]',0.146,79.961,0.026,0.331
'[00:05:31.324 26/02/1989]',0.150,79.154,0.017,0.331
'[00:05:31.328 26/02/1989]',0.160,79.154,0.005,0.333
'[00:05:31.332 26/02/1989]',0.172,78.885,0.013,0.331
'[00:05:31.336 26/02/1989]',0.176,78.615,0.001,0.331
'[00:05:31.340 26/02/1989]',0.180,78.346,0.015,0.329
'[00:05:31.344 26/02/1989]',0.176,77.538,0.024,0.328
'[00:05:31.348 26/02/1989]',0.184,77.269,0.010,0.329
'[00:05:31.352 26/02/1989]',0.182,77.538,0.009,0.327
'[00:05:31.356 26/02/1989]',0.192,78.077,-0.000,0.324
'[00:05:31.360 26/02/1989]',0.192,77.000,-0.020,0.325
'[00:05:31.364 26/02/1989]',0.200,76.461,-0.010,0.327
'[00:05:31.368 26/02/1989]',0.200,76.731,-0.025,0.327
'[00:05:31.372 26/02/1989]',0.200,76.731,-0.015,0.326
'[00:05:31.376 26/02/1989]',0.206,76.731,-0.024,0.325
'[00:05:31.380 26/02/1989]',0.214,77.000,-0.013,0.324
'[00:05:31.384 26/02/1989]',0.216,75.923,-0.020,0.325
'[00:05:31.388 26/02/1989]',0.228,76.192,-0.010,0.324
'[00:05:31.392 26/02/1989]',0.224,76.461,-0.000,0.323
'[00:05:31.396 26/02/1989]',0.248,76.192,-0.000,0.323
'[00:05:31.400 26/02/1989]',0.248,76.461,0.002,0.321
'[00:05:31.404 26/02/1989]',0.256,77.000,0.001,0.319
'[00:05:31.408 26/02/1989]',0.274,77.269,0.010,0.318
'[00:05:31.412 26/02/1989]',0.278,78.077,0.027,0.318
'[00:05:31.416 26/02/1989]',0.280,80.769,0.019,0.317
'[00:05:31.420 26/02/1989]',0.296,83.461,0.021,0.319
'[00:05:31.424 26/02/1989]',0.304,85.615,0.026,0.317
'[00:05:31.428 26/02/1989]',0.324,89.115,0.011,0.313
'[00:05:31.432 26/02/1989]',0.324,92.077,0.032,0.311
'[00:05:31.436 26/02/1989]',0.340,96.654,0.017,0.312
'[00:05:31.440 26/02/1989]',0.342,101.231,0.015,0.315
'[00:05:31.444 26/02/1989]',0.358,105.808,0.009,0.310
'[00:05:31.448 26/02/1989]',0.372,109.577,0.001,0.308
'[00:05:31.452 26/02/1989]',0.368,114.692,0.005,0.311
'[00:05:31.456 26/02/1989]',0.392,118.731,-0.015,0.305
'[00:05:31.460 26/02/1989]',0.384,123.308,-0.010,0.305
'[00:05:31.464 26/02/1989]',0.404,127.077,-0.009,0.303
'[00:05:31.468 26/02/1989]',0.402,130.308,-0.015,0.303
'[00:05:31.472 26/02/1989]',0.400,133.808,-0.013,0.298
'[00:05:31.476 26/02/1989]',0.384,137.308,-0.017,0.299
'[00:05:31.480 26/02/1989]',0.384,140.269,-0.033,0.296
'[00:05:31.484 26/02/1989]',0.352,142.423,-0.018,0.295
'[00:05:31.488 26/02/1989]',0.358,144.577,-0.025,0.294
'[00:05:31.492 26/02/1989]',0.346,146.731,-0.008,0.292
'[00:05:31.496 26/02/1989]',0.328,147.538,-0.005,0.291
'[00:05:31.500 26/02/1989]',0.322,149.692,-0.011,0.287
'[00:05:31.504 26/02/1989]',0.306,150.231,0.005,0.288
'[00:05:31.508 26/02/1989]',0.294,149.961,0.003,0.288
'[00:05:31.512 26/02/1989]',0.288,149.423,0.010,0.286
'[00:05:31.516 26/02/1989]',0.248,149.692,0.014,0.282
'[00:05:31.520 26/02/1989]',0.240,149.154,0.023,0.282
'[00:05:31.524 26/02/1989]',0.224,148.346,0.011,0.279
'[00:05:31.528 26/02/1989]',0.198,148.077,0.028,0.276
'[00:05:31.532 26/02/1989]',0.168,147.000,0.024,0.277
'[00:05:31.536 26/02/1989]',0.150,145.384,0.014,0.274
'[00:05:31.540 26/02/1989]',0.120,144.308,-0.000,0.272
'[00:05:31.544 26/02/1989]',0.080,141.884,-0.003,0.273
'[00:05:31.548 26/02/1989]',0.072,141.077,0.011,0.269
'[00:05:31.552 26/02/1989]',0.044,140.269,0.001,0.272
'[00:05:31.556 26/02/1989]',0.020,138.923,0.008,0.266
'[00:05:31.560 26/02/1989]',-0.008,137.846,0.006,0.267
'[00:05:31.564 26/02/1989]',-0.028,136.769,-0.005,0.260
'[00:05:31.568 26/02/1989]',-0.040,135.154,-0.006,0.261
'[00:05:31.572 26/02/1989]',-0.048,134.077,-0.010,0.257
'[00:05:31.576 26/02/1989]',-0.052,133.000,-0.018,0.262
'[00:05:31.580 26/02/1989]',-0.064,131.923,0.000,0.258
'[00:05:31.584 26/02/1989]',-0.062,130.308,-0.021,0.257
'[00:05:31.588 26/02/1989]',-0.068,128.961,-0.010,0.258
