      Time       Date     Sample #  Type  Sub Chan  Num	Aux
[01:37:30.000 20/07/89]   480000     "    0    0    0	W
[01:38:00.000 20/07/89]   487500     "    0    0    0	W
[01:38:30.000 20/07/89]   495000     "    0    0    0	W
[01:39:00.000 20/07/89]   502500     "    0    0    0	W
[01:39:30.000 20/07/89]   510000     "    0    0    0	W
[01:40:00.000 20/07/89]   517500     "    0    0    0	W
[01:40:30.000 20/07/89]   525000     "    0    0    0	W
[01:41:00.000 20/07/89]   532500     "    0    0    0	W
[01:41:30.000 20/07/89]   540000     "    0    0    0	W
[01:42:00.000 20/07/89]   547500     "    0    0    0	W
[01:42:30.000 20/07/89]   555000     "    0    0    0	W
[01:43:00.000 20/07/89]   562500     "    0    0    0	W
[01:43:30.000 20/07/89]   570000     "    0    0    0	W
[01:44:00.000 20/07/89]   577500     "    0    0    0	W
[01:44:30.000 20/07/89]   585000     "    0    0    0	W
[01:45:00.000 20/07/89]   592500     "    0    0    0	W
[01:45:30.000 20/07/89]   600000     "    0    0    0	W
[01:46:00.000 20/07/89]   607500     "    0    0    0	W
[01:46:30.000 20/07/89]   615000     "    0    0    0	W
[01:47:00.000 20/07/89]   622500     "    0    0    0	W
[01:47:30.000 20/07/89]   630000     "    0    0    0	W
[01:48:00.000 20/07/89]   637500     "    0    0    0	W
[01:48:30.000 20/07/89]   645000     "    0    0    0	W
[01:49:00.000 20/07/89]   652500     "    0    0    0	W
[01:49:30.000 20/07/89]   660000     "    0    0    0	W
[01:50:00.000 20/07/89]   667500     "    0    0    0	W
[01:50:30.000 20/07/89]   675000     "    0    0    0	W
[01:51:00.000 20/07/89]   682500     "    0    0    0	1
[01:51:30.000 20/07/89]   690000     "    0    0    0	W
[01:52:00.000 20/07/89]   697500     "    0    0    0	W
[01:52:30.000 20/07/89]   705000     "    0    0    0	1 X
[01:53:00.000 20/07/89]   712500     "    0    0    0	1 X
[01:53:30.000 20/07/89]   720000     "    0    0    0	2 L
[01:54:00.000 20/07/89]   727500     "    0    0    0	1
[01:54:30.000 20/07/89]   735000     "    0    0    0	1 X
[01:55:00.000 20/07/89]   742500     "    0    0    0	2 X L
[01:55:30.000 20/07/89]   750000     "    0    0    0	2 L
[01:56:00.000 20/07/89]   757500     "    0    0    0	2 L
[01:56:30.000 20/07/89]   765000     "    0    0    0	2
[01:57:00.000 20/07/89]   772500     "    0    0    0	1 X L
[01:57:30.000 20/07/89]   780000     "    0    0    0	2 X L
[01:58:00.000 20/07/89]   787500     "    0    0    0	2 X
[01:58:30.000 20/07/89]   795000     "    0    0    0	2 L
[01:59:00.000 20/07/89]   802500     "    0    0    0	2 LA
[01:59:30.000 20/07/89]   810000     "    0    0    0	2
[02:00:00.000 20/07/89]   817500     "    0    0    0	2 L L
[02:00:30.000 20/07/89]   825000     "    0    0    0	2
[02:01:00.000 20/07/89]   832500     "    0    0    0	2 L
[02:01:30.000 20/07/89]   840000     "    0    0    0	2 OA L
[02:02:00.000 20/07/89]   847500     "    0    0    0	2 OA L
[02:02:30.000 20/07/89]   855000     "    0    0    0	2 L
[02:03:00.000 20/07/89]   862500     "    0    0    0	2
[02:03:30.000 20/07/89]   870000     "    0    0    0	2 OA
[02:04:00.000 20/07/89]   877500     "    0    0    0	2
[02:04:30.000 20/07/89]   885000     "    0    0    0	2 OA
[02:05:00.000 20/07/89]   892500     "    0    0    0	2 LA
[02:05:30.000 20/07/89]   900000     "    0    0    0	2 X
[02:06:00.000 20/07/89]   907500     "    0    0    0	2 L
[02:06:30.000 20/07/89]   915000     "    0    0    0	2 X
[02:07:00.000 20/07/89]   922500     "    0    0    0	2 LA L
[02:07:30.000 20/07/89]   930000     "    0    0    0	2 OA
[02:08:00.000 20/07/89]   937500     "    0    0    0	W
[02:08:30.000 20/07/89]   945000     "    0    0    0	W
[02:09:00.000 20/07/89]   952500     "    0    0    0	W
[02:09:30.000 20/07/89]   960000     "    0    0    0	W
[02:10:00.000 20/07/89]   967500     "    0    0    0	W
[02:10:30.000 20/07/89]   975000     "    0    0    0	W
[02:11:00.000 20/07/89]   982500     "    0    0    0	W
[02:11:30.000 20/07/89]   990000     "    0    0    0	W
[02:12:00.000 20/07/89]   997500     "    0    0    0	W
[02:12:30.000 20/07/89]  1005000     "    0    0    0	W
[02:13:00.000 20/07/89]  1012500     "    0    0    0	W
[02:13:30.000 20/07/89]  1020000     "    0    0    0	W
[02:14:00.000 20/07/89]  1027500     "    0    0    0	W
[02:14:30.000 20/07/89]  1035000     "    0    0    0	W
[02:15:00.000 20/07/89]  1042500     "    0    0    0	W
[02:15:30.000 20/07/89]  1050000     "    0    0    0	W
[02:16:00.000 20/07/89]  1057500     "    0    0    0	W
[02:16:30.000 20/07/89]  1065000     "    0    0    0	W
[02:17:00.000 20/07/89]  1072500     "    0    0    0	W
[02:17:30.000 20/07/89]  1080000     "    0    0    0	W
[02:18:00.000 20/07/89]  1087500     "    0    0    0	W
[02:18:30.000 20/07/89]  1095000     "    0    0    0	W
[02:19:00.000 20/07/89]  1102500     "    0    0    0	W
[02:19:30.000 20/07/89]  1110000     "    0    0    0	W
[02:20:00.000 20/07/89]  1117500     "    0    0    0	W
[02:20:30.000 20/07/89]  1125000     "    0    0    0	W
[02:21:00.000 20/07/89]  1132500     "    0    0    0	W
[02:21:30.000 20/07/89]  1140000     "    0    0    0	W
[02:22:00.000 20/07/89]  1147500     "    0    0    0	W
[02:22:30.000 20/07/89]  1155000     "    0    0    0	W
[02:23:00.000 20/07/89]  1162500     "    0    0    0	W
[02:23:30.000 20/07/89]  1170000     "    0    0    0	W
[02:24:00.000 20/07/89]  1177500     "    0    0    0	W X
[02:24:30.000 20/07/89]  1185000     "    0    0    0	W X
[02:25:00.000 20/07/89]  1192500     "    0    0    0	1 X
[02:25:30.000 20/07/89]  1200000     "    0    0    0	2
[02:26:00.000 20/07/89]  1207500     "    0    0    0	2
[02:26:30.000 20/07/89]  1215000     "    0    0    0	2
[02:27:00.000 20/07/89]  1222500     "    0    0    0	2
[02:27:30.000 20/07/89]  1230000     "    0    0    0	1
[02:28:00.000 20/07/89]  1237500     "    0    0    0	W
[02:28:30.000 20/07/89]  1245000     "    0    0    0	W
[02:29:00.000 20/07/89]  1252500     "    0    0    0	1 X
[02:29:30.000 20/07/89]  1260000     "    0    0    0	1 X
[02:30:00.000 20/07/89]  1267500     "    0    0    0	2 X
[02:30:30.000 20/07/89]  1275000     "    0    0    0	2 X
[02:31:00.000 20/07/89]  1282500     "    0    0    0	2 OA
[02:31:30.000 20/07/89]  1290000     "    0    0    0	2
[02:32:00.000 20/07/89]  1297500     "    0    0    0	2 OA
[02:32:30.000 20/07/89]  1305000     "    0    0    0	2 OA
[02:33:00.000 20/07/89]  1312500     "    0    0    0	2 X
[02:33:30.000 20/07/89]  1320000     "    0    0    0	2 X
[02:34:00.000 20/07/89]  1327500     "    0    0    0	2 X
[02:34:30.000 20/07/89]  1335000     "    0    0    0	2 X
[02:35:00.000 20/07/89]  1342500     "    0    0    0	2 X
[02:35:30.000 20/07/89]  1350000     "    0    0    0	2 X
[02:36:00.000 20/07/89]  1357500     "    0    0    0	2 X
[02:36:30.000 20/07/89]  1365000     "    0    0    0	2 X
[02:37:00.000 20/07/89]  1372500     "    0    0    0	2
[02:37:30.000 20/07/89]  1380000     "    0    0    0	2
[02:38:00.000 20/07/89]  1387500     "    0    0    0	2
[02:38:30.000 20/07/89]  1395000     "    0    0    0	2
[02:39:00.000 20/07/89]  1402500     "    0    0    0	3
[02:39:30.000 20/07/89]  1410000     "    0    0    0	2
[02:40:00.000 20/07/89]  1417500     "    0    0    0	2 OA
[02:40:30.000 20/07/89]  1425000     "    0    0    0	2
[02:41:00.000 20/07/89]  1432500     "    0    0    0	2
[02:41:30.000 20/07/89]  1440000     "    0    0    0	2
[02:42:00.000 20/07/89]  1447500     "    0    0    0	2 X
[02:42:30.000 20/07/89]  1455000     "    0    0    0	3
[02:43:00.000 20/07/89]  1462500     "    0    0    0	2
[02:43:30.000 20/07/89]  1470000     "    0    0    0	2
[02:44:00.000 20/07/89]  1477500     "    0    0    0	2 OA
[02:44:30.000 20/07/89]  1485000     "    0    0    0	2
[02:45:00.000 20/07/89]  1492500     "    0    0    0	2
[02:45:30.000 20/07/89]  1500000     "    0    0    0	2
[02:46:00.000 20/07/89]  1507500     "    0    0    0	2 OA
[02:46:30.000 20/07/89]  1515000     "    0    0    0	2
[02:47:00.000 20/07/89]  1522500     "    0    0    0	2
[02:47:30.000 20/07/89]  1530000     "    0    0    0	3
[02:48:00.000 20/07/89]  1537500     "    0    0    0	2 OA
[02:48:30.000 20/07/89]  1545000     "    0    0    0	2
[02:49:00.000 20/07/89]  1552500     "    0    0    0	2
[02:49:30.000 20/07/89]  1560000     "    0    0    0	3
[02:50:00.000 20/07/89]  1567500     "    0    0    0	2 X
[02:50:30.000 20/07/89]  1575000     "    0    0    0	2 X
[02:51:00.000 20/07/89]  1582500     "    0    0    0	2
[02:51:30.000 20/07/89]  1590000     "    0    0    0	4
[02:52:00.000 20/07/89]  1597500     "    0    0    0	2
[02:52:30.000 20/07/89]  1605000     "    0    0    0	4
[02:53:00.000 20/07/89]  1612500     "    0    0    0	3
[02:53:30.000 20/07/89]  1620000     "    0    0    0	2
[02:54:00.000 20/07/89]  1627500     "    0    0    0	3
[02:54:30.000 20/07/89]  1635000     "    0    0    0	3
[02:55:00.000 20/07/89]  1642500     "    0    0    0	4 X
[02:55:30.000 20/07/89]  1650000     "    0    0    0	4 X
[02:56:00.000 20/07/89]  1657500     "    0    0    0	3
[02:56:30.000 20/07/89]  1665000     "    0    0    0	2
[02:57:00.000 20/07/89]  1672500     "    0    0    0	2
[02:57:30.000 20/07/89]  1680000     "    0    0    0	2
[02:58:00.000 20/07/89]  1687500     "    0    0    0	2 H
[02:58:30.000 20/07/89]  1695000     "    0    0    0	2
[02:59:00.000 20/07/89]  1702500     "    0    0    0	3
[02:59:30.000 20/07/89]  1710000     "    0    0    0	2
[03:00:00.000 20/07/89]  1717500     "    0    0    0	2
[03:00:30.000 20/07/89]  1725000     "    0    0    0	3
[03:01:00.000 20/07/89]  1732500     "    0    0    0	3 X
[03:01:30.000 20/07/89]  1740000     "    0    0    0	2 X
[03:02:00.000 20/07/89]  1747500     "    0    0    0	2
[03:02:30.000 20/07/89]  1755000     "    0    0    0	4
[03:03:00.000 20/07/89]  1762500     "    0    0    0	4 X
[03:03:30.000 20/07/89]  1770000     "    0    0    0	3 X
[03:04:00.000 20/07/89]  1777500     "    0    0    0	2
[03:04:30.000 20/07/89]  1785000     "    0    0    0	2
[03:05:00.000 20/07/89]  1792500     "    0    0    0	2 X
[03:05:30.000 20/07/89]  1800000     "    0    0    0	3 X
[03:06:00.000 20/07/89]  1807500     "    0    0    0	2
[03:06:30.000 20/07/89]  1815000     "    0    0    0	2
[03:07:00.000 20/07/89]  1822500     "    0    0    0	3 X
[03:07:30.000 20/07/89]  1830000     "    0    0    0	2 X
[03:08:00.000 20/07/89]  1837500     "    0    0    0	2
[03:08:30.000 20/07/89]  1845000     "    0    0    0	4 X
[03:09:00.000 20/07/89]  1852500     "    0    0    0	4 X
[03:09:30.000 20/07/89]  1860000     "    0    0    0	3
[03:10:00.000 20/07/89]  1867500     "    0    0    0	3 X
[03:10:30.000 20/07/89]  1875000     "    0    0    0	3
[03:11:00.000 20/07/89]  1882500     "    0    0    0	3
[03:11:30.000 20/07/89]  1890000     "    0    0    0	4
[03:12:00.000 20/07/89]  1897500     "    0    0    0	4
[03:12:30.000 20/07/89]  1905000     "    0    0    0	4
[03:13:00.000 20/07/89]  1912500     "    0    0    0	4 X
[03:13:30.000 20/07/89]  1920000     "    0    0    0	3 X
[03:14:00.000 20/07/89]  1927500     "    0    0    0	2 X
[03:14:30.000 20/07/89]  1935000     "    0    0    0	3 X
[03:15:00.000 20/07/89]  1942500     "    0    0    0	2
[03:15:30.000 20/07/89]  1950000     "    0    0    0	3 X
[03:16:00.000 20/07/89]  1957500     "    0    0    0	3 X
[03:16:30.000 20/07/89]  1965000     "    0    0    0	2 X
[03:17:00.000 20/07/89]  1972500     "    0    0    0	2 X
[03:17:30.000 20/07/89]  1980000     "    0    0    0	2 X
[03:18:00.000 20/07/89]  1987500     "    0    0    0	2 X
[03:18:30.000 20/07/89]  1995000     "    0    0    0	2 X
[03:19:00.000 20/07/89]  2002500     "    0    0    0	3 X
[03:19:30.000 20/07/89]  2010000     "    0    0    0	2
[03:20:00.000 20/07/89]  2017500     "    0    0    0	3 X
[03:20:30.000 20/07/89]  2025000     "    0    0    0	2 X
[03:21:00.000 20/07/89]  2032500     "    0    0    0	2 X
[03:21:30.000 20/07/89]  2040000     "    0    0    0	3 X
[03:22:00.000 20/07/89]  2047500     "    0    0    0	2
[03:22:30.000 20/07/89]  2055000     "    0    0    0	2 X
[03:23:00.000 20/07/89]  2062500     "    0    0    0	2 X
[03:23:30.000 20/07/89]  2070000     "    0    0    0	3 X
[03:24:00.000 20/07/89]  2077500     "    0    0    0	2 X
[03:24:30.000 20/07/89]  2085000     "    0    0    0	4
[03:25:00.000 20/07/89]  2092500     "    0    0    0	3 X
[03:25:30.000 20/07/89]  2100000     "    0    0    0	2 X
[03:26:00.000 20/07/89]  2107500     "    0    0    0	3 X
[03:26:30.000 20/07/89]  2115000     "    0    0    0	4 X
[03:27:00.000 20/07/89]  2122500     "    0    0    0	2
[03:27:30.000 20/07/89]  2130000     "    0    0    0	2 X
[03:28:00.000 20/07/89]  2137500     "    0    0    0	2
[03:28:30.000 20/07/89]  2145000     "    0    0    0	3 X
[03:29:00.000 20/07/89]  2152500     "    0    0    0	2 X
[03:29:30.000 20/07/89]  2160000     "    0    0    0	2
[03:30:00.000 20/07/89]  2167500     "    0    0    0	3 X
[03:30:30.000 20/07/89]  2175000     "    0    0    0	2
[03:31:00.000 20/07/89]  2182500     "    0    0    0	2
[03:31:30.000 20/07/89]  2190000     "    0    0    0	4 X
[03:32:00.000 20/07/89]  2197500     "    0    0    0	4 X
[03:32:30.000 20/07/89]  2205000     "    0    0    0	2
[03:33:00.000 20/07/89]  2212500     "    0    0    0	3
[03:33:30.000 20/07/89]  2220000     "    0    0    0	3 X
[03:34:00.000 20/07/89]  2227500     "    0    0    0	2
[03:34:30.000 20/07/89]  2235000     "    0    0    0	3
[03:35:00.000 20/07/89]  2242500     "    0    0    0	4 X
[03:35:30.000 20/07/89]  2250000     "    0    0    0	2 X
[03:36:00.000 20/07/89]  2257500     "    0    0    0	2 X
[03:36:30.000 20/07/89]  2265000     "    0    0    0	2
[03:37:00.000 20/07/89]  2272500     "    0    0    0	2
[03:37:30.000 20/07/89]  2280000     "    0    0    0	2 X
[03:38:00.000 20/07/89]  2287500     "    0    0    0	2 X
[03:38:30.000 20/07/89]  2295000     "    0    0    0	3 X
[03:39:00.000 20/07/89]  2302500     "    0    0    0	2
[03:39:30.000 20/07/89]  2310000     "    0    0    0	2
[03:40:00.000 20/07/89]  2317500     "    0    0    0	3 X
[03:40:30.000 20/07/89]  2325000     "    0    0    0	2
[03:41:00.000 20/07/89]  2332500     "    0    0    0	2
[03:41:30.000 20/07/89]  2340000     "    0    0    0	3
[03:42:00.000 20/07/89]  2347500     "    0    0    0	3
[03:42:30.000 20/07/89]  2355000     "    0    0    0	3 X
[03:43:00.000 20/07/89]  2362500     "    0    0    0	3 X
[03:43:30.000 20/07/89]  2370000     "    0    0    0	2
[03:44:00.000 20/07/89]  2377500     "    0    0    0	2 X
[03:44:30.000 20/07/89]  2385000     "    0    0    0	2 X
[03:45:00.000 20/07/89]  2392500     "    0    0    0	2
[03:45:30.000 20/07/89]  2400000     "    0    0    0	2
[03:46:00.000 20/07/89]  2407500     "    0    0    0	2
[03:46:30.000 20/07/89]  2415000     "    0    0    0	3
[03:47:00.000 20/07/89]  2422500     "    0    0    0	2
[03:47:30.000 20/07/89]  2430000     "    0    0    0	3
[03:48:00.000 20/07/89]  2437500     "    0    0    0	2
[03:48:30.000 20/07/89]  2445000     "    0    0    0	2
[03:49:00.000 20/07/89]  2452500     "    0    0    0	2 X
[03:49:30.000 20/07/89]  2460000     "    0    0    0	2 X
[03:50:00.000 20/07/89]  2467500     "    0    0    0	2
[03:50:30.000 20/07/89]  2475000     "    0    0    0	3 X
[03:51:00.000 20/07/89]  2482500     "    0    0    0	2 X
[03:51:30.000 20/07/89]  2490000     "    0    0    0	2
[03:52:00.000 20/07/89]  2497500     "    0    0    0	2
[03:52:30.000 20/07/89]  2505000     "    0    0    0	2 X
[03:53:00.000 20/07/89]  2512500     "    0    0    0	2 X
[03:53:30.000 20/07/89]  2520000     "    0    0    0	2
[03:54:00.000 20/07/89]  2527500     "    0    0    0	3
[03:54:30.000 20/07/89]  2535000     "    0    0    0	2
[03:55:00.000 20/07/89]  2542500     "    0    0    0	2
[03:55:30.000 20/07/89]  2550000     "    0    0    0	2
[03:56:00.000 20/07/89]  2557500     "    0    0    0	2 X
[03:56:30.000 20/07/89]  2565000     "    0    0    0	2 X
[03:57:00.000 20/07/89]  2572500     "    0    0    0	2
[03:57:30.000 20/07/89]  2580000     "    0    0    0	W
[03:58:00.000 20/07/89]  2587500     "    0    0    0	W
[03:58:30.000 20/07/89]  2595000     "    0    0    0	W
[03:59:00.000 20/07/89]  2602500     "    0    0    0	W
[03:59:30.000 20/07/89]  2610000     "    0    0    0	W
[04:00:00.000 20/07/89]  2617500     "    0    0    0	W
[04:00:30.000 20/07/89]  2625000     "    0    0    0	W
[04:01:00.000 20/07/89]  2632500     "    0    0    0	W
[04:01:30.000 20/07/89]  2640000     "    0    0    0	W
[04:02:00.000 20/07/89]  2647500     "    0    0    0	W
[04:02:30.000 20/07/89]  2655000     "    0    0    0	W
[04:03:00.000 20/07/89]  2662500     "    0    0    0	W
[04:03:30.000 20/07/89]  2670000     "    0    0    0	W
[04:04:00.000 20/07/89]  2677500     "    0    0    0	W
[04:04:30.000 20/07/89]  2685000     "    0    0    0	W
[04:05:00.000 20/07/89]  2692500     "    0    0    0	W
[04:05:30.000 20/07/89]  2700000     "    0    0    0	W
[04:06:00.000 20/07/89]  2707500     "    0    0    0	W
[04:06:30.000 20/07/89]  2715000     "    0    0    0	W
[04:07:00.000 20/07/89]  2722500     "    0    0    0	W
[04:07:30.000 20/07/89]  2730000     "    0    0    0	W
[04:08:00.000 20/07/89]  2737500     "    0    0    0	W
[04:08:30.000 20/07/89]  2745000     "    0    0    0	W
[04:09:00.000 20/07/89]  2752500     "    0    0    0	W
[04:09:30.000 20/07/89]  2760000     "    0    0    0	W
[04:10:00.000 20/07/89]  2767500     "    0    0    0	W
[04:10:30.000 20/07/89]  2775000     "    0    0    0	W
[04:11:00.000 20/07/89]  2782500     "    0    0    0	W
[04:11:30.000 20/07/89]  2790000     "    0    0    0	W
[04:12:00.000 20/07/89]  2797500     "    0    0    0	W
[04:12:30.000 20/07/89]  2805000     "    0    0    0	W
[04:13:00.000 20/07/89]  2812500     "    0    0    0	W
[04:13:30.000 20/07/89]  2820000     "    0    0    0	W
[04:14:00.000 20/07/89]  2827500     "    0    0    0	W
[04:14:30.000 20/07/89]  2835000     "    0    0    0	W
[04:15:00.000 20/07/89]  2842500     "    0    0    0	W
[04:15:30.000 20/07/89]  2850000     "    0    0    0	W
[04:16:00.000 20/07/89]  2857500     "    0    0    0	W
[04:16:30.000 20/07/89]  2865000     "    0    0    0	W
[04:17:00.000 20/07/89]  2872500     "    0    0    0	W
[04:17:30.000 20/07/89]  2880000     "    0    0    0	W
[04:18:00.000 20/07/89]  2887500     "    0    0    0	W
[04:18:30.000 20/07/89]  2895000     "    0    0    0	W
[04:19:00.000 20/07/89]  2902500     "    0    0    0	W
[04:19:30.000 20/07/89]  2910000     "    0    0    0	W
[04:20:00.000 20/07/89]  2917500     "    0    0    0	W
[04:20:30.000 20/07/89]  2925000     "    0    0    0	W
[04:21:00.000 20/07/89]  2932500     "    0    0    0	W
[04:21:30.000 20/07/89]  2940000     "    0    0    0	W
[04:22:00.000 20/07/89]  2947500     "    0    0    0	W
[04:22:30.000 20/07/89]  2955000     "    0    0    0	W
[04:23:00.000 20/07/89]  2962500     "    0    0    0	W
[04:23:30.000 20/07/89]  2970000     "    0    0    0	W
[04:24:00.000 20/07/89]  2977500     "    0    0    0	W
[04:24:30.000 20/07/89]  2985000     "    0    0    0	W
[04:25:00.000 20/07/89]  2992500     "    0    0    0	W
[04:25:30.000 20/07/89]  3000000     "    0    0    0	W
[04:26:00.000 20/07/89]  3007500     "    0    0    0	W
[04:26:30.000 20/07/89]  3015000     "    0    0    0	W
[04:27:00.000 20/07/89]  3022500     "    0    0    0	W
[04:27:30.000 20/07/89]  3030000     "    0    0    0	W
[04:28:00.000 20/07/89]  3037500     "    0    0    0	W
[04:28:30.000 20/07/89]  3045000     "    0    0    0	W
[04:29:00.000 20/07/89]  3052500     "    0    0    0	W
[04:29:30.000 20/07/89]  3060000     "    0    0    0	W
[04:30:00.000 20/07/89]  3067500     "    0    0    0	W
[04:30:30.000 20/07/89]  3075000     "    0    0    0	W
[04:31:00.000 20/07/89]  3082500     "    0    0    0	W
[04:31:30.000 20/07/89]  3090000     "    0    0    0	W
[04:32:00.000 20/07/89]  3097500     "    0    0    0	W
[04:32:30.000 20/07/89]  3105000     "    0    0    0	W
[04:33:00.000 20/07/89]  3112500     "    0    0    0	W
[04:33:30.000 20/07/89]  3120000     "    0    0    0	W
[04:34:00.000 20/07/89]  3127500     "    0    0    0	W
[04:34:30.000 20/07/89]  3135000     "    0    0    0	W
[04:35:00.000 20/07/89]  3142500     "    0    0    0	W
[04:35:30.000 20/07/89]  3150000     "    0    0    0	W
[04:36:00.000 20/07/89]  3157500     "    0    0    0	1
[04:36:30.000 20/07/89]  3165000     "    0    0    0	1
[04:37:00.000 20/07/89]  3172500     "    0    0    0	1
[04:37:30.000 20/07/89]  3180000     "    0    0    0	1
[04:38:00.000 20/07/89]  3187500     "    0    0    0	W
[04:38:30.000 20/07/89]  3195000     "    0    0    0	1 X
[04:39:00.000 20/07/89]  3202500     "    0    0    0	2 X
[04:39:30.000 20/07/89]  3210000     "    0    0    0	W X
[04:40:00.000 20/07/89]  3217500     "    0    0    0	1 X
[04:40:30.000 20/07/89]  3225000     "    0    0    0	2
[04:41:00.000 20/07/89]  3232500     "    0    0    0	2 X
[04:41:30.000 20/07/89]  3240000     "    0    0    0	W X
[04:42:00.000 20/07/89]  3247500     "    0    0    0	1
[04:42:30.000 20/07/89]  3255000     "    0    0    0	W
[04:43:00.000 20/07/89]  3262500     "    0    0    0	W
[04:43:30.000 20/07/89]  3270000     "    0    0    0	W
[04:44:00.000 20/07/89]  3277500     "    0    0    0	W
[04:44:30.000 20/07/89]  3285000     "    0    0    0	W
[04:45:00.000 20/07/89]  3292500     "    0    0    0	W
[04:45:30.000 20/07/89]  3300000     "    0    0    0	W
[04:46:00.000 20/07/89]  3307500     "    0    0    0	W
[04:46:30.000 20/07/89]  3315000     "    0    0    0	W
[04:47:00.000 20/07/89]  3322500     "    0    0    0	W
[04:47:30.000 20/07/89]  3330000     "    0    0    0	W
[04:48:00.000 20/07/89]  3337500     "    0    0    0	W
[04:48:30.000 20/07/89]  3345000     "    0    0    0	W
[04:49:00.000 20/07/89]  3352500     "    0    0    0	W
[04:49:30.000 20/07/89]  3360000     "    0    0    0	W
[04:50:00.000 20/07/89]  3367500     "    0    0    0	W
[04:50:30.000 20/07/89]  3375000     "    0    0    0	W
[04:51:00.000 20/07/89]  3382500     "    0    0    0	W
[04:51:30.000 20/07/89]  3390000     "    0    0    0	W
[04:52:00.000 20/07/89]  3397500     "    0    0    0	W
[04:52:30.000 20/07/89]  3405000     "    0    0    0	W
[04:53:00.000 20/07/89]  3412500     "    0    0    0	W
[04:53:30.000 20/07/89]  3420000     "    0    0    0	W
[04:54:00.000 20/07/89]  3427500     "    0    0    0	W
[04:54:30.000 20/07/89]  3435000     "    0    0    0	W
[04:55:00.000 20/07/89]  3442500     "    0    0    0	W
