'Time and date','ECG','BP','EEG (C4-A1)','Resp (sum)'
'[23:07:00.224 19/01/1989]',0.180,41.442,-0.014,-0.422
'[23:07:00.228 19/01/1989]',0.185,42.070,-0.015,-0.430
'[23:07:00.232 19/01/1989]',0.180,42.907,-0.016,-0.436
'[23:07:00.236 19/01/1989]',0.195,44.581,-0.017,-0.442
'[23:07:00.240 19/01/1989]',0.185,45.628,-0.016,-0.436
'[23:07:00.244 19/01/1989]',0.215,47.512,-0.017,-0.451
'[23:07:00.248 19/01/1989]',0.210,49.605,-0.015,-0.425
'[23:07:00.252 19/01/1989]',0.225,51.907,-0.012,-0.448
'[23:07:00.256 19/01/1989]',0.220,54.000,-0.012,-0.419
'[23:07:00.260 19/01/1989]',0.220,56.302,-0.008,-0.445
'[23:07:00.264 19/01/1989]',0.220,59.023,-0.005,-0.423
'[23:07:00.268 19/01/1989]',0.240,62.163,-0.004,-0.441
'[23:07:00.272 19/01/1989]',0.235,65.093,-0.004,-0.441
'[23:07:00.276 19/01/1989]',0.245,67.605,-0.000,-0.446
'[23:07:00.280 19/01/1989]',0.240,71.163,0.003,-0.455
'[23:07:00.284 19/01/1989]',0.255,74.093,0.002,-0.464
'[23:07:00.288 19/01/1989]',0.240,77.651,0.003,-0.441
'[23:07:00.292 19/01/1989]',0.240,81.000,0.004,-0.457
'[23:07:00.296 19/01/1989]',0.235,84.349,-0.000,-0.441
'[23:07:00.300 19/01/1989]',0.220,88.116,0.001,-0.439
'[23:07:00.304 19/01/1989]',0.210,91.465,0.001,-0.436
'[23:07:00.308 19/01/1989]',0.210,93.977,-0.000,-0.430
'[23:07:00.312 19/01/1989]',0.200,97.326,-0.006,-0.430
'[23:07:00.316 19/01/1989]',0.205,99.628,-0.009,-0.445
'[23:07:00.320 19/01/1989]',0.185,101.512,-0.011,-0.446
'[23:07:00.324 19/01/1989]',0.165,103.186,-0.014,-0.446
'[23:07:00.328 19/01/1989]',0.165,104.860,-0.018,-0.459
'[23:07:00.332 19/01/1989]',0.140,105.698,-0.023,-0.457
'[23:07:00.336 19/01/1989]',0.120,105.698,-0.027,-0.470
'[23:07:00.340 19/01/1989]',0.115,105.907,-0.032,-0.458
'[23:07:00.344 19/01/1989]',0.090,105.907,-0.034,-0.483
'[23:07:00.348 19/01/1989]',0.085,105.279,-0.036,-0.470
'[23:07:00.352 19/01/1989]',0.060,104.651,-0.037,-0.478
'[23:07:00.356 19/01/1989]',0.050,103.186,-0.040,-0.455
'[23:07:00.360 19/01/1989]',0.030,102.139,-0.042,-0.467
'[23:07:00.364 19/01/1989]',0.030,100.884,-0.044,-0.487
'[23:07:00.368 19/01/1989]',0.040,99.837,-0.048,-0.468
'[23:07:00.372 19/01/1989]',0.015,98.791,-0.052,-0.496
'[23:07:00.376 19/01/1989]',0.005,96.279,-0.051,-0.490
'[23:07:00.380 19/01/1989]',0.015,94.814,-0.052,-0.510
'[23:07:00.384 19/01/1989]',-0.000,93.558,-0.056,-0.516
'[23:07:00.388 19/01/1989]',0.005,92.093,-0.055,-0.501
'[23:07:00.392 19/01/1989]',-0.000,89.791,-0.056,-0.500
'[23:07:00.396 19/01/1989]',-0.000,88.953,-0.052,-0.516
'[23:07:00.400 19/01/1989]',-0.000,87.488,-0.051,-0.501
'[23:07:00.404 19/01/1989]',-0.000,86.233,-0.044,-0.487
'[23:07:00.408 19/01/1989]',-0.005,84.767,-0.041,-0.499
'[23:07:00.412 19/01/1989]',-0.000,83.093,-0.041,-0.523
'[23:07:00.416 19/01/1989]',0.020,81.628,-0.038,-0.499
'[23:07:00.420 19/01/1989]',-0.000,80.581,-0.035,-0.507
'[23:07:00.424 19/01/1989]',-0.000,79.326,-0.033,-0.523
'[23:07:00.428 19/01/1989]',-0.000,78.070,-0.033,-0.532
'[23:07:00.432 19/01/1989]',-0.000,76.395,-0.032,-0.539
'[23:07:00.436 19/01/1989]',0.005,75.558,-0.032,-0.539
'[23:07:00.440 19/01/1989]',0.020,74.721,-0.033,-0.529
'[23:07:00.444 19/01/1989]',0.005,73.046,-0.033,-0.536
'[23:07:00.448 19/01/1989]',0.005,72.837,-0.032,-0.522
'[23:07:00.452 19/01/1989]',0.020,71.791,-0.031,-0.532
'[23:07:00.456 19/01/1989]',0.015,70.535,-0.035,-0.533
'[23:07:00.460 19/01/1989]',0.010,70.116,-0.031,-0.536
'[23:07:00.464 19/01/1989]',0.020,68.860,-0.030,-0.545
'[23:07:00.468 19/01/1989]',0.025,68.233,-0.030,-0.542
'[23:07:00.472 19/01/1989]',0.020,67.605,-0.030,-0.562
'[23:07:00.476 19/01/1989]',0.025,66.977,-0.027,-0.567
'[23:07:00.480 19/01/1989]',0.025,65.512,-0.023,-0.559
'[23:07:00.484 19/01/1989]',0.040,65.512,-0.023,-0.561
'[23:07:00.488 19/01/1989]',0.045,64.465,-0.017,-0.572
'[23:07:00.492 19/01/1989]',0.030,63.837,-0.013,-0.574
'[23:07:00.496 19/01/1989]',0.035,63.000,-0.009,-0.568
'[23:07:00.500 19/01/1989]',0.040,62.372,-0.005,-0.551
'[23:07:00.504 19/01/1989]',0.040,61.953,-0.000,-0.555
'[23:07:00.508 19/01/1989]',0.050,61.326,0.002,-0.546
'[23:07:00.512 19/01/1989]',0.055,60.698,0.001,-0.558
'[23:07:00.516 19/01/1989]',0.060,59.860,0.002,-0.568
'[23:07:00.520 19/01/1989]',0.045,58.814,0.004,-0.596
'[23:07:00.524 19/01/1989]',0.050,58.814,0.002,-0.580
'[23:07:00.528 19/01/1989]',0.055,58.186,-0.002,-0.600
'[23:07:00.532 19/01/1989]',0.045,57.558,-0.007,-0.609
'[23:07:00.536 19/01/1989]',0.055,57.349,-0.011,-0.603
'[23:07:00.540 19/01/1989]',0.060,57.140,-0.016,-0.600
'[23:07:00.544 19/01/1989]',0.050,56.721,-0.019,-0.581
'[23:07:00.548 19/01/1989]',0.055,56.093,-0.023,-0.600
'[23:07:00.552 19/01/1989]',0.045,56.093,-0.023,-0.586
'[23:07:00.556 19/01/1989]',0.060,55.674,-0.026,-0.591
'[23:07:00.560 19/01/1989]',0.045,55.256,-0.026,-0.609
'[23:07:00.564 19/01/1989]',0.055,55.046,-0.027,-0.600
'[23:07:00.568 19/01/1989]',0.050,54.837,-0.030,-0.620
'[23:07:00.572 19/01/1989]',0.065,54.837,-0.034,-0.612
'[23:07:00.576 19/01/1989]',0.060,54.419,-0.030,-0.614
'[23:07:00.580 19/01/1989]',0.060,54.628,-0.028,-0.646
'[23:07:00.584 19/01/1989]',0.080,54.419,-0.026,-0.645
'[23:07:00.588 19/01/1989]',0.060,54.628,-0.022,-0.632
'[23:07:00.592 19/01/1989]',0.060,54.000,-0.019,-0.622
'[23:07:00.596 19/01/1989]',0.070,54.209,-0.019,-0.636
'[23:07:00.600 19/01/1989]',0.070,54.419,-0.017,-0.632
'[23:07:00.604 19/01/1989]',0.070,54.209,-0.014,-0.626
'[23:07:00.608 19/01/1989]',0.060,54.209,-0.012,-0.629
'[23:07:00.612 19/01/1989]',0.075,54.628,-0.014,-0.657
'[23:07:00.616 19/01/1989]',0.080,54.419,-0.012,-0.655
'[23:07:00.620 19/01/1989]',0.080,54.837,-0.008,-0.684
'[23:07:00.624 19/01/1989]',0.075,55.046,-0.006,-0.677
'[23:07:00.628 19/01/1989]',0.080,55.256,-0.007,-0.690
'[23:07:00.632 19/01/1989]',0.080,55.884,-0.008,-0.667
'[23:07:00.636 19/01/1989]',0.070,55.674,-0.007,-0.686
'[23:07:00.640 19/01/1989]',0.070,56.302,-0.008,-0.678
'[23:07:00.644 19/01/1989]',0.060,56.302,-0.007,-0.690
'[23:07:00.648 19/01/1989]',0.080,56.512,-0.007,-0.674
'[23:07:00.652 19/01/1989]',0.080,56.930,-0.008,-0.690
'[23:07:00.656 19/01/1989]',0.075,57.767,-0.009,-0.667
'[23:07:00.660 19/01/1989]',0.080,57.140,-0.008,-0.683
'[23:07:00.664 19/01/1989]',0.080,57.767,-0.007,-0.670
'[23:07:00.668 19/01/1989]',0.060,57.977,-0.009,-0.701
'[23:07:00.672 19/01/1989]',0.065,58.395,-0.013,-0.710
'[23:07:00.676 19/01/1989]',0.080,57.977,-0.012,-0.719
'[23:07:00.680 19/01/1989]',0.060,58.814,-0.013,-0.730
'[23:07:00.684 19/01/1989]',0.070,58.395,-0.016,-0.710
'[23:07:00.688 19/01/1989]',0.060,59.023,-0.017,-0.742
'[23:07:00.692 19/01/1989]',0.085,58.605,-0.018,-0.696
'[23:07:00.696 19/01/1989]',0.070,58.814,-0.019,-0.736
'[23:07:00.700 19/01/1989]',0.085,58.814,-0.018,-0.696
'[23:07:00.704 19/01/1989]',0.065,59.442,-0.014,-0.736
'[23:07:00.708 19/01/1989]',0.095,58.814,-0.012,-0.701
'[23:07:00.712 19/01/1989]',0.075,59.442,-0.011,-0.743
'[23:07:00.716 19/01/1989]',0.100,59.651,-0.009,-0.714
'[23:07:00.720 19/01/1989]',0.080,59.442,-0.006,-0.755
'[23:07:00.724 19/01/1989]',0.075,59.651,-0.005,-0.746
'[23:07:00.728 19/01/1989]',0.075,59.651,-0.006,-0.765
'[23:07:00.732 19/01/1989]',0.085,59.651,-0.006,-0.755
'[23:07:00.736 19/01/1989]',0.100,59.233,-0.009,-0.743
'[23:07:00.740 19/01/1989]',0.095,59.442,-0.010,-0.741
'[23:07:00.744 19/01/1989]',0.085,59.442,-0.012,-0.755
'[23:07:00.748 19/01/1989]',0.110,59.023,-0.014,-0.719
'[23:07:00.752 19/01/1989]',0.090,59.023,-0.016,-0.755
'[23:07:00.756 19/01/1989]',0.095,59.442,-0.018,-0.742
'[23:07:00.760 19/01/1989]',0.100,59.023,-0.017,-0.725
'[23:07:00.764 19/01/1989]',0.090,58.605,-0.016,-0.749
'[23:07:00.768 19/01/1989]',0.105,59.023,-0.018,-0.767
'[23:07:00.772 19/01/1989]',0.115,58.605,-0.021,-0.765
'[23:07:00.776 19/01/1989]',0.140,58.186,-0.018,-0.757
'[23:07:00.780 19/01/1989]',0.125,58.395,-0.016,-0.768
'[23:07:00.784 19/01/1989]',0.125,57.977,-0.015,-0.770
'[23:07:00.788 19/01/1989]',0.120,57.977,-0.013,-0.770
'[23:07:00.792 19/01/1989]',0.115,57.349,-0.015,-0.771
'[23:07:00.796 19/01/1989]',0.115,57.140,-0.016,-0.754
'[23:07:00.800 19/01/1989]',0.125,57.140,-0.017,-0.751
'[23:07:00.804 19/01/1989]',0.105,56.721,-0.017,-0.767
'[23:07:00.808 19/01/1989]',0.105,56.512,-0.020,-0.761
'[23:07:00.812 19/01/1989]',0.090,56.302,-0.025,-0.783
'[23:07:00.816 19/01/1989]',0.100,55.674,-0.027,-0.780
'[23:07:00.820 19/01/1989]',0.080,55.465,-0.028,-0.794
'[23:07:00.824 19/01/1989]',0.090,55.465,-0.031,-0.790
'[23:07:00.828 19/01/1989]',0.070,54.837,-0.035,-0.796
'[23:07:00.832 19/01/1989]',0.080,54.628,-0.041,-0.777
'[23:07:00.836 19/01/1989]',0.065,54.419,-0.042,-0.784
'[23:07:00.840 19/01/1989]',0.080,54.419,-0.042,-0.783
'[23:07:00.844 19/01/1989]',0.060,53.372,-0.042,-0.783
'[23:07:00.848 19/01/1989]',0.070,53.372,-0.042,-0.778
'[23:07:00.852 19/01/1989]',0.080,52.953,-0.040,-0.778
'[23:07:00.856 19/01/1989]',0.080,52.953,-0.042,-0.780
'[23:07:00.860 19/01/1989]',0.070,52.326,-0.040,-0.783
'[23:07:00.864 19/01/1989]',0.080,52.116,-0.039,-0.786
'[23:07:00.868 19/01/1989]',0.075,51.698,-0.042,-0.788
'[23:07:00.872 19/01/1989]',0.060,51.698,-0.045,-0.780
'[23:07:00.876 19/01/1989]',0.070,51.070,-0.044,-0.790
'[23:07:00.880 19/01/1989]',0.075,51.070,-0.046,-0.780
'[23:07:00.884 19/01/1989]',0.075,51.070,-0.048,-0.778
'[23:07:00.888 19/01/1989]',0.080,50.442,-0.047,-0.774
'[23:07:00.892 19/01/1989]',0.100,50.023,-0.046,-0.767
'[23:07:00.896 19/01/1989]',0.080,49.605,-0.045,-0.771
'[23:07:00.900 19/01/1989]',0.065,50.233,-0.042,-0.768
'[23:07:00.904 19/01/1989]',0.110,49.605,-0.038,-0.775
'[23:07:00.908 19/01/1989]',0.160,49.395,-0.034,-0.761
'[23:07:00.912 19/01/1989]',0.225,48.977,-0.032,-0.765
'[23:07:00.916 19/01/1989]',0.300,48.767,-0.024,-0.777
'[23:07:00.920 19/01/1989]',0.460,48.767,-0.014,-0.788
'[23:07:00.924 19/01/1989]',0.655,48.558,-0.002,-0.770
'[23:07:00.928 19/01/1989]',0.825,47.930,0.002,-0.787
'[23:07:00.932 19/01/1989]',0.880,48.140,0.000,-0.778
'[23:07:00.936 19/01/1989]',0.710,47.930,-0.008,-0.794
'[23:07:00.940 19/01/1989]',0.435,47.512,-0.022,-0.777
'[23:07:00.944 19/01/1989]',0.075,47.093,-0.035,-0.771
'[23:07:00.948 19/01/1989]',-0.230,46.256,-0.039,-0.767
'[23:07:00.952 19/01/1989]',-0.345,46.884,-0.043,-0.774
'[23:07:00.956 19/01/1989]',-0.340,46.884,-0.043,-0.780
'[23:07:00.960 19/01/1989]',-0.230,46.465,-0.038,-0.786
'[23:07:00.964 19/01/1989]',-0.120,46.046,-0.032,-0.781
'[23:07:00.968 19/01/1989]',-0.045,46.465,-0.034,-0.800
'[23:07:00.972 19/01/1989]',-0.015,46.256,-0.034,-0.788
'[23:07:00.976 19/01/1989]',0.025,46.256,-0.030,-0.804
'[23:07:00.980 19/01/1989]',0.040,45.419,-0.027,-0.801
'[23:07:00.984 19/01/1989]',0.060,45.628,-0.025,-0.788
'[23:07:00.988 19/01/1989]',0.075,45.419,-0.022,-0.777
'[23:07:00.992 19/01/1989]',0.080,45.209,-0.021,-0.764
'[23:07:00.996 19/01/1989]',0.080,45.209,-0.020,-0.765
'[23:07:01.000 19/01/1989]',0.080,45.000,-0.018,-0.754
'[23:07:01.004 19/01/1989]',0.075,45.000,-0.015,-0.771
'[23:07:01.008 19/01/1989]',0.085,45.000,-0.015,-0.771
'[23:07:01.012 19/01/1989]',0.085,44.581,-0.017,-0.790
'[23:07:01.016 19/01/1989]',0.100,44.581,-0.017,-0.799
'[23:07:01.020 19/01/1989]',0.080,44.581,-0.016,-0.806
'[23:07:01.024 19/01/1989]',0.080,44.372,-0.017,-0.794
'[23:07:01.028 19/01/1989]',0.095,44.581,-0.018,-0.790
'[23:07:01.032 19/01/1989]',0.095,44.372,-0.019,-0.784
'[23:07:01.036 19/01/1989]',0.100,43.953,-0.019,-0.794
'[23:07:01.040 19/01/1989]',0.100,44.372,-0.019,-0.777
'[23:07:01.044 19/01/1989]',0.080,43.744,-0.020,-0.778
'[23:07:01.048 19/01/1989]',0.100,43.744,-0.018,-0.780
'[23:07:01.052 19/01/1989]',0.105,43.744,-0.017,-0.775
'[23:07:01.056 19/01/1989]',0.100,43.744,-0.017,-0.774
'[23:07:01.060 19/01/1989]',0.120,43.744,-0.014,-0.771
'[23:07:01.064 19/01/1989]',0.105,43.535,-0.010,-0.768
'[23:07:01.068 19/01/1989]',0.125,43.744,-0.011,-0.777
'[23:07:01.072 19/01/1989]',0.130,43.326,-0.011,-0.775
'[23:07:01.076 19/01/1989]',0.120,43.116,-0.007,-0.777
'[23:07:01.080 19/01/1989]',0.125,42.907,-0.005,-0.771
'[23:07:01.084 19/01/1989]',0.120,43.116,-0.005,-0.755
'[23:07:01.088 19/01/1989]',0.130,42.907,-0.003,-0.761
'[23:07:01.092 19/01/1989]',0.140,42.698,-0.003,-0.762
'[23:07:01.096 19/01/1989]',0.140,42.698,-0.004,-0.739
'[23:07:01.100 19/01/1989]',0.145,42.698,-0.004,-0.759
'[23:07:01.104 19/01/1989]',0.145,42.907,-0.001,-0.761
'[23:07:01.108 19/01/1989]',0.165,42.488,-0.002,-0.743
'[23:07:01.112 19/01/1989]',0.160,42.070,-0.005,-0.777
'[23:07:01.116 19/01/1989]',0.150,42.907,-0.003,-0.771
'[23:07:01.120 19/01/1989]',0.160,42.698,-0.002,-0.764
'[23:07:01.124 19/01/1989]',0.175,43.744,-0.003,-0.759
'[23:07:01.128 19/01/1989]',0.175,44.581,-0.005,-0.777
'[23:07:01.132 19/01/1989]',0.190,45.419,-0.007,-0.748
'[23:07:01.136 19/01/1989]',0.190,47.512,-0.009,-0.765
'[23:07:01.140 19/01/1989]',0.195,48.977,-0.010,-0.743
'[23:07:01.144 19/01/1989]',0.200,51.279,-0.013,-0.758
'[23:07:01.148 19/01/1989]',0.205,53.791,-0.014,-0.729
'[23:07:01.152 19/01/1989]',0.200,56.093,-0.016,-0.758
'[23:07:01.156 19/01/1989]',0.210,58.814,-0.020,-0.741
'[23:07:01.160 19/01/1989]',0.200,61.326,-0.022,-0.752
'[23:07:01.164 19/01/1989]',0.225,64.256,-0.021,-0.759
'[23:07:01.168 19/01/1989]',0.220,67.605,-0.024,-0.752
'[23:07:01.172 19/01/1989]',0.235,70.744,-0.026,-0.757
'[23:07:01.176 19/01/1989]',0.240,73.884,-0.022,-0.748
'[23:07:01.180 19/01/1989]',0.235,76.814,-0.022,-0.748
'[23:07:01.184 19/01/1989]',0.235,80.581,-0.022,-0.728
'[23:07:01.188 19/01/1989]',0.225,84.139,-0.020,-0.714
'[23:07:01.192 19/01/1989]',0.220,87.907,-0.020,-0.704
'[23:07:01.196 19/01/1989]',0.205,91.256,-0.021,-0.717
'[23:07:01.200 19/01/1989]',0.220,93.977,-0.020,-0.725
'[23:07:01.204 19/01/1989]',0.215,97.326,-0.018,-0.742
'[23:07:01.208 19/01/1989]',0.205,99.837,-0.019,-0.729
'[23:07:01.212 19/01/1989]',0.200,102.349,-0.022,-0.719
'[23:07:01.216 19/01/1989]',0.175,104.442,-0.023,-0.719
'[23:07:01.220 19/01/1989]',0.155,106.116,-0.023,-0.735
'[23:07:01.224 19/01/1989]',0.160,107.163,-0.023,-0.703
'[23:07:01.228 19/01/1989]',0.120,108.209,-0.024,-0.701
'[23:07:01.232 19/01/1989]',0.110,108.209,-0.025,-0.693
'[23:07:01.236 19/01/1989]',0.090,108.628,-0.024,-0.696
'[23:07:01.240 19/01/1989]',0.085,108.209,-0.024,-0.677
'[23:07:01.244 19/01/1989]',0.060,107.791,-0.023,-0.678
'[23:07:01.248 19/01/1989]',0.040,106.535,-0.022,-0.664
'[23:07:01.252 19/01/1989]',0.035,105.907,-0.022,-0.667
'[23:07:01.256 19/01/1989]',0.020,104.860,-0.022,-0.675
'[23:07:01.260 19/01/1989]',0.025,103.395,-0.020,-0.675
'[23:07:01.264 19/01/1989]',0.015,102.139,-0.016,-0.667
'[23:07:01.268 19/01/1989]',-0.000,100.884,-0.015,-0.683
'[23:07:01.272 19/01/1989]',-0.000,99.209,-0.015,-0.677
'[23:07:01.276 19/01/1989]',-0.000,97.744,-0.011,-0.649
'[23:07:01.280 19/01/1989]',-0.005,96.488,-0.007,-0.639
'[23:07:01.284 19/01/1989]',-0.010,94.605,-0.004,-0.620
'[23:07:01.288 19/01/1989]',-0.005,93.349,0.002,-0.641
'[23:07:01.292 19/01/1989]',0.005,91.256,0.004,-0.625
'[23:07:01.296 19/01/1989]',-0.000,90.000,0.005,-0.617
'[23:07:01.300 19/01/1989]',-0.020,88.744,0.009,-0.606
'[23:07:01.304 19/01/1989]',-0.005,87.279,0.014,-0.617
'[23:07:01.308 19/01/1989]',-0.000,86.023,0.018,-0.616
'[23:07:01.312 19/01/1989]',0.015,84.767,0.019,-0.636
'[23:07:01.316 19/01/1989]',-0.000,83.302,0.021,-0.638
'[23:07:01.320 19/01/1989]',-0.005,81.837,0.026,-0.612
'[23:07:01.324 19/01/1989]',0.005,80.791,0.027,-0.591
'[23:07:01.328 19/01/1989]',0.015,79.535,0.026,-0.622
'[23:07:01.332 19/01/1989]',-0.000,78.279,0.024,-0.571
'[23:07:01.336 19/01/1989]',-0.000,77.651,0.023,-0.590
'[23:07:01.340 19/01/1989]',-0.000,76.395,0.021,-0.557
'[23:07:01.344 19/01/1989]',0.005,75.558,0.019,-0.557
'[23:07:01.348 19/01/1989]',0.020,74.721,0.018,-0.562
'[23:07:01.352 19/01/1989]',0.015,74.302,0.014,-0.564
'[23:07:01.356 19/01/1989]',0.005,72.837,0.011,-0.557
'[23:07:01.360 19/01/1989]',0.015,72.628,0.011,-0.543
'[23:07:01.364 19/01/1989]',0.020,71.791,0.011,-0.543
'[23:07:01.368 19/01/1989]',0.020,70.953,0.009,-0.545
'[23:07:01.372 19/01/1989]',0.020,70.326,0.007,-0.533
'[23:07:01.376 19/01/1989]',0.030,69.488,0.011,-0.516
'[23:07:01.380 19/01/1989]',0.025,68.860,0.013,-0.504
'[23:07:01.384 19/01/1989]',0.020,68.023,0.015,-0.499
'[23:07:01.388 19/01/1989]',0.020,67.605,0.018,-0.486
'[23:07:01.392 19/01/1989]',0.020,66.767,0.019,-0.487
'[23:07:01.396 19/01/1989]',0.020,66.140,0.020,-0.465
'[23:07:01.400 19/01/1989]',0.025,65.930,0.023,-0.472
'[23:07:01.404 19/01/1989]',0.030,65.302,0.029,-0.468
'[23:07:01.408 19/01/1989]',0.040,64.465,0.028,-0.451
'[23:07:01.412 19/01/1989]',0.020,63.628,0.030,-0.472
'[23:07:01.416 19/01/1989]',0.040,62.791,0.034,-0.467
'[23:07:01.420 19/01/1989]',0.045,62.372,0.038,-0.458
'[23:07:01.424 19/01/1989]',0.035,62.163,0.039,-0.429
'[23:07:01.428 19/01/1989]',0.040,60.907,0.040,-0.422
'[23:07:01.432 19/01/1989]',0.050,61.116,0.039,-0.406
'[23:07:01.436 19/01/1989]',0.045,60.279,0.041,-0.412
'[23:07:01.440 19/01/1989]',0.045,59.860,0.040,-0.383
'[23:07:01.444 19/01/1989]',0.050,59.442,0.041,-0.388
'[23:07:01.448 19/01/1989]',0.040,58.814,0.045,-0.375
'[23:07:01.452 19/01/1989]',0.045,58.814,0.044,-0.364
'[23:07:01.456 19/01/1989]',0.040,58.186,0.045,-0.371
'[23:07:01.460 19/01/1989]',0.030,57.977,0.048,-0.367
'[23:07:01.464 19/01/1989]',0.040,57.977,0.050,-0.357
'[23:07:01.468 19/01/1989]',0.050,57.349,0.048,-0.351
'[23:07:01.472 19/01/1989]',0.045,57.558,0.046,-0.342
'[23:07:01.476 19/01/1989]',0.040,56.930,0.046,-0.325
'[23:07:01.480 19/01/1989]',0.065,56.721,0.047,-0.312
'[23:07:01.484 19/01/1989]',0.060,57.140,0.045,-0.301
'[23:07:01.488 19/01/1989]',0.040,57.140,0.045,-0.299
'[23:07:01.492 19/01/1989]',0.065,57.140,0.043,-0.272
'[23:07:01.496 19/01/1989]',0.050,56.721,0.039,-0.280
'[23:07:01.500 19/01/1989]',0.065,57.140,0.040,-0.264
'[23:07:01.504 19/01/1989]',0.060,57.558,0.043,-0.271
'[23:07:01.508 19/01/1989]',0.050,57.349,0.044,-0.267
'[23:07:01.512 19/01/1989]',0.070,57.977,0.044,-0.267
'[23:07:01.516 19/01/1989]',0.045,57.349,0.045,-0.258
'[23:07:01.520 19/01/1989]',0.050,57.767,0.049,-0.261
'[23:07:01.524 19/01/1989]',0.060,57.977,0.052,-0.230
'[23:07:01.528 19/01/1989]',0.065,58.186,0.052,-0.229
'[23:07:01.532 19/01/1989]',0.080,58.395,0.054,-0.212
'[23:07:01.536 19/01/1989]',0.055,59.023,0.054,-0.206
'[23:07:01.540 19/01/1989]',0.060,59.023,0.052,-0.187
'[23:07:01.544 19/01/1989]',0.060,59.442,0.052,-0.190
